channel,data_type,message_count,parsed_class,first_record_time_sec,last_record_time_sec,total_raw_size_bytes,duration_sec
/clock,apollo.cyber.proto.Clock,321,,1783598396.4840443,1783598428.48464,3210,32.000595569610596
/apollo/perception/traffic_light,apollo.perception.TrafficLightDetection,321,TrafficLightDetection,1783598396.4862447,1783598428.4860823,221811,31.999837636947632
/apollo/canbus/chassis,apollo.canbus.Chassis,321,Chassis,1783598396.486337,1783598428.4861135,22149,31.999776601791382
/apollo/sensor/gnss/corrected_imu,apollo.localization.CorrectedImu,321,LocalizationEstimate,1783598396.486568,1783598428.4866717,38841,32.00010371208191
/apollo/sensor/gnss/best_pose,apollo.drivers.gnss.GnssBestPose,321,GnssBestPose,1783598396.4866319,1783598428.4867249,19902,32.00009298324585
/apollo/sensor/gnss/odometry,apollo.localization.Gps,321,Gnss,1783598396.4866443,1783598428.4867375,42693,32.00009322166443
/apollo/sensor/gnss/heading,apollo.drivers.gnss.Heading,321,,1783598396.4866765,1783598428.4867942,15729,32.000117778778076
/apollo/sensor/gnss/ins_stat,apollo.drivers.gnss.InsStat,321,InsStat,1783598396.4866867,1783598428.486808,6741,32.00012135505676
/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,320,PointCloud,1783598396.5114505,1783598428.4133475,38236200,31.901896953582764
/apollo/sensor/radar/front,apollo.drivers.ContiRadar,320,ContiRadar,1783598396.5115638,1783598428.4133923,1213998,31.90182852745056
/apollo/planning,apollo.planning.ADCTrajectory,310,ADCTrajectory,1783598396.5478628,1783598428.4932775,38034237,31.945414781570435
/apollo/planning/command_status,apollo.external_command.CommandStatus,310,,1783598396.548138,1783598428.4933105,8583,31.945172548294067
/apollo/control,apollo.control.ControlCommand,3192,ControlCommand,1783598396.6005943,1783598428.5121539,3444168,31.911559581756592
/apollo/control/interactive,apollo.control.ControlInteractiveMsg,3192,ControlCommand,1783598396.6006937,1783598428.5121703,73416,31.911476612091064
/apollo/perception/obstacles,apollo.perception.PerceptionObstacles,309,PerceptionObstacles,1783598396.6057198,1783598428.4674182,96265,31.861698389053345
/apollo/prediction,apollo.prediction.PredictionObstacles,309,PredictionObstacles,1783598396.6110194,1783598428.473234,110245,31.8622145652771
/apollo/localization/pose,apollo.localization.LocalizationEstimate,318,LocalizationEstimate,1783598396.793207,1783598428.48718,92220,31.693973064422607
/tf,apollo.transform.TransformStampeds,318,TransformStampeds,1783598396.793616,1783598428.4871652,32754,31.693549156188965
/apollo/localization/msf_status,apollo.localization.LocalizationStatus,318,LocalizationEstimate,1783598396.7937062,1783598428.487184,7632,31.693477869033813
/apollo/guardian,apollo.guardian.GuardianCommand,3142,GuardianCommand,1783598397.0995111,1783598428.5095322,342478,31.41002106666565
/apollo/monitor/system_status,apollo.monitor.SystemStatus,24,,1783598397.1440735,1783598427.141488,92280,29.997414588928223
/apollo/monitor,apollo.common.monitor.MonitorMessage,63,,1783598397.1440868,1783598428.1435995,3528,30.999512672424316
/apollo/hmi/status,apollo.dreamview.HMIStatus,30,,1783598397.2037709,1783598427.257365,3214263,30.05359411239624
/apollo/planning_command_history,apollo.planning.PlanningCommand,32,ADCTrajectory,1783598397.3499315,1783598428.345674,18240,30.995742559432983
/tf_static,apollo.transform.TransformStampeds,1,TransformStampeds,1783598397.5226088,1783598397.5226088,605,0.0
/apollo/common/latency_records,apollo.common.LatencyRecordMap,11,,1783598397.5908332,1783598427.632537,106310,30.041703701019287
/apollo/common/latency_reports,apollo.common.LatencyReport,2,,1783598407.1542058,1783598422.6455777,138,15.491371870040894
