control_seq,control_record_time_sec,control_header_timestamp_sec,planning_header_sequence_num,planning_header_timestamp_sec,planning_publish_record_time_sec,matched_planning_seq_from_record,planning_age_ms,planning_trajectory_point_size,planning_trajectory_type,reuse_count,reuse_index_in_run
8821,1783598396.6005943,1783598396.600253,469,1783598396.546933,1783598396.5478628,469,52.73151397705078,136,NORMAL,4,1
8822,1783598396.6109905,1783598396.6105134,469,1783598396.546933,1783598396.5478628,469,63.127756118774414,136,NORMAL,4,2
8823,1783598396.6206515,1783598396.6202521,469,1783598396.546933,1783598396.5478628,469,72.78871536254883,136,NORMAL,4,3
8824,1783598396.6308017,1783598396.6302843,469,1783598396.546933,1783598396.5478628,469,82.93890953063965,136,NORMAL,4,4
8825,1783598396.640763,1783598396.6404436,470,1783598396.6334932,1783598396.634337,470,6.426095962524414,136,NORMAL,10,1
8826,1783598396.6505938,1783598396.6503332,470,1783598396.6334932,1783598396.634337,470,16.25680923461914,136,NORMAL,10,2
8827,1783598396.6604927,1783598396.6602259,470,1783598396.6334932,1783598396.634337,470,26.155710220336914,136,NORMAL,10,3
8828,1783598396.6706517,1783598396.6703658,470,1783598396.6334932,1783598396.634337,470,36.31472587585449,136,NORMAL,10,4
8829,1783598396.6807487,1783598396.680393,470,1783598396.6334932,1783598396.634337,470,46.411752700805664,136,NORMAL,10,5
8830,1783598396.690505,1783598396.6902547,470,1783598396.6334932,1783598396.634337,470,56.1680793762207,136,NORMAL,10,6
8831,1783598396.7006025,1783598396.7003415,470,1783598396.6334932,1783598396.634337,470,66.26558303833008,136,NORMAL,10,7
8832,1783598396.7109964,1783598396.7107558,470,1783598396.6334932,1783598396.634337,470,76.6594409942627,136,NORMAL,10,8
8833,1783598396.7206707,1783598396.720378,470,1783598396.6334932,1783598396.634337,470,86.3337516784668,136,NORMAL,10,9
8834,1783598396.730591,1783598396.7303054,470,1783598396.6334932,1783598396.634337,470,96.25411033630371,136,NORMAL,10,10
8835,1783598396.7408757,1783598396.740629,471,1783598396.73107,1783598396.7322037,471,8.671998977661133,136,NORMAL,9,1
8836,1783598396.7507107,1783598396.7504718,471,1783598396.73107,1783598396.7322037,471,18.507003784179688,136,NORMAL,9,2
8837,1783598396.760523,1783598396.7602754,471,1783598396.73107,1783598396.7322037,471,28.319358825683594,136,NORMAL,9,3
8838,1783598396.7706075,1783598396.7703276,471,1783598396.73107,1783598396.7322037,471,38.40374946594238,136,NORMAL,9,4
8839,1783598396.7808502,1783598396.780616,471,1783598396.73107,1783598396.7322037,471,48.64645004272461,136,NORMAL,9,5
8840,1783598396.7937918,1783598396.7902193,471,1783598396.73107,1783598396.7322037,471,61.58804893493652,136,NORMAL,9,6
8841,1783598396.8006256,1783598396.8002968,471,1783598396.73107,1783598396.7322037,471,68.42184066772461,136,NORMAL,9,7
8842,1783598396.8106782,1783598396.8103535,471,1783598396.73107,1783598396.7322037,471,78.47452163696289,136,NORMAL,9,8
8843,1783598396.820703,1783598396.8203516,471,1783598396.73107,1783598396.7322037,471,88.49930763244629,136,NORMAL,9,9
8844,1783598396.831371,1783598396.8310807,472,1783598396.8278713,1783598396.8290496,472,2.321481704711914,136,NORMAL,21,1
8845,1783598396.842491,1783598396.8423028,472,1783598396.8278713,1783598396.8290496,472,13.441324234008789,136,NORMAL,21,2
8846,1783598396.850407,1783598396.8502038,472,1783598396.8278713,1783598396.8290496,472,21.357297897338867,136,NORMAL,21,3
8847,1783598396.860594,1783598396.8603024,472,1783598396.8278713,1783598396.8290496,472,31.54444694519043,136,NORMAL,21,4
8848,1783598396.870334,1783598396.8701117,472,1783598396.8278713,1783598396.8290496,472,41.28432273864746,136,NORMAL,21,5
8849,1783598396.8803282,1783598396.8801072,472,1783598396.8278713,1783598396.8290496,472,51.27859115600586,136,NORMAL,21,6
8850,1783598396.8903646,1783598396.8901138,472,1783598396.8278713,1783598396.8290496,472,61.315059661865234,136,NORMAL,21,7
8851,1783598396.900419,1783598396.9002385,472,1783598396.8278713,1783598396.8290496,472,71.36940956115723,136,NORMAL,21,8
8852,1783598396.910492,1783598396.9101732,472,1783598396.8278713,1783598396.8290496,472,81.44235610961914,136,NORMAL,21,9
8853,1783598396.9205341,1783598396.9203165,472,1783598396.8278713,1783598396.8290496,472,91.48454666137695,136,NORMAL,21,10
8854,1783598396.9306495,1783598396.93033,472,1783598396.8278713,1783598396.8290496,472,101.59993171691895,136,NORMAL,21,11
8855,1783598396.9405444,1783598396.940362,472,1783598396.8278713,1783598396.8290496,472,111.49477958679199,136,NORMAL,21,12
8856,1783598396.95058,1783598396.9503603,472,1783598396.8278713,1783598396.8290496,472,121.53029441833496,136,NORMAL,21,13
