record_time_sec,module,sequence_num,abnormal_reason
1783598402.8909762,control,9450,brake_gt_10
1783598402.9001284,control,9451,brake_gt_10
1783598402.912564,control,9452,brake_gt_10
1783598402.922355,control,9453,brake_gt_10
1783598402.9322577,control,9454,brake_gt_10
1783598402.9423227,control,9455,brake_gt_10
1783598402.9906862,control,9460,brake_gt_10
1783598403.0006032,control,9461,brake_gt_10
1783598403.0106711,control,9462,brake_gt_10
1783598403.0230393,control,9463,brake_gt_10
1783598403.031033,control,9464,brake_gt_10
1783598403.0405133,control,9465,brake_gt_10
1783598403.052317,control,9466,brake_gt_10
1783598403.0625956,control,9467,brake_gt_10
1783598403.0702312,control,9468,brake_gt_10
1783598403.0823116,control,9469,brake_gt_10
1783598403.0922303,control,9470,brake_gt_10
1783598403.102503,control,9471,brake_gt_10
1783598403.113065,control,9472,brake_gt_10
1783598403.1208177,control,9473,brake_gt_10
1783598403.130731,control,9474,brake_gt_10
1783598403.1408656,control,9475,brake_gt_10
1783598403.150415,control,9476,brake_gt_10
1783598403.1626127,control,9477,brake_gt_10
1783598403.172474,control,9478,brake_gt_10
1783598403.1823137,control,9479,brake_gt_10
1783598403.1923537,control,9480,brake_gt_10
1783598403.2024767,control,9481,brake_gt_10
1783598403.2123256,control,9482,brake_gt_10
1783598403.2222383,control,9483,brake_gt_10
1783598403.2325203,control,9484,brake_gt_10
1783598403.2422607,control,9485,brake_gt_10
1783598403.2520854,control,9486,brake_gt_10
1783598403.2620382,control,9487,brake_gt_10
1783598413.6326323,control,10524,brake_gt_10
1783598413.6445131,control,10525,brake_gt_10
1783598413.690497,control,10530,brake_gt_10
1783598413.700519,control,10531,brake_gt_10
1783598413.7104852,control,10532,brake_gt_10
1783598413.7208521,control,10533,brake_gt_10
1783598413.8411725,control,10545,brake_gt_10
1783598413.8507175,control,10546,brake_gt_10
1783598413.860637,control,10547,brake_gt_10
1783598413.8905096,control,10550,brake_gt_10
1783598413.905129,control,10551,brake_gt_10
1783598413.9105709,control,10552,brake_gt_10
1783598413.9205456,control,10553,brake_gt_10
1783598413.9308178,control,10554,brake_gt_10
1783598413.940332,control,10555,brake_gt_10
1783598413.9504607,control,10556,brake_gt_10
1783598413.9605012,control,10557,brake_gt_10
1783598413.9905457,control,10560,brake_gt_10
1783598414.0005105,control,10561,brake_gt_10
1783598414.0104454,control,10562,brake_gt_10
1783598414.0205019,control,10563,brake_gt_10
1783598414.030841,control,10564,brake_gt_10
1783598414.0403538,control,10565,brake_gt_10
1783598414.05055,control,10566,brake_gt_10
1783598414.060599,control,10567,brake_gt_10
1783598414.0904589,control,10570,brake_gt_10
1783598414.1006215,control,10571,brake_gt_10
1783598414.1105118,control,10572,brake_gt_10
1783598414.1207507,control,10573,brake_gt_10
1783598414.1306975,control,10574,brake_gt_10
1783598414.140739,control,10575,brake_gt_10
1783598414.1907196,control,10580,brake_gt_10
1783598414.200643,control,10581,brake_gt_10
1783598414.2106304,control,10582,brake_gt_10
1783598414.2205656,control,10583,brake_gt_10
1783598414.2406552,control,10585,brake_gt_10
1783598414.2907977,control,10590,brake_gt_10
1783598414.3007772,control,10591,brake_gt_10
1783598414.310495,control,10592,brake_gt_10
1783598414.320637,control,10593,brake_gt_10
1783598414.3906934,control,10600,brake_gt_10
1783598414.4005208,control,10601,brake_gt_10
1783598414.4306426,control,10604,brake_gt_10
1783598414.440863,control,10605,brake_gt_10
1783598414.4509833,control,10606,brake_gt_10
1783598414.4609318,control,10607,brake_gt_10
1783598414.4711132,control,10608,brake_gt_10
1783598414.480736,control,10609,brake_gt_10
1783598414.4905577,control,10610,brake_gt_10
1783598414.5004544,control,10611,brake_gt_10
1783598414.5104833,control,10612,brake_gt_10
1783598414.520398,control,10613,brake_gt_10
1783598414.5306432,control,10614,brake_gt_10
1783598414.5405147,control,10615,brake_gt_10
1783598414.550734,control,10616,brake_gt_10
1783598414.560484,control,10617,brake_gt_10
1783598414.570588,control,10618,brake_gt_10
1783598414.5804522,control,10619,brake_gt_10
1783598415.3912327,control,10700,brake_gt_10
1783598415.401272,control,10701,brake_gt_10
1783598415.4115026,control,10702,brake_gt_10
1783598415.4213178,control,10703,brake_gt_10
1783598415.4333196,control,10704,brake_gt_10
1783598415.4434135,control,10705,brake_gt_10
1783598415.4511936,control,10706,brake_gt_10
1783598415.4612813,control,10707,brake_gt_10
1783598415.473554,control,10708,brake_gt_10
1783598415.4828613,control,10709,brake_gt_10
1783598415.49069,control,10710,brake_gt_10
1783598415.5007908,control,10711,brake_gt_10
1783598415.510572,control,10712,brake_gt_10
1783598415.5205894,control,10713,brake_gt_10
1783598415.5305386,control,10714,brake_gt_10
1783598415.5405488,control,10715,brake_gt_10
1783598415.5503798,control,10716,brake_gt_10
1783598415.560406,control,10717,brake_gt_10
1783598415.9935288,control,10760,brake_gt_10
1783598416.002635,control,10761,brake_gt_10
1783598416.0104342,control,10762,brake_gt_10
1783598416.020704,control,10763,brake_gt_10
1783598416.0907028,control,10770,brake_gt_10
1783598416.101142,control,10771,brake_gt_10
1783598416.1104214,control,10772,brake_gt_10
1783598416.1213727,control,10773,brake_gt_10
1783598416.1332908,control,10774,brake_gt_10
1783598416.1414917,control,10775,brake_gt_10
1783598416.1511989,control,10776,brake_gt_10
1783598416.1612093,control,10777,brake_gt_10
1783598416.1711946,control,10778,brake_gt_10
1783598416.181293,control,10779,brake_gt_10
1783598416.1914363,control,10780,brake_gt_10
1783598416.2026262,control,10781,brake_gt_10
1783598416.2104378,control,10782,brake_gt_10
1783598416.221374,control,10783,brake_gt_10
1783598416.2324924,control,10784,brake_gt_10
1783598416.2413373,control,10785,brake_gt_10
1783598416.250365,control,10786,brake_gt_10
1783598416.2613196,control,10787,brake_gt_10
1783598416.270386,control,10788,brake_gt_10
1783598416.2812607,control,10789,brake_gt_10
1783598416.9918406,control,10860,brake_gt_10
1783598417.003168,control,10861,brake_gt_10
1783598417.0124156,control,10862,brake_gt_10
1783598417.0205228,control,10863,brake_gt_10
1783598417.0303125,control,10864,brake_gt_10
1783598417.0408046,control,10865,brake_gt_10
1783598417.0511568,control,10866,brake_gt_10
1783598417.0609229,control,10867,brake_gt_10
1783598417.071213,control,10868,brake_gt_10
1783598417.081286,control,10869,brake_gt_10
1783598417.0910304,control,10870,brake_gt_10
1783598417.1012876,control,10871,brake_gt_10
1783598417.1112676,control,10872,brake_gt_10
1783598417.1212678,control,10873,brake_gt_10
1783598417.151233,control,10876,brake_gt_10
1783598417.161341,control,10877,brake_gt_10
1783598417.172406,control,10878,brake_gt_10
1783598417.1808,control,10879,brake_gt_10
1783598417.602351,control,10921,brake_gt_10
1783598417.612214,control,10922,brake_gt_10
1783598417.6222765,control,10923,brake_gt_10
1783598417.6319914,control,10924,brake_gt_10
1783598417.6421285,control,10925,brake_gt_10
1783598417.6521819,control,10926,brake_gt_10
1783598417.6621375,control,10927,brake_gt_10
1783598417.672278,control,10928,brake_gt_10
1783598417.6821485,control,10929,brake_gt_10
1783598417.6921823,control,10930,brake_gt_10
1783598417.7022986,control,10931,brake_gt_10
1783598417.7124784,control,10932,brake_gt_10
1783598417.7222977,control,10933,brake_gt_10
1783598417.7326374,control,10934,brake_gt_10
1783598417.7422268,control,10935,brake_gt_10
1783598417.7522054,control,10936,brake_gt_10
1783598417.7625291,control,10937,brake_gt_10
1783598417.7721875,control,10938,brake_gt_10
1783598417.7822967,control,10939,brake_gt_10
1783598417.7922966,control,10940,brake_gt_10
1783598417.8024933,control,10941,brake_gt_10
1783598417.8123755,control,10942,brake_gt_10
1783598417.8223212,control,10943,brake_gt_10
1783598417.8323877,control,10944,brake_gt_10
1783598417.8448007,control,10945,brake_gt_10
1783598417.8505023,control,10946,brake_gt_10
1783598417.8627295,control,10947,brake_gt_10
1783598417.875844,control,10948,brake_gt_10
1783598417.881804,control,10949,brake_gt_10
1783598419.9922862,control,11160,brake_gt_10
1783598420.0021105,control,11161,brake_gt_10
1783598420.0122764,control,11162,brake_gt_10
1783598420.0221245,control,11163,brake_gt_10
1783598420.032223,control,11164,brake_gt_10
1783598420.0422132,control,11165,brake_gt_10
1783598420.0522606,control,11166,brake_gt_10
1783598420.0622149,control,11167,brake_gt_10
1783598420.0722141,control,11168,brake_gt_10
1783598420.0824947,control,11169,brake_gt_10
1783598420.7225046,control,11233,brake_gt_10
1783598420.7322965,control,11234,brake_gt_10
1783598420.7423806,control,11235,brake_gt_10
1783598420.7521846,control,11236,brake_gt_10
1783598420.7622378,control,11237,brake_gt_10
1783598420.7723935,control,11238,brake_gt_10
1783598420.7824888,control,11239,brake_gt_10
1783598420.7924793,control,11240,brake_gt_10
1783598420.80221,control,11241,brake_gt_10
1783598420.8122017,control,11242,brake_gt_10
1783598420.8224099,control,11243,brake_gt_10
1783598420.83234,control,11244,brake_gt_10
1783598420.8421059,control,11245,brake_gt_10
1783598420.85255,control,11246,brake_gt_10
1783598420.8623683,control,11247,brake_gt_10
1783598420.872422,control,11248,brake_gt_10
1783598420.8822048,control,11249,brake_gt_10
1783598420.9623692,control,11257,brake_gt_10
1783598420.972178,control,11258,brake_gt_10
1783598420.982242,control,11259,brake_gt_10
1783598420.99215,control,11260,brake_gt_10
1783598421.0030682,control,11261,brake_gt_10
1783598421.0104072,control,11262,brake_gt_10
1783598421.0223184,control,11263,brake_gt_10
1783598421.0322216,control,11264,brake_gt_10
1783598421.041995,control,11265,brake_gt_10
1783598421.0520854,control,11266,brake_gt_10
1783598421.0620303,control,11267,brake_gt_10
1783598421.07205,control,11268,brake_gt_10
1783598421.0827317,control,11269,brake_gt_10
1783598421.0908258,control,11270,brake_gt_10
1783598421.1004765,control,11271,brake_gt_10
1783598421.1124642,control,11272,brake_gt_10
1783598421.122261,control,11273,brake_gt_10
1783598421.1325521,control,11274,brake_gt_10
1783598421.1421227,control,11275,brake_gt_10
1783598421.152397,control,11276,brake_gt_10
1783598421.1623065,control,11277,brake_gt_10
1783598421.1730742,control,11278,brake_gt_10
1783598421.1802948,control,11279,brake_gt_10
1783598421.192506,control,11280,brake_gt_10
1783598421.202541,control,11281,brake_gt_10
