planning_seq,reuse_count,first_control_seq,last_control_seq,max_planning_age_ms
469,4,8821,8824,82.93890953063965
470,10,8825,8834,96.25411033630371
471,9,8835,8843,88.49930763244629
472,21,8844,8864,201.64895057678223
473,18,8865,8882,178.1761646270752
474,17,8883,8899,169.29364204406738
475,19,8900,8918,186.11454963684082
476,15,8919,8933,151.6265869140625
477,9,8934,8942,84.2745304107666
478,7,8943,8949,70.2981948852539
479,8,8950,8957,72.68524169921875
480,9,8958,8966,82.41605758666992
481,7,8967,8973,70.51897048950195
482,8,8974,8981,75.84905624389648
483,8,8982,8989,75.37579536437988
484,8,8990,8997,72.14641571044922
485,8,8998,9005,80.16252517700195
486,8,9006,9013,78.42350006103516
487,10,9014,9023,97.02658653259277
488,7,9024,9030,69.0464973449707
489,6,9031,9036,58.1357479095459
490,11,9037,9047,102.51927375793457
491,5,9048,9052,53.98821830749512
492,8,9053,9060,73.4248161315918
493,8,9061,9068,73.31538200378418
494,8,9069,9076,73.17328453063965
495,8,9077,9084,78.15980911254883
496,10,9085,9094,100.64291954040527
497,9,9095,9103,90.87347984313965
498,12,9104,9115,113.69872093200684
499,13,9116,9128,129.73380088806152
500,6,9129,9134,56.72764778137207
501,11,9135,9145,107.80167579650879
502,9,9146,9154,87.17608451843262
503,12,9155,9166,113.2967472076416
504,8,9167,9174,81.10713958740234
505,10,9175,9184,100.45766830444336
506,10,9185,9194,95.4744815826416
507,9,9195,9203,83.19258689880371
508,12,9204,9215,113.34085464477539
509,10,9216,9225,98.29878807067871
510,8,9226,9233,80.19495010375977
511,11,9234,9244,108.92033576965332
512,10,9245,9254,93.7952995300293
513,9,9255,9263,91.39609336853027
514,13,9264,9276,125.6098747253418
515,10,9277,9286,101.02295875549316
516,8,9287,9294,76.29156112670898
517,9,9295,9303,84.60807800292969
518,11,9304,9314,105.34167289733887
519,9,9315,9323,81.73513412475586
520,10,9324,9333,95.11113166809082
521,14,9334,9347,134.7830295562744
522,7,9348,9354,64.4536018371582
523,10,9355,9364,93.60814094543457
524,11,9365,9375,103.9574146270752
525,8,9376,9383,75.82664489746094
526,9,9384,9392,86.86637878417969
527,11,9393,9403,103.89494895935059
528,10,9404,9413,101.45735740661621
529,11,9414,9424,103.12986373901367
530,9,9425,9433,84.69510078430176
531,14,9434,9447,131.53743743896484
532,10,9448,9457,103.33442687988281
533,9,9458,9466,85.63661575317383
534,8,9467,9474,74.82528686523438
535,9,9475,9483,93.00017356872559
