control_seq,control_record_time_sec,control_header_timestamp_sec,planning_header_sequence_num,planning_header_timestamp_sec,planning_publish_record_time_sec,matched_planning_seq_from_record,planning_age_ms,planning_trajectory_point_size,planning_trajectory_type,reuse_count,reuse_index_in_run
6612,1783598540.5750878,1783598540.5745652,242,1783598540.5669887,,,,,,10,1
6613,1783598540.584503,1783598540.5842454,242,1783598540.5669887,,,,,,10,2
6614,1783598540.5947204,1783598540.5944066,242,1783598540.5669887,,,,,,10,3
6615,1783598540.604679,1783598540.6042902,242,1783598540.5669887,,,,,,10,4
6616,1783598540.6146483,1783598540.6143613,242,1783598540.5669887,,,,,,10,5
6617,1783598540.6253371,1783598540.6247551,242,1783598540.5669887,,,,,,10,6
6618,1783598540.6522765,1783598540.6342592,242,1783598540.5669887,,,,,,10,7
6619,1783598540.6522915,1783598540.6447573,242,1783598540.5669887,,,,,,10,8
6620,1783598540.6577618,1783598540.652193,242,1783598540.5669887,,,,,,10,9
6621,1783598540.664593,1783598540.6643395,242,1783598540.5669887,,,,,,10,10
6622,1783598540.6749141,1783598540.6746156,243,1783598540.6694407,,,,,,11,1
6623,1783598540.6825244,1783598540.682165,243,1783598540.6694407,,,,,,11,2
6624,1783598540.694584,1783598540.6941462,243,1783598540.6694407,,,,,,11,3
6625,1783598540.7044504,1783598540.7041728,243,1783598540.6694407,,,,,,11,4
6626,1783598540.714296,1783598540.7141016,243,1783598540.6694407,,,,,,11,5
6627,1783598540.7244864,1783598540.7242258,243,1783598540.6694407,,,,,,11,6
6628,1783598540.7347038,1783598540.7343855,243,1783598540.6694407,,,,,,11,7
6629,1783598540.7492728,1783598540.7464705,243,1783598540.6694407,,,,,,11,8
6630,1783598540.7579353,1783598540.754432,243,1783598540.6694407,,,,,,11,9
6631,1783598540.7656376,1783598540.7645378,243,1783598540.6694407,,,,,,11,10
6632,1783598540.7753177,1783598540.7749887,243,1783598540.6694407,,,,,,11,11
6633,1783598540.782772,1783598540.78255,244,1783598540.7780674,1783598540.778756,244,4.01616096496582,139,NORMAL,19,1
6634,1783598540.7947447,1783598540.7943785,244,1783598540.7780674,1783598540.778756,244,15.988826751708984,139,NORMAL,19,2
6635,1783598540.805121,1783598540.8048482,244,1783598540.7780674,1783598540.778756,244,26.365041732788086,139,NORMAL,19,3
6636,1783598540.8147833,1783598540.814419,244,1783598540.7780674,1783598540.778756,244,36.02743148803711,139,NORMAL,19,4
6637,1783598540.8246305,1783598540.8243635,244,1783598540.7780674,1783598540.778756,244,45.874595642089844,139,NORMAL,19,5
6638,1783598540.8347275,1783598540.8344016,244,1783598540.7780674,1783598540.778756,244,55.971622467041016,139,NORMAL,19,6
6639,1783598540.8445878,1783598540.8443253,244,1783598540.7780674,1783598540.778756,244,65.83189964294434,139,NORMAL,19,7
6640,1783598540.8547227,1783598540.8544693,244,1783598540.7780674,1783598540.778756,244,75.96683502197266,139,NORMAL,19,8
6641,1783598540.8647182,1783598540.8644166,244,1783598540.7780674,1783598540.778756,244,85.96229553222656,139,NORMAL,19,9
6642,1783598540.8747356,1783598540.8744583,244,1783598540.7780674,1783598540.778756,244,95.97969055175781,139,NORMAL,19,10
6643,1783598540.8846273,1783598540.8844292,244,1783598540.7780674,1783598540.778756,244,105.87143898010254,139,NORMAL,19,11
6644,1783598540.8947315,1783598540.894481,244,1783598540.7780674,1783598540.778756,244,115.97561836242676,139,NORMAL,19,12
6645,1783598540.9047115,1783598540.9044206,244,1783598540.7780674,1783598540.778756,244,125.95558166503906,139,NORMAL,19,13
6646,1783598540.9148076,1783598540.9145217,244,1783598540.7780674,1783598540.778756,244,136.05165481567383,139,NORMAL,19,14
6647,1783598540.924792,1783598540.9244964,244,1783598540.7780674,1783598540.778756,244,146.03614807128906,139,NORMAL,19,15
6648,1783598540.9345775,1783598540.9342875,244,1783598540.7780674,1783598540.778756,244,155.8215618133545,139,NORMAL,19,16
6649,1783598540.9447858,1783598540.9444804,244,1783598540.7780674,1783598540.778756,244,166.0299301147461,139,NORMAL,19,17
6650,1783598540.9551,1783598540.9548588,244,1783598540.7780674,1783598540.778756,244,176.3441562652588,139,NORMAL,19,18
6651,1783598540.962943,1783598540.9626472,244,1783598540.7780674,1783598540.778756,244,184.1871738433838,139,NORMAL,19,19
6652,1783598540.9748943,1783598540.974525,245,1783598540.9635441,1783598540.9643004,245,10.593891143798828,140,NORMAL,18,1
6653,1783598540.9845865,1783598540.9843538,245,1783598540.9635441,1783598540.9643004,245,20.286083221435547,140,NORMAL,18,2
6654,1783598540.9945343,1783598540.9942918,245,1783598540.9635441,1783598540.9643004,245,30.23386001586914,140,NORMAL,18,3
6655,1783598541.004584,1783598541.0043826,245,1783598540.9635441,1783598540.9643004,245,40.2836799621582,140,NORMAL,18,4
6656,1783598541.0145144,1783598541.0142992,245,1783598540.9635441,1783598540.9643004,245,50.21405220031738,140,NORMAL,18,5
6657,1783598541.024763,1783598541.0245116,245,1783598540.9635441,1783598540.9643004,245,60.46271324157715,140,NORMAL,18,6
6658,1783598541.0349176,1783598541.0347111,245,1783598540.9635441,1783598540.9643004,245,70.6171989440918,140,NORMAL,18,7
6659,1783598541.0425103,1783598541.0423079,245,1783598540.9635441,1783598540.9643004,245,78.20987701416016,140,NORMAL,18,8
6660,1783598541.0552611,1783598541.0549335,245,1783598540.9635441,1783598540.9643004,245,90.96074104309082,140,NORMAL,18,9
6661,1783598541.062598,1783598541.0623593,245,1783598540.9635441,1783598540.9643004,245,98.2975959777832,140,NORMAL,18,10
6662,1783598541.0746107,1783598541.0743704,245,1783598540.9635441,1783598540.9643004,245,110.31031608581543,140,NORMAL,18,11
6663,1783598541.0845375,1783598541.0843613,245,1783598540.9635441,1783598540.9643004,245,120.23711204528809,140,NORMAL,18,12
6664,1783598541.0946562,1783598541.094375,245,1783598540.9635441,1783598540.9643004,245,130.3558349609375,140,NORMAL,18,13
6665,1783598541.1047537,1783598541.1044726,245,1783598540.9635441,1783598540.9643004,245,140.45333862304688,140,NORMAL,18,14
6666,1783598541.114638,1783598541.1144047,245,1783598540.9635441,1783598540.9643004,245,150.33769607543945,140,NORMAL,18,15
6667,1783598541.1250203,1783598541.1247227,245,1783598540.9635441,1783598540.9643004,245,160.7198715209961,140,NORMAL,18,16
6668,1783598541.1330326,1783598541.1326814,245,1783598540.9635441,1783598540.9643004,245,168.7321662902832,140,NORMAL,18,17
6669,1783598541.1448166,1783598541.1443937,245,1783598540.9635441,1783598540.9643004,245,180.51624298095703,140,NORMAL,18,18
6670,1783598541.1548088,1783598541.1545439,246,1783598541.1437542,1783598541.1447942,246,10.014533996582031,144,NORMAL,17,1
6671,1783598541.1647248,1783598541.1644368,246,1783598541.1437542,1783598541.1447942,246,19.930601119995117,144,NORMAL,17,2
6672,1783598541.174822,1783598541.1744592,246,1783598541.1437542,1783598541.1447942,246,30.02786636352539,144,NORMAL,17,3
6673,1783598541.1849208,1783598541.1845484,246,1783598541.1437542,1783598541.1447942,246,40.12656211853027,144,NORMAL,17,4
6674,1783598541.1948946,1783598541.1946106,246,1783598541.1437542,1783598541.1447942,246,50.10032653808594,144,NORMAL,17,5
