frame_index,trace_id,parent_trace_id,data_ts_ns,data_time_sec,target_present,frame_status,perception_ms,prediction_ms,planning_ms,e2e_ms,perception_threshold_ms,prediction_threshold_ms,planning_threshold_ms,e2e_threshold_ms,e2e_deadline_miss,perception_deadline_miss,prediction_deadline_miss,planning_deadline_miss,cause_modules,e2e_overrun_ms,perception_overrun_ms,prediction_overrun_ms,planning_overrun_ms,perception_to_prediction_handoff_ms,prediction_to_planning_handoff_ms,perception_start_mono_ns,perception_output_mono_ns,prediction_start_mono_ns,prediction_output_mono_ns,planning_start_mono_ns,planning_output_mono_ns,input_seq,output_seq,object_count
1,17294084154085868691,72319179021091994,1783690721792439552,1783690721.7924395,1,COMPLETE,83.095008,18.027264,49.900352,151.481728,90.0,6.403471,41.557888,140.0,1,0,1,1,prediction;planning,11.481728000000004,0.0,11.623793,8.342464,0.141824,0.31728,1339504309280,1339587404288,1339587546112,1339605573376,1339605890656,1339655791008,0,1178,1
2,17294084154085868692,72319179021091995,1783690721898170338,1783690721.8981705,1,COMPLETE,82.954368,4.830816,55.937824,144.050144,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,4.050143999999989,0.0,0.0,14.379936,0.140384,0.186752,1339609269792,1339692224160,1339692364544,1339697195360,1339697382112,1339753319936,0,1179,1
4,17294084154085868694,72319179021091997,1783690722093004164,1783690722.0930042,1,COMPLETE,86.034272,2.875808,66.302208,155.635808,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,15.635807999999997,0.0,0.0,24.744319999999995,0.127552,0.295968,1339806005184,1339892039456,1339892167008,1339895042816,1339895338784,1339961640992,0,1181,1
9,17294084154085868699,72319179021092002,1783690722593590355,1783690722.5935903,1,COMPLETE,83.096192,7.129088,52.984192,143.550304,90.0,6.403471,41.557888,140.0,1,0,1,1,prediction;planning,3.5503040000000112,0.0,0.7256170000000006,11.426304000000002,0.137312,0.20352,1340305368896,1340388465088,1340388602400,1340395731488,1340395935008,1340448919200,0,1186,1
19,17294084154085868709,72319179021092012,1783690723591890461,1783690723.5918903,0,COMPLETE,79.073184,3.846432,63.236128,146.6024,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,6.602399999999989,0.0,0.0,21.678240000000002,0.131008,0.315648,1341310265600,1341389338784,1341389469792,1341393316224,1341393631872,1341456868000,0,1196,1
23,17294084154085868713,72319179021092016,1783690723992978374,1783690723.9929783,1,COMPLETE,86.645504,4.34384,50.475168,143.743296,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,3.7432959999999866,0.0,0.0,8.917279999999998,0.1952,2.083584,1341703633824,1341790279328,1341790474528,1341794818368,1341796901952,1341847377120,0,1200,1
25,17294084154085868715,72319179021092018,1783690724191434517,1783690724.1914344,0,COMPLETE,81.72176,4.236096,60.719872,147.049472,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,7.049472000000009,0.0,0.0,19.161984000000004,0.148704,0.22304,1341901957312,1341983679072,1341983827776,1341988063872,1341988286912,1342049006784,0,1202,1
70,17294084154085868760,72319179021092063,1783690728693080182,1783690728.69308,0,COMPLETE,81.190304,4.770688,60.590592,147.301248,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,7.301247999999987,0.0,0.0,19.032704000000003,0.371904,0.37776,1346433655136,1346514845440,1346515217344,1346519988032,1346520365792,1346580956384,0,1247,1
72,17294084154085868762,72319179021092065,1783690728892211145,1783690728.8922112,0,COMPLETE,83.887328,8.120256,60.742016,153.069408,90.0,6.403471,41.557888,140.0,1,0,1,1,prediction;planning,13.06940800000001,0.0,1.7167849999999998,19.184128,0.183936,0.135872,1346603793920,1346687681248,1346687865184,1346695985440,1346696121312,1346756863328,0,1249,2
74,17294084154085868764,72319179021092067,1783690729092600354,1783690729.0926003,0,COMPLETE,83.145952,4.770688,52.548992,140.86624,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,0.8662400000000048,0.0,0.0,10.991104,0.164288,0.23632,1346805234432,1346888380384,1346888544672,1346893315360,1346893551680,1346946100672,0,1251,2
80,17294084154085868770,72319179021092073,1783690729692102553,1783690729.6921027,0,COMPLETE,83.042688,5.902304,54.466912,143.911552,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,3.9115520000000004,0.0,0.0,12.909024000000002,0.267168,0.23248,1347401437568,1347484480256,1347484747424,1347490649728,1347490882208,1347545349120,0,1257,1
84,17294084154085868774,72319179021092077,1783690730091672647,1783690730.0916727,0,COMPLETE,79.190752,4.535808,73.502016,157.79984,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,17.79983999999999,0.0,0.0,31.944128,0.265184,0.30608,1347803113600,1347882304352,1347882569536,1347887105344,1347887411424,1347960913440,0,1261,2
85,17294084154085868775,72319179021092078,1783690730195784718,1783690730.1957848,0,COMPLETE,87.78528,4.501152,52.376352,148.352416,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,8.352416000000005,0.0,0.0,10.818463999999999,1.091488,2.598144,1347906368000,1347994153280,1347995244768,1347999745920,1348002344064,1348054720416,0,1262,2
86,17294084154085868776,72319179021092079,1783690730294199133,1783690730.294199,0,COMPLETE,88.623744,5.31328,57.677088,151.986016,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,11.986016000000006,0.0,0.0,16.1192,0.132,0.239904,1348003756256,1348092380000,1348092512000,1348097825280,1348098065184,1348155742272,0,1263,2
87,17294084154085868777,72319179021092080,1783690730391612737,1783690730.3916128,0,COMPLETE,82.768384,8.345344,60.524384,152.11712,90.0,6.403471,41.557888,140.0,1,0,1,1,prediction;planning,12.11712,0.0,1.941873000000001,18.966496,0.20496,0.274048,1348101645600,1348184413984,1348184618944,1348192964288,1348193238336,1348253762720,0,1264,3
88,17294084154085868778,72319179021092081,1783690730490972213,1783690730.490972,0,COMPLETE,81.467168,3.475296,61.638848,146.848608,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,6.848608000000013,0.0,0.0,20.080960000000005,0.115808,0.151488,1348202095808,1348283562976,1348283678784,1348287154080,1348287305568,1348348944416,0,1265,1
89,17294084154085868779,72319179021092082,1783690730592033527,1783690730.5920336,0,COMPLETE,82.457216,3.425472,61.813984,148.1536,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,8.153600000000012,0.0,0.0,20.256096,0.246816,0.210112,1348302628416,1348385085632,1348385332448,1348388757920,1348388968032,1348450782016,0,1266,1
93,17294084154085868783,72319179021092086,1783690730990963946,1783690730.990964,0,COMPLETE,87.266976,5.460768,47.878848,140.970624,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,0.9706239999999866,0.0,0.0,6.3209599999999995,0.133472,0.23056,1348700701664,1348787968640,1348788102112,1348793562880,1348793793440,1348841672288,0,1270,1
94,17294084154085868784,72319179021092087,1783690731091001414,1783690731.0910013,0,COMPLETE,89.430048,3.78464,61.451328,156.79632,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,16.79632000000001,0.0,0.0,19.89344,0.08496,2.045344,1348800849696,1348890279744,1348890364704,1348894149344,1348896194688,1348957646016,0,1271,2
