frame_index,trace_id,parent_trace_id,data_ts_ns,data_time_sec,target_present,frame_status,perception_ms,prediction_ms,planning_ms,e2e_ms,perception_threshold_ms,prediction_threshold_ms,planning_threshold_ms,e2e_threshold_ms,e2e_deadline_miss,perception_deadline_miss,prediction_deadline_miss,planning_deadline_miss,cause_modules,e2e_overrun_ms,perception_overrun_ms,prediction_overrun_ms,planning_overrun_ms,perception_to_prediction_handoff_ms,prediction_to_planning_handoff_ms,perception_start_mono_ns,perception_output_mono_ns,prediction_start_mono_ns,prediction_output_mono_ns,planning_start_mono_ns,planning_output_mono_ns,input_seq,output_seq,object_count
1,17294084154085868691,72319179021091994,1783690721792439552,1783690721.7924395,1,COMPLETE,83.095008,18.027264,49.900352,151.481728,90.0,6.403471,41.557888,140.0,1,0,1,1,prediction;planning,11.481728000000004,0.0,11.623793,8.342464,0.141824,0.31728,1339504309280,1339587404288,1339587546112,1339605573376,1339605890656,1339655791008,0,1178,1
2,17294084154085868692,72319179021091995,1783690721898170338,1783690721.8981705,1,COMPLETE,82.954368,4.830816,55.937824,144.050144,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,4.050143999999989,0.0,0.0,14.379936,0.140384,0.186752,1339609269792,1339692224160,1339692364544,1339697195360,1339697382112,1339753319936,0,1179,1
3,17294084154085868693,72319179021091996,1783690722004003636,1783690722.0040035,1,COMPLETE,83.374208,4.254944,44.81072,134.698496,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,3.252832000000005,0.193856,2.064768,1339715167424,1339798541632,1339798735488,1339802990432,1339805055200,1339849865920,0,1180,1
4,17294084154085868694,72319179021091997,1783690722093004164,1783690722.0930042,1,COMPLETE,86.034272,2.875808,66.302208,155.635808,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,15.635807999999997,0.0,0.0,24.744319999999995,0.127552,0.295968,1339806005184,1339892039456,1339892167008,1339895042816,1339895338784,1339961640992,0,1181,1
5,17294084154085868695,72319179021091998,1783690722192593431,1783690722.1925933,1,COMPLETE,85.193728,4.513792,46.523872,136.541408,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,4.965983999999999,0.096768,0.213248,1339903654464,1339988848192,1339988944960,1339993458752,1339993672000,1340040195872,0,1182,1
6,17294084154085868696,72319179021091999,1783690722291924310,1783690722.2919242,1,COMPLETE,78.752448,5.970752,34.902016,119.922848,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.113664,0.183968,1340003796704,1340082549152,1340082662816,1340088633568,1340088817536,1340123719552,0,1183,1
7,17294084154085868697,72319179021092000,1783690722392558241,1783690722.3925583,1,COMPLETE,81.316608,4.412256,32.332544,118.393824,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.216384,0.116032,1340121566048,1340202882656,1340203099040,1340207511296,1340207627328,1340239959872,0,1184,1
8,17294084154085868698,72319179021092001,1783690722493099810,1783690722.4930997,1,COMPLETE,82.243424,4.962272,52.381568,139.978048,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,10.823680000000003,0.130304,0.26048,1340209984896,1340292228320,1340292358624,1340297320896,1340297581376,1340349962944,0,1185,1
9,17294084154085868699,72319179021092002,1783690722593590355,1783690722.5935903,1,COMPLETE,83.096192,7.129088,52.984192,143.550304,90.0,6.403471,41.557888,140.0,1,0,1,1,prediction;planning,3.5503040000000112,0.0,0.7256170000000006,11.426304000000002,0.137312,0.20352,1340305368896,1340388465088,1340388602400,1340395731488,1340395935008,1340448919200,0,1186,1
10,17294084154085868700,72319179021092003,1783690722694043889,1783690722.6940439,1,COMPLETE,85.293728,3.236,41.642656,130.540736,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,0.08476800000000395,0.118272,0.25008,1340408879008,1340494172736,1340494291008,1340497527008,1340497777088,1340539419744,0,1187,2
11,17294084154085868701,72319179021092004,1783690722791984157,1783690722.791984,1,COMPLETE,84.305184,3.70064,44.797664,138.335264,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,3.239775999999999,5.345024,0.186752,1340507194976,1340591500160,1340596845184,1340600545824,1340600732576,1340645530240,0,1188,1
12,17294084154085868702,72319179021092005,1783690722892891629,1783690722.8928916,1,COMPLETE,82.688672,3.697408,39.969056,126.675552,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0736,0.246816,1340604064896,1340686753568,1340686827168,1340690524576,1340690771392,1340730740448,0,1189,2
13,17294084154085868703,72319179021092006,1783690722992359427,1783690722.9923594,1,COMPLETE,85.201248,3.757568,43.173344,132.592704,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,1.6154560000000018,0.144864,0.31568,1340704319680,1340789520928,1340789665792,1340793423360,1340793739040,1340836912384,0,1190,2
14,17294084154085868704,72319179021092007,1783690723092607699,1783690723.0926077,1,COMPLETE,87.05168,3.214336,41.05392,131.805472,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0992,0.386336,1340805075392,1340892127072,1340892226272,1340895440608,1340895826944,1340936880864,0,1191,2
15,17294084154085868705,72319179021092008,1783690723192525831,1783690723.1925259,0,COMPLETE,86.582688,4.421728,36.566656,128.091104,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.19504,0.324992,1340914903200,1341001485888,1341001680928,1341006102656,1341006427648,1341042994304,0,1192,1
16,17294084154085868706,72319179021092009,1783690723292203291,1783690723.2922032,0,COMPLETE,84.832832,2.71824,27.718368,115.527744,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.127328,0.130976,1341004539296,1341089372128,1341089499456,1341092217696,1341092348672,1341120067040,0,1193,0
17,17294084154085868707,72319179021092010,1783690723392046490,1783690723.3920467,0,COMPLETE,80.433888,3.185184,35.050528,118.9688,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.167808,0.131392,1341103570816,1341184004704,1341184172512,1341187357696,1341187489088,1341222539616,0,1194,0
18,17294084154085868708,72319179021092011,1783690723491953779,1783690723.4919536,0,COMPLETE,81.497344,3.80208,23.16976,108.842368,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.134752,0.238432,1341203513024,1341285010368,1341285145120,1341288947200,1341289185632,1341312355392,0,1195,1
19,17294084154085868709,72319179021092012,1783690723591890461,1783690723.5918903,0,COMPLETE,79.073184,3.846432,63.236128,146.6024,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,6.602399999999989,0.0,0.0,21.678240000000002,0.131008,0.315648,1341310265600,1341389338784,1341389469792,1341393316224,1341393631872,1341456868000,0,1196,1
20,17294084154085868710,72319179021092013,1783690723691832402,1783690723.6918323,0,COMPLETE,86.751072,3.477856,39.817824,131.941664,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.083456,1.811456,1341402889696,1341489640768,1341489724224,1341493202080,1341495013536,1341534831360,0,1197,0
