role,actor_id,actor_type,role_name,carla_frame,carla_timestamp_sec,wall_time_unix_ns,location_x,location_y,location_z,rotation_yaw,velocity_x,velocity_y,velocity_z
ego,197,vehicle.lincoln.mkz_2017,hero,5661,566.63179064414,1783692900723986146,251.28880310058594,133.4612579345703,0.033511217683553696,0.20842084288597107,0.8855946660041809,0.002982017118483782,7.05719003235572e-07
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,5661,566.63179064414,1783692900723986146,263.6703796386719,133.4867706298828,-0.004700412508100271,0.09170268476009369,-3.4575511342893606e-09,9.896341524040508e-09,-1.8119811784345075e-07
ego,197,vehicle.lincoln.mkz_2017,hero,5662,566.7317906456301,1783692900828309082,251.38250732421875,133.4615478515625,0.0335240364074707,0.20863527059555054,0.9661730527877808,0.00301415310241282,6.675720101156912e-07
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,5662,566.7317906456301,1783692900828309082,263.6703796386719,133.4867706298828,-0.004700412508100271,0.09170268476009369,-6.279257114272241e-09,1.8206593566105767e-08,-3.623962356869015e-07
ego,197,vehicle.lincoln.mkz_2017,hero,5663,566.8317906471202,1783692900921493114,251.48309326171875,133.4618682861328,0.033552952110767365,0.20613713562488556,1.03300142288208,0.0033514732494950294,7.24792471373803e-07
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,5663,566.8317906471202,1783692900921493114,263.6703796386719,133.4867706298828,-0.004700412508100271,0.09170268476009369,-3.8285707937291136e-09,1.5650368112574142e-08,-4.577636616431846e-07
ego,197,vehicle.lincoln.mkz_2017,hero,5664,566.9317906486103,1783692901023343012,251.59019470214844,133.462158203125,0.033569928258657455,0.20858556032180786,1.113202691078186,0.0034447230864316225,-9.5367431640625e-07
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,5664,566.9317906486103,1783692901023343012,263.6703796386719,133.4867706298828,-0.004700412508100271,0.09170268476009369,-8.125486394838788e-10,-2.883576710743796e-09,-5.81741346650233e-07
ego,197,vehicle.lincoln.mkz_2017,hero,5665,567.0317906501004,1783692901122984468,251.7047576904297,133.46255493164062,0.03358560428023338,0.20700041949748993,1.1566061973571777,0.0035322289913892746,-3.0517576306010596e-06
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,5665,567.0317906501004,1783692901122984468,263.6703796386719,133.4867706298828,-0.004700412508100271,0.09170268476009369,3.188591612968139e-09,-1.2475745769791047e-08,-1.0490417423625331e-07
ego,197,vehicle.lincoln.mkz_2017,hero,5666,567.1317906515906,1783692901223383911,251.82286071777344,133.4629669189453,0.03361993655562401,0.2047318071126938,1.194701075553894,0.003562367521226406,-2.0980834847250662e-07
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,5666,567.1317906515906,1783692901223383911,263.6703796386719,133.4867706298828,-0.004700412508100271,0.09170268476009369,6.365445948119941e-09,-1.5155459109905678e-08,-2.288818308215923e-07
ego,197,vehicle.lincoln.mkz_2017,hero,5667,567.2317906530807,1783692901321935908,251.945068359375,133.46337890625,0.03363828733563423,0.20243997871875763,1.2377464771270752,0.0036189171951264143,-5.054473604104714e-07
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,5667,567.2317906530807,1783692901321935908,263.6703796386719,133.4867706298828,-0.004700412508100271,0.09170268476009369,5.0894906067355805e-09,-9.54977075195984e-09,-3.7193296975601697e-07
ego,197,vehicle.lincoln.mkz_2017,hero,5668,567.3317906545708,1783692901426293405,252.07107543945312,133.4637908935547,0.033654384315013885,0.1999431550502777,1.2679641246795654,0.0036160096060484648,2.326965386600932e-06
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,5668,567.3317906545708,1783692901426293405,263.6703796386719,133.4867706298828,-0.004700412508100271,0.09170268476009369,1.6321028972754448e-09,-3.809930235881831e-12,-5.531310875994677e-07
ego,197,vehicle.lincoln.mkz_2017,hero,5669,567.4317906560609,1783692901523674785,252.19935607910156,133.46420288085938,0.03367624059319496,0.19729338586330414,1.2870572805404663,0.0035671491641551256,-2.8610227786884934e-07
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,5669,567.4317906560609,1783692901523674785,263.6703796386719,133.4867706298828,-0.004700412508100271,0.09170268476009369,-2.002523258326505e-09,6.424172305230513e-09,-1.0490417423625331e-07
ego,197,vehicle.lincoln.mkz_2017,hero,5670,567.531790657551,1783692901622478105,252.32937622070312,133.46461486816406,0.03369436040520668,0.19449518620967865,1.3036167621612549,0.003510268172249198,-1.182556161438697e-06
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,5670,567.531790657551,1783692901622478105,263.6703796386719,133.4867706298828,-0.004700412508100271,0.09170268476009369,-5.459910745742036e-09,1.597013010723458e-08,-2.8610227786884934e-07
ego,197,vehicle.lincoln.mkz_2017,hero,5671,567.6317906590411,1783692901723782049,252.4604034423828,133.465087890625,0.03371427580714226,0.18314385414123535,1.3086613416671753,0.0033989413641393185,-1.6212462696785224e-06
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,5671,567.6317906590411,1783692901723782049,263.6703796386719,133.4867706298828,-0.004700412508100271,0.09170268476009369,-5.009794357135888e-09,1.7992160650237565e-08,-4.1007993445418833e-07
