speed_kmh,speed_mps,decel_model,decel_mps2,radar_d1_m,safety_margin_m,braking_distance_m,d2_m,deadline_s,deadline_bridge_steps,one_full_bridge_step_available
30,8.333333333333334,规划保守值,4.0,50.0,6.0,8.680555555555557,14.680555555555557,4.238333333333333,42.38333333333333,True
30,8.333333333333334,E3实测等效值_偏乐观,5.371740881648919,50.0,6.0,6.463867671063805,12.463867671063806,4.504335879472342,45.04335879472342,True
40,11.11111111111111,规划保守值,4.0,50.0,6.0,15.432098765432098,21.432098765432098,2.571111111111111,25.71111111111111,True
40,11.11111111111111,E3实测等效值_偏乐观,5.371740881648919,50.0,6.0,11.491320304113428,17.49132030411343,2.9257811726297915,29.257811726297913,True
50,13.88888888888889,规划保守值,4.0,50.0,6.0,24.112654320987655,30.112654320987655,1.4318888888888888,14.318888888888887,True
50,13.88888888888889,E3实测等效值_偏乐观,5.371740881648919,50.0,6.0,17.955187975177232,23.955187975177232,1.8752264657872393,18.75226465787239,True
55.6,15.444444444444445,规划保守值,4.0,50.0,6.0,29.816358024691358,35.816358024691354,0.9183653077537972,9.183653077537972,True
55.6,15.444444444444445,E3实测等效值_偏乐观,5.371740881648919,50.0,6.0,22.202379959577556,28.202379959577556,1.4113566932647625,14.113566932647625,True
60,16.666666666666668,规划保守值,4.0,50.0,6.0,34.72222222222223,40.72222222222223,0.5566666666666662,5.566666666666662,True
60,16.666666666666668,E3实测等效值_偏乐观,5.371740881648919,50.0,6.0,25.85547068425522,31.85547068425522,1.0886717589446868,10.886717589446867,True
66.47,18.46388888888889,规划保守值,4.0,50.0,6.0,42.61439911265432,48.61439911265432,0.07504382720692725,0.7504382720692724,False
66.47,18.46388888888889,E3实测等效值_偏乐观,5.371740881648919,50.0,6.0,31.73228199315029,37.732281993150295,0.664416801935594,6.6441680193559405,True
70,19.444444444444443,规划保守值,4.0,50.0,6.0,47.2608024691358,53.2608024691358,-0.16769841269841243,-1.6769841269841241,False
70,19.444444444444443,E3实测等效值_偏乐观,5.371740881648919,50.0,6.0,35.19216843134737,41.19216843134737,0.4529741949592782,4.529741949592782,True
