source_line,wall_time,tid,msg_time,queue_wait_ms,inject_sleep_ms,proc_ms,total_ms,down_sample_ms,fuse_ms,shuffle_ms,cloud_to_array_ms,inference_ms,postprocess_ms,nms_ms,proc_over_bridge_step_ms
10609,19:23:02.826363,389559,1783941782.447833,180.7,0.0,197.9,378.5,0.192579,7.96834,0.000128,1.1499,184.831,0.067553,3.27547,97.9
10696,19:23:03.019165,389559,1783941782.547593,278.9,0.0,192.6,471.6,0.077889,3.66412,0.000224,1.14677,184.29,0.066913,3.04552,92.6
10770,19:23:03.110865,389559,1783941782.647151,372.2,0.0,91.5,463.7,nan,nan,nan,nan,nan,nan,nan,-8.5
10850,19:23:03.199807,389559,1783941782.747163,364.0,0.0,88.6,452.6,nan,nan,nan,nan,nan,nan,nan,-11.400000000000006
10930,19:23:03.290568,389559,1783941782.84788,352.1,0.0,90.6,442.7,nan,nan,nan,nan,nan,nan,nan,-9.400000000000006
11018,19:23:03.377521,389559,1783941782.947848,342.9,0.0,86.8,429.7,0.15869,3.73916,0.00032,0.497479,78.9465,0.068993,3.06836,-13.200000000000003
11097,19:23:03.464813,389559,1783941783.047144,330.5,0.0,87.1,417.7,nan,nan,nan,nan,nan,nan,nan,-12.900000000000006
11185,19:23:03.551357,389559,1783941783.14758,317.4,0.0,86.4,403.8,nan,nan,nan,nan,nan,nan,nan,-13.599999999999994
11270,19:23:03.746666,389559,1783941783.247327,304.2,0.0,195.2,499.3,0.082306,4.10572,0.000256,0.556201,186.818,0.062369,3.17563,95.19999999999999
11364,19:23:03.977560,389559,1783941783.347659,399.1,0.0,230.8,629.9,0.079233,3.66159,0.000256,0.483784,222.923,0.068097,3.16971,130.8
11469,19:23:04.237071,389559,1783941783.448224,529.5,0.0,259.3,788.8,nan,nan,nan,nan,nan,nan,nan,159.3
11567,19:23:04.519325,389559,1783941783.547898,689.4,0.0,282.1,971.4,nan,nan,nan,nan,nan,nan,nan,182.10000000000002
