scenario,time,kind,object_id,tag_or_source,stop_x,stop_y,distance_s,reason_code,main_stop_reason,source_log
E1,2026-07-13T19:23:02.364670,stop_st_boundary,2352,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:02.369349,stop_trajectory_output,,,,,,,stop by 2352,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:02.692288,stop_st_boundary,2352,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:02.697192,stop_trajectory_output,,,,,,,stop by 2352,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:03.411705,stop_decision,2359,PathDecider/blocking_obstacle,-6.02591,118.31,-6,4,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:03.411819,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:03.414119,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:03.420133,stop_trajectory_output,,,,,,,stop by 2359,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:03.508467,stop_decision,2359,PathDecider/blocking_obstacle,-6.02591,118.31,-6,4,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:03.508687,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:03.512355,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:03.518204,stop_trajectory_output,,,,,,,stop by 2359,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:03.797031,stop_decision,2359,PathDecider/blocking_obstacle,-6.02637,118.426,-6,4,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:03.797480,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:03.803158,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:03.810735,stop_trajectory_output,,,,,,,stop by 2359,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.050583,stop_st_boundary,2363,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.055792,stop_trajectory_output,,,,,,,stop by 2363,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.264313,stop_decision,2359,PathDecider/blocking_obstacle,-6.02591,118.309,-6,4,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.264559,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.267460,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.271275,stop_trajectory_output,,,,,,,stop by 2359,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.558600,stop_decision,2359,PathDecider/blocking_obstacle,-6.02591,118.311,-6,4,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.558800,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.564046,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.572783,stop_trajectory_output,,,,,,,stop by 2359,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.842202,stop_decision,2359,PathDecider/blocking_obstacle,-6.02591,118.311,-6,4,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.842343,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.845988,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.852253,stop_trajectory_output,,,,,,,stop by 2359,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.959545,stop_decision,2359,PathDecider/blocking_obstacle,-6.02635,118.421,-6,4,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.959847,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.964426,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:04.971814,stop_trajectory_output,,,,,,,stop by 2359,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:05.178243,stop_st_boundary,2363,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:05.182715,stop_trajectory_output,,,,,,,stop by 2363,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:05.283010,stop_decision,2359,PathDecider/blocking_obstacle,-6.02635,118.421,-6,4,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:05.283159,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:05.286648,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:05.294118,stop_trajectory_output,,,,,,,stop by 2359,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:05.572623,stop_decision,2359,PathDecider/blocking_obstacle,-6.02599,118.329,-6,4,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:05.572899,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:05.576335,stop_st_boundary,2359,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:05.583134,stop_trajectory_output,,,,,,,stop by 2359,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:05.888778,stop_st_boundary,2363,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:05.895156,stop_trajectory_output,,,,,,,stop by 2363,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:06.155578,stop_st_boundary,2363,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:06.160982,stop_trajectory_output,,,,,,,stop by 2363,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:06.458259,stop_st_boundary,2363,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:06.463037,stop_trajectory_output,,,,,,,stop by 2363,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:06.750839,stop_decision,2363,PathDecider/blocking_obstacle,-6.02581,118.284,-6,4,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:06.750931,stop_st_boundary,2363,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:06.753544,stop_st_boundary,2363,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:06.760300,stop_trajectory_output,,,,,,,stop by 2363,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:07.078744,stop_st_boundary,2363,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:07.086333,stop_trajectory_output,,,,,,,stop by 2363,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:07.340832,stop_decision,2363,PathDecider/blocking_obstacle,-6.02594,118.318,-6,4,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:07.340955,stop_st_boundary,2363,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:07.342725,stop_st_boundary,2363,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:07.348251,stop_trajectory_output,,,,,,,stop by 2363,planning.log.INFO.20260713-192000.389383
E1,2026-07-13T19:23:07.677338,stop_st_boundary,2363,MapStopDecision,,,,,,planning.log.INFO.20260713-192000.389383
