frame,host_tid,infer_ms,stack_sample_count,resolved_sample_count,unknown_sample_count,unknown_ratio,top1_symbol,top1_dso,top1_samples,top1_ratio,top2_symbol,top2_dso,top2_samples,top2_ratio,top3_symbol,top3_dso,top3_samples,top3_ratio,frame_role,data_status,quality_flag
601,1016510,82.363289,4,3,1,0.250000000,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.250000000,paddle::experimental::detail::HasAllocation@plt,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000,"std::_Function_base::_Base_manager<std::_Bind<cudnn::backend::analyze_result_t (*(std::_Placeholder<1>, cudnnConvolutionFwdAlgo_t, bool))(cudnn::backend::ExecutionPlan const&, cudnnConvolutionFwdAlgo_t, bool)> >::_M_manager",/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.250000000,candidate_control,OK,none
602,1016511,81.246698,2,2,0,0.000000000,operator new,inlined,1,0.500000000,"std::_Rb_tree<std::pair<unsigned long, void*>, std::pair<std::pair<unsigned long, void*> const, std::_List_iterator<paddle::memory::allocation::AutoGrowthBestFitAllocator::Block> >, std::_Select1st<std::pair<std::pair<unsigned long, void*> const, std::_List_iterator<paddle::memory::allocation::AutoGrowthBestFitAllocator::Block> > >, std::less<std::pair<unsigned long, void*> >, std::allocator<std::pair<std::pair<unsigned long, void*> const, std::_List_iterator<paddle::memory::allocation::AutoGrowthBestFitAllocator::Block> > > >::equal_range",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.500000000,,,,,candidate_control,OK,none
603,1016505,82.092597,4,3,1,0.250000000,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libnvrm_gpu.so,1,0.250000000,paddle::AnalysisPredictor::CollectShapeRangeInfo,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000,paddle::platform::RecordEvent::End,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000,candidate_control,OK,none
604,1016508,82.987360,3,1,2,0.666666667,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,2,0.666666667,"std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<paddle::framework::Variable*, std::allocator<paddle::framework::Variable*> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<paddle::framework::Variable*, std::allocator<paddle::framework::Variable*> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<paddle::framework::Variable*, std::allocator<paddle::framework::Variable*> > > > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>, std::tuple<> >",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,,,,,candidate_control,OK,high_unknown_ratio
605,1016508,82.688796,3,3,0,0.000000000,cudnn::cnn::GeneralizedConvolutionEngine<cudnn::cnn::EngineContainer<(cudnnBackendEngineName_t)34> >::initSupported,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.333333333,pthread_rwlock_unlock@plt,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,"std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, paddle::framework::Scope::KeyHasher, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,candidate_control,OK,none
606,1016503,83.244003,3,2,1,0.333333333,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.333333333,"std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, paddle::framework::Scope::KeyHasher, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,tcmalloc::SLL_TryPop,inlined,1,0.333333333,candidate_control,OK,none
607,1016500,82.566107,4,4,0,0.000000000,__GI___pthread_once,inlined,1,0.250000000,cudnn::backend::ExecutionPlan::setEngineConfig,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.250000000,phi::DenseTensor::ShareDataWith,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000,candidate_control,OK,none
608,1016500,83.405637,2,2,0,0.000000000,cask_cudnn::Convolution::isConsistent,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.500000000,"paddle::framework::OperatorWithKernel::PrepareData(paddle::framework::Scope const&, paddle::framework::OpKernelType const&, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, paddle::framework::RuntimeContext*) const::{lambda(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<paddle::framework::Variable*, std::allocator<paddle::framework::Variable*> >*, phi::TensorArgDef const*, bool)#1}::operator()",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.500000000,,,,,candidate_control,OK,none
609,1016510,84.626836,3,2,1,0.333333333,[unknown],/usr/lib/aarch64-linux-gnu/libc-2.31.so,1,0.333333333,cudaSetDevice,/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcudart.so.11.4.298,1,0.333333333,cudnn::cnn::GenericConvolution::ConvolutionParams::isCompleteFP32,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.333333333,candidate_control,OK,none
610,1016502,86.631309,3,0,3,1.000000000,[unknown],/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.333333333,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.333333333,[unknown],/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcudart.so.11.4.298,1,0.333333333,candidate_control,OK,high_unknown_ratio
