frame,host_tid,symbol,dso,sample_count,sample_ratio
601,1016510,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.250000000
601,1016510,paddle::experimental::detail::HasAllocation@plt,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000
601,1016510,"std::_Function_base::_Base_manager<std::_Bind<cudnn::backend::analyze_result_t (*(std::_Placeholder<1>, cudnnConvolutionFwdAlgo_t, bool))(cudnn::backend::ExecutionPlan const&, cudnnConvolutionFwdAlgo_t, bool)> >::_M_manager",/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.250000000
601,1016510,"std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, paddle::framework::Scope::KeyHasher, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000
602,1016511,operator new,inlined,1,0.500000000
602,1016511,"std::_Rb_tree<std::pair<unsigned long, void*>, std::pair<std::pair<unsigned long, void*> const, std::_List_iterator<paddle::memory::allocation::AutoGrowthBestFitAllocator::Block> >, std::_Select1st<std::pair<std::pair<unsigned long, void*> const, std::_List_iterator<paddle::memory::allocation::AutoGrowthBestFitAllocator::Block> > >, std::less<std::pair<unsigned long, void*> >, std::allocator<std::pair<std::pair<unsigned long, void*> const, std::_List_iterator<paddle::memory::allocation::AutoGrowthBestFitAllocator::Block> > > >::equal_range",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.500000000
603,1016505,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libnvrm_gpu.so,1,0.250000000
603,1016505,paddle::AnalysisPredictor::CollectShapeRangeInfo,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000
603,1016505,paddle::platform::RecordEvent::End,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000
603,1016505,phi::RWLock::RDLock,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000
604,1016508,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,2,0.666666667
604,1016508,"std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<paddle::framework::Variable*, std::allocator<paddle::framework::Variable*> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<paddle::framework::Variable*, std::allocator<paddle::framework::Variable*> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::vector<paddle::framework::Variable*, std::allocator<paddle::framework::Variable*> > > > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>, std::tuple<> >",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333
605,1016508,cudnn::cnn::GeneralizedConvolutionEngine<cudnn::cnn::EngineContainer<(cudnnBackendEngineName_t)34> >::initSupported,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.333333333
605,1016508,pthread_rwlock_unlock@plt,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333
605,1016508,"std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, paddle::framework::Scope::KeyHasher, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333
606,1016503,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.333333333
606,1016503,"std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, paddle::framework::Scope::KeyHasher, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333
606,1016503,tcmalloc::SLL_TryPop,inlined,1,0.333333333
607,1016500,__GI___pthread_once,inlined,1,0.250000000
607,1016500,cudnn::backend::ExecutionPlan::setEngineConfig,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.250000000
607,1016500,phi::DenseTensor::ShareDataWith,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000
607,1016500,"std::vector<paddle::experimental::Tensor, std::allocator<paddle::experimental::Tensor> >::operator[]",/opt/apollo/neo/packages/3rd-centerpoint-infer-op/9.0.0-rc1-r1/lib/libpd_infer_custom_op.so,1,0.250000000
608,1016500,cask_cudnn::Convolution::isConsistent,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.500000000
608,1016500,"paddle::framework::OperatorWithKernel::PrepareData(paddle::framework::Scope const&, paddle::framework::OpKernelType const&, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, paddle::framework::RuntimeContext*) const::{lambda(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<paddle::framework::Variable*, std::allocator<paddle::framework::Variable*> >*, phi::TensorArgDef const*, bool)#1}::operator()",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.500000000
609,1016510,[unknown],/usr/lib/aarch64-linux-gnu/libc-2.31.so,1,0.333333333
609,1016510,cudaSetDevice,/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcudart.so.11.4.298,1,0.333333333
609,1016510,cudnn::cnn::GenericConvolution::ConvolutionParams::isCompleteFP32,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.333333333
610,1016502,[unknown],/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.333333333
610,1016502,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.333333333
610,1016502,[unknown],/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcudart.so.11.4.298,1,0.333333333
611,1016506,__pi_clear_page,[kernel.kallsyms],6,0.240000000
611,1016506,get_page_from_freelist,[kernel.kallsyms],5,0.200000000
611,1016506,skip_ftrace_call,[kernel.kallsyms],4,0.160000000
611,1016506,[unknown],/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,2,0.080000000
611,1016506,__pi___clean_dcache_area_poc,/lib/modules/5.10.120-tegra/kernel/drivers/video/tegra/nvmap/nvmap.ko,1,0.040000000
611,1016506,_mcount,[kernel.kallsyms],1,0.040000000
611,1016506,cudnn::backend::execute,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.040000000
611,1016506,el0_svc_common.constprop.0,[kernel.kallsyms],1,0.040000000
611,1016506,nvgpu_gmmu_aperture_mask,/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,1,0.040000000
611,1016506,nvgpu_sgt_get_next,/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,1,0.040000000
611,1016506,nvgpu_strnadd_u32,/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,1,0.040000000
611,1016506,phi::DenseTensor::ShareDataWith,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.040000000
613,1016506,get_page_from_freelist,[kernel.kallsyms],6,0.240000000
613,1016506,__pi_clear_page,[kernel.kallsyms],4,0.160000000
613,1016506,__pi___clean_dcache_area_poc,/lib/modules/5.10.120-tegra/kernel/drivers/video/tegra/nvmap/nvmap.ko,3,0.120000000
613,1016506,skip_ftrace_call,[kernel.kallsyms],3,0.120000000
613,1016506,[unknown],/lib/modules/5.10.120-tegra/kernel/drivers/video/tegra/nvmap/nvmap.ko,1,0.040000000
613,1016506,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.040000000
613,1016506,__pthread_mutex_lock_full,/usr/lib/aarch64-linux-gnu/libpthread-2.31.so,1,0.040000000
613,1016506,_mcount,[kernel.kallsyms],1,0.040000000
613,1016506,nvgpu_log_dbg_impl,/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,1,0.040000000
613,1016506,nvgpu_mem_wr32,/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,1,0.040000000
