frame,infer_enter_monotonic_ns,infer_exit_monotonic_ns,infer_ms,logged_tid,logged_tid_namespace,host_tid,tid_mapping_evidence
601,75652799078449,75652881441738,82.363289,1016510,container_tid=host_tid (single-level NSpid identity),1016510,validated: before/after /proc task status Pid=NSpid=1016510 and Host ps LWP=1016510
602,75652896450371,75652977697069,81.246698,1016511,container_tid=host_tid (single-level NSpid identity),1016511,validated: before/after /proc task status Pid=NSpid=1016511 and Host ps LWP=1016511
603,75652997595683,75653079688280,82.092597,1016505,container_tid=host_tid (single-level NSpid identity),1016505,validated: before/after /proc task status Pid=NSpid=1016505 and Host ps LWP=1016505
604,75653094604656,75653177592016,82.987360,1016508,container_tid=host_tid (single-level NSpid identity),1016508,validated: before/after /proc task status Pid=NSpid=1016508 and Host ps LWP=1016508
605,75653189400226,75653272089022,82.688796,1016508,container_tid=host_tid (single-level NSpid identity),1016508,validated: before/after /proc task status Pid=NSpid=1016508 and Host ps LWP=1016508
606,75653293167586,75653376411589,83.244003,1016503,container_tid=host_tid (single-level NSpid identity),1016503,validated: before/after /proc task status Pid=NSpid=1016503 and Host ps LWP=1016503
607,75653398259891,75653480825998,82.566107,1016500,container_tid=host_tid (single-level NSpid identity),1016500,validated: before/after /proc task status Pid=NSpid=1016500 and Host ps LWP=1016500
608,75653491931639,75653575337276,83.405637,1016500,container_tid=host_tid (single-level NSpid identity),1016500,validated: before/after /proc task status Pid=NSpid=1016500 and Host ps LWP=1016500
609,75653593852929,75653678479765,84.626836,1016510,container_tid=host_tid (single-level NSpid identity),1016510,validated: before/after /proc task status Pid=NSpid=1016510 and Host ps LWP=1016510
610,75653691193106,75653777824415,86.631309,1016502,container_tid=host_tid (single-level NSpid identity),1016502,validated: before/after /proc task status Pid=NSpid=1016502 and Host ps LWP=1016502
611,75653794516237,75654070782206,276.265969,1016506,container_tid=host_tid (single-level NSpid identity),1016506,validated: before/after /proc task status Pid=NSpid=1016506 and Host ps LWP=1016506
612,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
613,75654080631159,75654356591045,275.959886,1016506,container_tid=host_tid (single-level NSpid identity),1016506,validated: before/after /proc task status Pid=NSpid=1016506 and Host ps LWP=1016506
614,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
615,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
616,75654365951416,75654670786986,304.835570,1016506,container_tid=host_tid (single-level NSpid identity),1016506,validated: before/after /proc task status Pid=NSpid=1016506 and Host ps LWP=1016506
617,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
618,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
619,75654683014209,75655009527614,326.513405,1016506,container_tid=host_tid (single-level NSpid identity),1016506,validated: before/after /proc task status Pid=NSpid=1016506 and Host ps LWP=1016506
620,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
621,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
622,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
623,75655018562573,75655336493536,317.930963,1016506,container_tid=host_tid (single-level NSpid identity),1016506,validated: before/after /proc task status Pid=NSpid=1016506 and Host ps LWP=1016506
624,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
625,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
