timestamp,cpu,event,prev_tid,prev_comm,prev_state,next_tid,next_comm,target_tid,waker_tid,orig_cpu,dest_cpu,selection_reason,raw_event
75652.498508,8,sched_switch,1016510,mainboard,R,1016572,dds.ev.1,1016510,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 1016510 [008] 75652.498508:       sched:sched_switch: prev_comm=mainboard prev_pid=1016510 prev_prio=120 prev_state=R ==> next_comm=dds.ev.1 next_pid=1016572 next_prio=120
75652.498537,8,sched_switch,1016572,dds.ev.1,S,1016510,mainboard,1016510,,,,switch_involving_anomaly_target_or_kswapd0,        dds.ev.1 1016572 [008] 75652.498537:       sched:sched_switch: prev_comm=dds.ev.1 prev_pid=1016572 prev_prio=120 prev_state=S ==> next_comm=mainboard next_pid=1016510 next_prio=120
75652.501308,8,sched_switch,1016510,mainboard,R,1016463,mainboard,1016510,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 1016510 [008] 75652.501308:       sched:sched_switch: prev_comm=mainboard prev_pid=1016510 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=1016463 next_prio=120
75652.501364,8,sched_switch,1016463,mainboard,R,1016510,mainboard,1016510,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 1016463 [008] 75652.501364:       sched:sched_switch: prev_comm=mainboard prev_pid=1016463 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=1016510 next_prio=120
75652.501375,8,sched_switch,1016510,mainboard,R,1016463,mainboard,1016510,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 1016510 [008] 75652.501375:       sched:sched_switch: prev_comm=mainboard prev_pid=1016510 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=1016463 next_prio=120
75652.501385,8,sched_switch,1016463,mainboard,S,1016510,mainboard,1016510,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 1016463 [008] 75652.501385:       sched:sched_switch: prev_comm=mainboard prev_pid=1016463 prev_prio=120 prev_state=S ==> next_comm=mainboard next_pid=1016510 next_prio=120
75652.502231,8,sched_switch,1016510,mainboard,S,0,swapper/8,1016510,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 1016510 [008] 75652.502231:       sched:sched_switch: prev_comm=mainboard prev_pid=1016510 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
75652.502479,0,sched_waking,,,,1016510,mainboard,1016510,177,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   177 [000] 75652.502479:       sched:sched_waking: comm=mainboard pid=1016510 prio=120 target_cpu=008
75652.502492,8,sched_switch,0,swapper/8,R,1016510,mainboard,1016510,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [008] 75652.502492:       sched:sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=1016510 next_prio=120
75652.502846,8,sched_switch,1016510,mainboard,S,0,swapper/8,1016510,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 1016510 [008] 75652.502846:       sched:sched_switch: prev_comm=mainboard prev_pid=1016510 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
75652.503191,0,sched_waking,,,,1016510,mainboard,1016510,177,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   177 [000] 75652.503191:       sched:sched_waking: comm=mainboard pid=1016510 prio=120 target_cpu=008
75652.503199,8,sched_switch,0,swapper/8,R,1016510,mainboard,1016510,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [008] 75652.503199:       sched:sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=1016510 next_prio=120
75652.503318,8,sched_switch,1016510,mainboard,S,0,swapper/8,1016510,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 1016510 [008] 75652.503318:       sched:sched_switch: prev_comm=mainboard prev_pid=1016510 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
75652.503491,0,sched_waking,,,,1016510,mainboard,1016510,177,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   177 [000] 75652.503491:       sched:sched_waking: comm=mainboard pid=1016510 prio=120 target_cpu=008
75652.503498,8,sched_switch,0,swapper/8,R,1016510,mainboard,1016510,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [008] 75652.503498:       sched:sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=1016510 next_prio=120
75652.504595,8,sched_switch,1016510,mainboard,S,0,swapper/8,1016510,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 1016510 [008] 75652.504595:       sched:sched_switch: prev_comm=mainboard prev_pid=1016510 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
75652.504752,0,sched_waking,,,,1016510,mainboard,1016510,177,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   177 [000] 75652.504752:       sched:sched_waking: comm=mainboard pid=1016510 prio=120 target_cpu=008
75652.504754,0,sched_migrate_task,1016510,mainboard,,,,1016510,,8,9,migration_of_anomaly_target_or_kswapd0, irq/134-host_sy   177 [000] 75652.504754: sched:sched_migrate_task: comm=mainboard pid=1016510 prio=120 orig_cpu=8 dest_cpu=9
75652.504759,9,sched_switch,0,swapper/9,R,1016510,mainboard,1016510,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [009] 75652.504759:       sched:sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=1016510 next_prio=120
75652.504913,9,sched_switch,1016510,mainboard,S,0,swapper/9,1016510,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 1016510 [009] 75652.504913:       sched:sched_switch: prev_comm=mainboard prev_pid=1016510 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
75652.504942,0,sched_waking,,,,1016510,mainboard,1016510,177,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   177 [000] 75652.504942:       sched:sched_waking: comm=mainboard pid=1016510 prio=120 target_cpu=009
75652.504949,9,sched_switch,0,swapper/9,R,1016510,mainboard,1016510,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [009] 75652.504949:       sched:sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=1016510 next_prio=120
