frame,host_tid,infer_ms,running_ms,running_ratio,sleep_block_ms,sleep_block_ratio,runnable_wait_ms,runnable_wait_ratio,max_sched_delay_ms,context_switches,migration_count,cpu_list,kswapd0_cpu_ms,kswapd0_overlap_running_ms,kswapd0_overlap_runnable_ms,top_competitor_tid,top_competitor_comm,top_competitor_cpu_ms,frame_role,data_status,unclassified_sched_ms
601,1016510,82.363289,30.244289,0.367205941,51.333000,0.623250972,0.786000,0.009543087,0.070000,33,1,8;9,0.000000,0.000000,0.000000,1016547,dds.ev.1,0.098000,candidate_control,OK,0.000000
602,1016511,81.246698,29.203698,0.359444738,51.728000,0.636678183,0.315000,0.003877080,0.036000,30,2,1;2;3,0.000000,0.000000,0.000000,928,sugov:0,0.140000,candidate_control,OK,0.000000
603,1016505,82.092597,33.997597,0.414137184,47.654000,0.580490833,0.441000,0.005371983,0.100000,20,1,9;11,0.000000,0.000000,0.000000,1016426,mainboard,0.198000,candidate_control,OK,0.000000
604,1016508,82.987360,31.643360,0.381303370,50.302000,0.606140501,1.042000,0.012556129,0.264000,33,5,0;1;11,0.000000,0.000000,0.000000,1016428,mainboard,0.222000,candidate_control,OK,0.000000
605,1016508,82.688796,29.748796,0.359768160,52.469000,0.634535784,0.471000,0.005696056,0.090000,23,0,10,0.000000,0.000000,0.000000,1017015,dds.udp.27400,0.078000,candidate_control,OK,0.000000
606,1016503,83.244003,30.870003,0.370837561,51.947000,0.624032941,0.427000,0.005129499,0.230000,15,2,9;11,0.000000,0.000000,0.000000,1016741,mainboard,0.074000,candidate_control,OK,0.000000
607,1016500,82.566107,33.639107,0.407420287,48.587000,0.588461801,0.340000,0.004117912,0.111000,22,1,9;11,0.000000,0.000000,0.000000,1016511,mainboard,0.050000,candidate_control,OK,0.000000
608,1016500,83.405637,30.365637,0.364071760,52.491000,0.629345952,0.549000,0.006582289,0.093000,26,3,1;3;8;11,0.000000,0.000000,0.000000,1015646,dds.ev.1,0.067000,candidate_control,OK,0.000000
609,1016510,84.626836,29.488836,0.348457267,54.386000,0.642656663,0.752000,0.008886070,0.175000,23,2,8;9,0.000000,0.000000,0.000000,1015900,user_thread_0,0.137000,candidate_control,OK,0.000000
610,1016502,86.631309,30.757309,0.355036871,54.842000,0.633050576,1.032000,0.011912553,0.227000,29,1,9;11,0.000000,0.000000,0.000000,1016418,mainboard,0.220000,candidate_control,OK,0.000000
611,1016506,276.265969,251.482969,0.910292969,23.945000,0.086673723,0.838000,0.003033309,0.190000,30,1,8;11,53.924776,34.765776,0.135000,1016738,dds.udp.27400,0.118000,anomaly,OK,0.000000
612,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
613,1016506,275.959886,249.888886,0.905526124,24.976000,0.090505908,1.095000,0.003967968,0.172000,42,1,8;9,199.813886,197.347886,0.872000,1016446,mainboard,0.220000,anomaly,OK,0.000000
614,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
615,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
616,1016506,304.835570,274.913570,0.901842164,25.777000,0.084560342,4.145000,0.013597495,1.839000,50,1,9;10,273.090570,251.913570,3.797000,1016436,bvar_sampler,1.839000,anomaly,OK,0.000000
617,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
618,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
619,1016506,326.513405,292.743405,0.896573925,22.501000,0.068912944,11.269000,0.034513131,4.124000,121,2,1;2;10,284.645221,272.877221,10.866000,994786,kworker/u24:4,1.265000,anomaly,OK,0.000000
620,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
621,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
622,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
623,1016506,317.930963,288.596963,0.907734686,24.222000,0.076186351,5.112000,0.016078963,2.558000,56,0,2,230.928000,228.623000,2.305000,1019705,dds.udp.27457,0.720000,anomaly,OK,0.000000
624,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
625,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
626,1016506,94.697937,36.875937,0.389405917,54.675000,0.577362102,3.147000,0.033231981,1.360000,33,6,0;1;2;3,62.310000,20.802000,2.766000,1015832,dreamview_plus,1.665000,anomaly,OK,0.000000
627,1016506,100.131092,32.392092,0.323496841,56.479000,0.564050575,11.260000,0.112452584,9.481000,31,4,1;2;3,6.542000,6.238000,0.304000,1016443,mainboard,1.156000,anomaly,OK,0.000000
628,1016506,98.513087,36.921087,0.374783576,55.308000,0.561427946,6.284000,0.063788479,0.474000,140,4,1;2;3,0.008000,0.008000,0.000000,1015899,dreamview_plus,0.877000,anomaly,OK,0.000000
629,1016506,100.335094,34.908094,0.347915097,58.233000,0.580385164,7.194000,0.071699739,1.559000,95,5,0;1;2;3,0.000000,0.000000,0.000000,1015899,dreamview_plus,0.450000,anomaly,OK,0.000000
630,1016506,90.985507,30.617507,0.336509714,59.094000,0.649488056,1.274000,0.014002230,0.195000,44,5,1;2;3,0.000000,0.000000,0.000000,1016739,dds.udp.27443,0.185000,anomaly,OK,0.000000
631,1016506,94.082153,31.269153,0.332360092,61.291000,0.651462558,1.522000,0.016177350,0.518000,45,2,1;2;3,0.000000,0.000000,0.000000,1016739,dds.udp.27443,0.178000,anomaly,OK,0.000000
632,1016506,91.116709,30.062709,0.329936291,58.927000,0.646720022,2.127000,0.023343688,0.928000,30,4,2;3,0.000000,0.000000,0.000000,1015831,dreamview_plus,0.928000,anomaly,OK,0.000000
633,1016506,89.043019,29.602019,0.332446264,59.169000,0.664499033,0.272000,0.003054703,0.056000,23,3,1;2;3,0.000000,0.000000,0.000000,1016432,mainboard,0.036000,anomaly,OK,0.000000
634,1016506,92.033840,30.567840,0.332136962,60.477000,0.657116991,0.989000,0.010746047,0.191000,39,7,0;1;2;3,0.000000,0.000000,0.000000,1016576,dds.udp.27433,0.133000,anomaly,OK,0.000000
635,1016506,92.549846,31.105846,0.336098301,57.998000,0.626667709,3.446000,0.037233989,3.098000,20,1,2;3,0.000000,0.000000,0.000000,994894,node,2.944000,anomaly,OK,0.000000
636,1016506,89.243789,29.483789,0.330373568,58.837000,0.659283976,0.923000,0.010342456,0.477000,22,2,1;2;3,0.000000,0.000000,0.000000,1016395,mainboard,0.455000,anomaly,OK,0.000000
637,1016506,90.368059,30.727059,0.340021234,58.571000,0.648138299,1.070000,0.011840467,0.471000,24,5,0;1;2,0.000000,0.000000,0.000000,1019705,dds.udp.27457,0.357000,anomaly,OK,0.000000
638,1016504,94.970804,35.730804,0.376229351,48.644000,0.512199518,10.596000,0.111571131,6.737000,54,3,4;5;6,0.000000,0.000000,0.000000,1016451,mainboard,7.003000,anomaly,OK,0.000000
639,1016504,90.435644,29.773644,0.329224658,58.695000,0.649025068,1.967000,0.021750273,1.129000,40,3,4;5;6;7,0.000000,0.000000,0.000000,1016458,mainboard,1.112000,anomaly,OK,0.000000
640,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
641,1016504,86.677997,29.182997,0.336682872,56.662000,0.653706846,0.833000,0.009610282,0.105000,31,0,5,0.000000,0.000000,0.000000,1016439,mainboard,0.105000,anomaly,OK,0.000000
642,1016504,87.656473,29.591473,0.337584573,57.109000,0.651509216,0.956000,0.010906210,0.421000,28,3,1;2;5;6,0.000000,0.000000,0.000000,994788,node,0.421000,anomaly,OK,0.000000
643,1016507,86.702958,31.260958,0.360552382,55.066000,0.635110973,0.376000,0.004336646,0.149000,18,0,6,0.000000,0.000000,0.000000,1016563,mainboard,0.149000,anomaly,OK,0.000000
644,1016507,85.905636,29.662636,0.345293247,55.718000,0.648595396,0.525000,0.006111357,0.064000,28,1,6;7,0.000000,0.000000,0.000000,1016421,mainboard,0.095000,anomaly,OK,0.000000
645,1016507,86.272905,30.326905,0.351522938,55.624000,0.644744720,0.322000,0.003732342,0.053000,24,3,0;1;2;7,0.000000,0.000000,0.000000,1019640,cyber_recorder,0.053000,anomaly,OK,0.000000
646,1016507,85.506431,31.780431,0.371672991,53.466000,0.625286302,0.260000,0.003040707,0.044000,20,2,0;2;3,0.000000,0.000000,0.000000,1016464,mainboard,0.102000,anomaly,OK,0.000000
647,1016510,86.311337,30.012337,0.347721841,56.068000,0.649601801,0.231000,0.002676358,0.058000,20,0,6,0.000000,0.000000,0.000000,1019660,cyber_recorder,0.058000,anomaly,OK,0.000000
648,1016510,85.895108,28.456108,0.331289041,56.805000,0.661329863,0.634000,0.007381096,0.317000,18,0,6,18.832000,1.761000,0.324000,1016424,mainboard,0.312000,anomaly,OK,0.000000
649,1016510,87.997342,29.326342,0.333263952,56.273000,0.639485224,2.398000,0.027250824,1.137000,30,3,4;6;7,3.142000,0.000000,0.000000,1016470,mainboard,1.137000,anomaly,OK,0.000000
650,1016510,85.586497,28.851497,0.337103375,56.244000,0.657159738,0.491000,0.005736887,0.115000,24,1,6;7,0.008000,0.000000,0.000000,1019647,cyber_recorder,0.105000,candidate_control,OK,0.000000
651,1016501,86.252648,29.665648,0.343938982,56.090000,0.650298876,0.497000,0.005762142,0.089000,24,1,4;6,0.000000,0.000000,0.000000,930,sugov:4,0.116000,candidate_control,OK,0.000000
652,1016508,84.944984,29.526984,0.347601266,55.060000,0.648184241,0.358000,0.004214493,0.083000,20,4,4;5;7,0.000000,0.000000,0.000000,1019669,cyber_recorder,0.052000,candidate_control,OK,0.000000
653,1016512,84.586676,29.700676,0.351127121,54.408000,0.643221871,0.478000,0.005651008,0.084000,20,3,4;5;6,0.000000,0.000000,0.000000,1022,gmain,0.084000,candidate_control,OK,0.000000
654,1016506,86.856080,30.114080,0.346712401,55.159000,0.635062047,1.583000,0.018225552,1.381000,19,3,1;2;3,0.000000,0.000000,0.000000,1016458,mainboard,1.423000,candidate_control,OK,0.000000
655,1016505,84.955545,28.697545,0.337794843,55.969000,0.658803377,0.289000,0.003401780,0.058000,18,3,4;5;6;7,0.000000,0.000000,0.000000,1019666,cyber_recorder,0.058000,candidate_control,OK,0.000000
656,1016500,91.883118,30.868118,0.335949832,54.813000,0.596551371,6.202000,0.067498797,3.658000,25,6,0;1;2;3,0.000000,0.000000,0.000000,1016551,dds.udp.27429,0.352000,candidate_control,OK,0.000000
