frame,running_ms,total_samples,normal_infer_samples,normal_infer_cpu_ms,cuda_malloc_samples,cuda_malloc_cpu_ms,other_samples,other_cpu_ms
622,82.346837,8,3,30.303030,5,50.505051,0,0.000000
623,235.735039,23,3,30.303030,20,202.020202,0,0.000000
625,251.664267,25,3,30.303030,22,222.222222,0,0.000000
628,224.983558,22,2,20.202020,19,191.919192,1,10.101010
631,216.198389,21,2,20.202020,18,181.818182,1,10.101010
633,213.322168,22,3,30.303030,19,191.919192,0,0.000000
636,37.967032,4,3,30.303030,0,0.000000,1,10.101010
637,33.256010,3,2,20.202020,0,0.000000,1,10.101010
638,33.971273,3,2,20.202020,0,0.000000,1,10.101010
639,30.609488,3,1,10.101010,0,0.000000,2,20.202020
