frame,host_tid,infer_ms,stack_sample_count,resolved_sample_count,unknown_sample_count,unknown_ratio,top1_symbol,top1_dso,top1_samples,top1_ratio,top2_symbol,top2_dso,top2_samples,top2_ratio,top3_symbol,top3_dso,top3_samples,top3_ratio,frame_role,data_status,quality_flag
622,29037,105.322837,8,6,2,0.250000000,__pi___clean_dcache_area_poc,/lib/modules/5.10.120-tegra/kernel/drivers/video/tegra/nvmap/nvmap.ko,2,0.250000000,[unknown],/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,1,0.125000000,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.125000000,anomaly,OK,none
623,29037,260.626039,23,18,5,0.217391304,[unknown],/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,5,0.217391304,__pi_clear_page,[kernel.kallsyms],4,0.173913043,skip_ftrace_call,[kernel.kallsyms],3,0.130434783,anomaly,OK,none
624,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
625,29037,276.008267,25,22,3,0.120000000,__pi_clear_page,[kernel.kallsyms],7,0.280000000,__pi___clean_dcache_area_poc,/lib/modules/5.10.120-tegra/kernel/drivers/video/tegra/nvmap/nvmap.ko,4,0.160000000,[unknown],/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,2,0.080000000,anomaly,OK,none
626,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
627,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
628,29037,247.630558,22,21,1,0.045454545,__pi_clear_page,[kernel.kallsyms],8,0.363636364,__pi___clean_dcache_area_poc,/lib/modules/5.10.120-tegra/kernel/drivers/video/tegra/nvmap/nvmap.ko,4,0.181818182,_mcount,[kernel.kallsyms],2,0.090909091,anomaly,OK,none
629,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
630,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
631,29037,244.787389,21,21,0,0.000000000,__pi_clear_page,[kernel.kallsyms],5,0.238095238,__pi___clean_dcache_area_poc,/lib/modules/5.10.120-tegra/kernel/drivers/video/tegra/nvmap/nvmap.ko,4,0.190476190,get_page_from_freelist,[kernel.kallsyms],3,0.142857143,anomaly,OK,none
