timestamp,cpu,event,prev_tid,prev_comm,prev_state,next_tid,next_comm,target_tid,waker_tid,orig_cpu,dest_cpu,selection_reason,raw_event
518001.826712,4,sched_waking,,,,135,kswapd0,29037,32087,,,wake_of_anomaly_target_or_kswapd0,            perf 32087 [004] 518001.826712:       sched:sched_waking: comm=kswapd0 pid=135 prio=120 target_cpu=006
518001.826717,6,sched_switch,0,swapper/6,R,135,kswapd0,29037,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [006] 518001.826717:       sched:sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kswapd0 next_pid=135 next_prio=120
518001.829264,6,sched_switch,135,kswapd0,R+,131,kworker/6:1H,29037,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   135 [006] 518001.829264:       sched:sched_switch: prev_comm=kswapd0 prev_pid=135 prev_prio=120 prev_state=R+ ==> next_comm=kworker/6:1H next_pid=131 next_prio=100
518001.829271,6,sched_switch,131,kworker/6:1H,I,135,kswapd0,29037,,,,switch_involving_anomaly_target_or_kswapd0, kworker/6:1H-kb   131 [006] 518001.829271:       sched:sched_switch: prev_comm=kworker/6:1H prev_pid=131 prev_prio=100 prev_state=I ==> next_comm=kswapd0 next_pid=135 next_prio=120
518001.830066,6,sched_switch,135,kswapd0,R+,131,kworker/6:1H,29037,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   135 [006] 518001.830066:       sched:sched_switch: prev_comm=kswapd0 prev_pid=135 prev_prio=120 prev_state=R+ ==> next_comm=kworker/6:1H next_pid=131 next_prio=100
518001.830079,6,sched_switch,131,kworker/6:1H,I,135,kswapd0,29037,,,,switch_involving_anomaly_target_or_kswapd0, kworker/6:1H-kb   131 [006] 518001.830079:       sched:sched_switch: prev_comm=kworker/6:1H prev_pid=131 prev_prio=100 prev_state=I ==> next_comm=kswapd0 next_pid=135 next_prio=120
518001.832831,6,sched_switch,135,kswapd0,R+,4085835,kworker/6:1,29037,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   135 [006] 518001.832831:       sched:sched_switch: prev_comm=kswapd0 prev_pid=135 prev_prio=120 prev_state=R+ ==> next_comm=kworker/6:1 next_pid=4085835 next_prio=120
518001.832838,6,sched_switch,4085835,kworker/6:1,I,135,kswapd0,29037,,,,switch_involving_anomaly_target_or_kswapd0, kworker/6:1-eve 4085835 [006] 518001.832838:       sched:sched_switch: prev_comm=kworker/6:1 prev_pid=4085835 prev_prio=120 prev_state=I ==> next_comm=kswapd0 next_pid=135 next_prio=120
518001.83781,6,sched_switch,135,kswapd0,R+,4085835,kworker/6:1,29037,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   135 [006] 518001.837810:       sched:sched_switch: prev_comm=kswapd0 prev_pid=135 prev_prio=120 prev_state=R+ ==> next_comm=kworker/6:1 next_pid=4085835 next_prio=120
518001.837815,6,sched_switch,4085835,kworker/6:1,I,135,kswapd0,29037,,,,switch_involving_anomaly_target_or_kswapd0, kworker/6:1-eve 4085835 [006] 518001.837815:       sched:sched_switch: prev_comm=kworker/6:1 prev_pid=4085835 prev_prio=120 prev_state=I ==> next_comm=kswapd0 next_pid=135 next_prio=120
518001.843289,6,sched_switch,135,kswapd0,R+,4085835,kworker/6:1,29037,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   135 [006] 518001.843289:       sched:sched_switch: prev_comm=kswapd0 prev_pid=135 prev_prio=120 prev_state=R+ ==> next_comm=kworker/6:1 next_pid=4085835 next_prio=120
518001.843293,6,sched_switch,4085835,kworker/6:1,I,135,kswapd0,29037,,,,switch_involving_anomaly_target_or_kswapd0, kworker/6:1-eve 4085835 [006] 518001.843293:       sched:sched_switch: prev_comm=kworker/6:1 prev_pid=4085835 prev_prio=120 prev_state=I ==> next_comm=kswapd0 next_pid=135 next_prio=120
518001.843305,6,sched_switch,135,kswapd0,S,0,swapper/6,29037,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   135 [006] 518001.843305:       sched:sched_switch: prev_comm=kswapd0 prev_pid=135 prev_prio=120 prev_state=S ==> next_comm=swapper/6 next_pid=0 next_prio=120
518001.883232,2,sched_waking,,,,29037,mainboard,29037,29028,,,wake_of_anomaly_target_or_kswapd0,       mainboard 29028 [002] 518001.883232:       sched:sched_waking: comm=mainboard pid=29037 prio=120 target_cpu=009
518001.883241,2,sched_migrate_task,29037,mainboard,,,,29037,,9,3,migration_of_anomaly_target_or_kswapd0,       mainboard 29028 [002] 518001.883241: sched:sched_migrate_task: comm=mainboard pid=29037 prio=120 orig_cpu=9 dest_cpu=3
518001.883247,3,sched_switch,0,swapper/3,R,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [003] 518001.883247:       sched:sched_switch: prev_comm=swapper/3 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=29037 next_prio=120
