frame,host_tid,infer_ms,running_ms,running_ratio,sleep_block_ms,sleep_block_ratio,runnable_wait_ms,runnable_wait_ratio,max_sched_delay_ms,context_switches,migration_count,cpu_list,kswapd0_cpu_ms,kswapd0_overlap_running_ms,kswapd0_overlap_runnable_ms,top_competitor_tid,top_competitor_comm,top_competitor_cpu_ms,frame_role,data_status,unclassified_sched_ms
622,29037,105.322837,82.346837,0.781851679,22.381000,0.212499024,0.595000,0.005649297,0.069000,30,1,8;9,43.985701,22.403701,0.267000,28949,mainboard,0.077000,anomaly,OK,0.000000
623,29037,260.626039,235.735039,0.904495345,23.220000,0.089093170,1.671000,0.006411485,0.116000,100,0,9,16.165055,13.944055,1.335000,4087172,kworker/9:2,1.150000,anomaly,OK,0.000000
624,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
625,29037,276.008267,251.664267,0.911799744,23.420000,0.084852530,0.924000,0.003347726,0.428000,27,2,9;11,0.000000,0.000000,0.000000,27996,dds.udp.27400,0.213000,anomaly,OK,0.000000
626,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
627,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
628,29037,247.630558,224.983558,0.908545213,22.416000,0.090521946,0.231000,0.000932841,0.046000,22,3,0;1;3;9,0.000000,0.000000,0.000000,28987,mainboard,0.046000,anomaly,OK,0.000000
629,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
630,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
631,29037,244.787389,216.198389,0.883208854,24.952000,0.101933355,3.637000,0.014857791,2.196000,28,6,1;2;3,0.000000,0.000000,0.000000,28251,dds.udp.27417,0.235000,anomaly,OK,0.000000
632,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
633,29037,247.747168,213.322168,0.861047857,22.473000,0.090709413,11.952000,0.048242730,10.693000,40,3,0;1;2;3,80.638905,47.739905,11.222000,135,kswapd0,10.679000,anomaly,OK,0.000000
634,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
635,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,
636,29037,102.755032,37.967032,0.369490731,51.138000,0.497669057,13.650000,0.132840212,13.459000,21,3,0;1;2;3,11.690950,0.951950,9.939000,28973,mainboard,13.332000,anomaly,OK,0.000000
637,29037,88.705010,33.256010,0.374905655,54.817000,0.617969607,0.632000,0.007124738,0.183000,25,3,1;2;3,0.008000,0.008000,0.000000,29110,dds.udp.27433,0.288000,anomaly,OK,0.000000
638,29037,88.576273,33.971273,0.383525653,50.478000,0.569881732,4.127000,0.046592615,3.887000,22,1,1;3,0.000000,0.000000,0.000000,32087,perf,3.887000,anomaly,OK,0.000000
639,29037,87.776488,30.609488,0.348720809,57.056000,0.650014616,0.111000,0.001264576,0.010000,16,1,0;1,0.000000,0.000000,0.000000,174,irq/134-host_sy,0.024000,anomaly,OK,0.000000
