source_frame_index,target_tid,cp_enter_line,cp_exit_line,enter_apollo_mono_ns,exit_apollo_mono_ns,enter_perf_s,exit_perf_s,cp_duration_ms,internal_inference_ms,duration_difference_ms
622,29037,28897,28910,518007652089385,518007757412222,518002.792974864,518002.898297701,105.322837,105.42,-0.09700000000000841
623,29037,28948,28975,518007766575466,518008027201505,518002.907460945,518003.168086984,260.626039,260.731,-0.10500000000001819
625,29037,29016,29047,518008037026965,518008313035232,518003.177912444,518003.453920711,276.008267,276.118,-0.11000000000001364
628,29037,29085,29122,518008322537168,518008570167726,518003.463422647,518003.711053205,247.630558,247.736,-0.10499999999998977
631,29037,29160,29185,518008579362074,518008824149463,518003.720247553,518003.965034942,244.787389,244.924,-0.13700000000000045
633,29037,29222,29257,518008834638258,518009082385426,518003.975523737,518004.223270905,247.747168,247.863,-0.11599999999998545
636,29037,29294,29307,518009091989571,518009194744603,518004.23287505,518004.335630082,102.755032,102.854,-0.09900000000000375
637,29037,29344,29357,518009205156405,518009293861415,518004.346041884,518004.434746894,88.70501,88.8346,-0.12959999999999638
638,29037,29395,29408,518009303514713,518009392090986,518004.444400192,518004.532976465,88.576273,88.6866,-0.11029999999999518
639,29037,29446,29459,518009401574553,518009489351041,518004.542460032,518004.63023652,87.776488,87.8763,-0.09980000000000189
