source_frame_index,target_tid,cp_enter_line,cp_exit_line,enter_apollo_mono_ns,exit_apollo_mono_ns,enter_perf_s,exit_perf_s,cp_duration_ms,internal_inference_ms,duration_difference_ms
601,1016510,27247,27254,75652799078449,75652881441738,75652.501732019,75652.584095308,82.363289,82.4625,-0.09920000000001039
602,1016511,27298,27305,75652896450371,75652977697069,75652.599103941,75652.680350639,81.246698,81.3269,-0.08019999999999072
603,1016505,27345,27351,75652997595683,75653079688280,75652.700249253,75652.78234185,82.092597,82.185,-0.09239999999999782
604,1016508,27397,27404,75653094604656,75653177592016,75652.797258226,75652.880245586,82.98736,83.0771,-0.08970000000000766
605,1016508,27448,27452,75653189400226,75653272089022,75652.892053796,75652.974742592,82.688796,82.7812,-0.09239999999999782
606,1016503,27497,27504,75653293167586,75653376411589,75652.995821156,75653.079065159,83.244003,83.3581,-0.11409999999999343
607,1016500,27548,27559,75653398259891,75653480825998,75653.100913461,75653.183479568,82.566107,82.6499,-0.08379999999999654
608,1016500,27599,27606,75653491931639,75653575337276,75653.194585209,75653.277990846,83.405637,83.487,-0.08139999999998793
609,1016510,27650,27657,75653593852929,75653678479765,75653.296506499,75653.381133335,84.626836,84.7145,-0.08769999999999811
610,1016502,27699,27706,75653691193106,75653777824415,75653.393846676,75653.480477985,86.631309,86.7222,-0.09090000000000487
