source_frame_index,target_tid,cp_enter_line,cp_exit_line,enter_apollo_mono_ns,exit_apollo_mono_ns,enter_perf_s,exit_perf_s,cp_duration_ms,internal_inference_ms,duration_difference_ms
626,1016506,28114,28127,75655346466779,75655441164716,75655.049120349,75655.143818286,94.697937,94.8582,-0.16029999999999234
627,1016506,28163,28176,75655450650561,75655550781653,75655.153304131,75655.253435223,100.131092,100.239,-0.10800000000000409
628,1016506,28214,28227,75655560287754,75655658800841,75655.262941324,75655.361454411,98.513087,98.6384,-0.12530000000000996
629,1016506,28265,28281,75655668829477,75655769164571,75655.371483047,75655.471818141,100.335094,100.443,-0.10800000000000409
630,1016506,28321,28331,75655779436410,75655870421917,75655.48208998,75655.573075487,90.985507,91.0951,-0.10960000000000036
631,1016506,28373,28382,75655881437861,75655975520014,75655.584091431,75655.678173584,94.082153,94.1865,-0.10429999999999495
632,1016506,28423,28433,75655985292166,75656076408875,75655.687945736,75655.779062445,91.116709,91.2161,-0.09940000000000282
633,1016506,28473,28482,75656085534107,75656174577126,75655.788187677,75655.877230696,89.043019,89.1397,-0.09669999999999845
634,1016506,28523,28533,75656183602709,75656275636549,75655.886256279,75655.978290119,92.03384,92.1368,-0.10299999999999443
635,1016506,28573,28580,75656284960280,75656377510126,75655.98761385,75656.080163696,92.549846,92.6704,-0.12059999999999604
636,1016506,28619,28633,75656387752781,75656476996570,75656.090406351,75656.17965014,89.243789,89.3362,-0.09240000000001203
637,1016506,28673,28680,75656486162699,75656576530758,75656.188816269,75656.279184328,90.368059,90.4766,-0.10850000000000648
638,1016504,28717,28734,75656599227934,75656694198738,75656.301881504,75656.396852308,94.970804,95.1502,-0.17940000000000111
639,1016504,28771,28790,75656707833018,75656798268662,75656.410486588,75656.500922232,90.435644,90.5357,-0.10010000000001185
641,1016504,28828,28841,75656813300112,75656899978109,75656.515953682,75656.602631679,86.677997,86.8009,-0.12290000000000134
642,1016504,28878,28885,75656912244405,75656999900878,75656.614897975,75656.702554448,87.656473,87.7528,-0.09629999999999939
643,1016507,28928,28941,75657015055273,75657101758231,75656.717708843,75656.804411801,86.702958,86.8153,-0.11229999999999052
644,1016507,28977,28990,75657113734891,75657199640527,75656.816388461,75656.902294097,85.905636,86.0101,-0.10449999999998738
645,1016507,29028,29039,75657212058984,75657298331889,75656.914712554,75657.000985459,86.272905,86.4215,-0.14859999999998763
646,1016507,29077,29084,75657308071753,75657393578184,75657.010725323,75657.096231754,85.506431,85.6343,-0.1278999999999968
647,1016510,29123,29135,75657405492251,75657491803588,75657.108145821,75657.194457158,86.311337,86.4088,-0.09749999999999659
648,1016510,29175,29188,75657501641822,75657587536930,75657.204295392,75657.2901905,85.895108,85.9759,-0.08079999999999643
649,1016510,29225,29238,75657598400232,75657686397574,75657.301053802,75657.389051144,87.997342,88.0741,-0.07680000000000575
