frame,segment,phase,perception_input_time,p4_input_ready_time,p4_proc_enter,infer_start,infer_end,p4_output_time,p4_execution_ms,p4_waiting_ms,p4_deadline_budget_ms,p4_slack_ms,p4_state,host_tid,perf_window_start,perf_window_end,perf_sched_raw_file,cpu_stack_raw_file,notes
601,S4_reference,normal,1787816293.4913623,75651989596192.0,75651989810592.0,75652799078449,75652881441738,75652081624672.0,91.81408,0.2144,96.467456,4.438976,pass,1016510,75652.501732019,75652.584095308,extracted/F601_F610_normal/F601_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
602,S4_reference,normal,1787816293.5913968,75652086063648.0,75652086176608.0,75652896450371,75652977697069,75652177144512.0,90.967904,0.11296,100.266496,9.185632,pass,1016511,75652.599103941,75652.680350639,extracted/F601_F610_normal/F602_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
603,S4_reference,normal,1787816293.6915507,75652186330144.0,75652186458656.0,75652997595683,75653079688280,75652279618208.0,93.159552,0.128512,98.30928,5.021216,pass,1016505,75652.700249253,75652.78234185,extracted/F601_F610_normal/F603_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
604,S4_reference,normal,1787816293.7915435,75652284639424.0,75652284768832.0,75653094604656,75653177592016,75652377767904.0,92.999072,0.129408,93.831456,0.702976,pass,1016508,75652.797258226,75652.880245586,extracted/F601_F610_normal/F604_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
605,S4_reference,normal,1787816293.8915138,75652378470880.0,75652379545312.0,75653189400226,75653272089022,75652471887840.0,92.342528,1.074432,105.1272,11.71024,pass,1016508,75652.892053796,75652.974742592,extracted/F601_F610_normal/F605_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
606,S4_reference,normal,1787816293.9921186,75652483598080.0,75652483713984.0,75653293167586,75653376411589,75652576359264.0,92.64528,0.115904,102.258848,9.497664,pass,1016503,75652.995821156,75653.079065159,extracted/F601_F610_normal/F606_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
607,S4_reference,normal,1787816294.0914185,75652585856928.0,75652585985760.0,75653398259891,75653480825998,75652680781376.0,94.795616,0.128832,93.247648,-1.6768,execution_driven_miss,1016500,75653.100913461,75653.183479568,extracted/F601_F610_normal/F607_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
608,S4_reference,normal,1787816294.1913066,75652679104576.0,75652682229792.0,75653491931639,75653575337276,75652775165216.0,92.935424,3.125216,105.291136,9.230496,pass,1016500,75653.194585209,75653.277990846,extracted/F601_F610_normal/F608_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
609,S4_reference,normal,1787816294.2920158,75652784395712.0,75652784501504.0,75653593852929,75653678479765,75652878343872.0,93.842368,0.105792,96.450464,2.502304,pass,1016510,75653.296506499,75653.381133335,extracted/F601_F610_normal/F609_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
610,S4_reference,normal,1787816294.3915756,75652880846176.0,75652880996544.0,75653691193106,75653777824415,75652977663808.0,96.667264,0.150368,104.135776,7.318144,pass,1016502,75653.393846676,75653.480477985,extracted/F601_F610_normal/F610_perf_sched_raw.txt,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
611,S4,core_abnormal,1787816294.4915977,75652984981952.0,75652985119680.0,75653794516237,75654070782206,75653270441376.0,285.321696,0.137728,98.97344,-186.485984,execution_driven_miss,1016506,75653.497169807,75653.773435776,extracted/F611_F623_core/F611_perf_sched_raw.txt,extracted/F611_F623_core/F611_cpu_stack_raw.txt,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
612,S4,core_abnormal,1787816294.5919204,75653083955392.0,,,,,,,115.792096,,no_service_observed,,,,,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy No unique CP_INFER ENTER/EXIT pair mapped; Infer/perf/TID fields left blank.
613,S4,core_abnormal,1787816294.6914122,75653199747488.0,75653270656928.0,75654080631159,75654356591045,75653556120000.0,285.463072,70.90944,99.520032,-256.85248,execution_driven_miss,1016506,75653.783284729,75654.059244615,extracted/F611_F623_core/F613_perf_sched_raw.txt,extracted/F611_F623_core/F613_cpu_stack_raw.txt,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
614,S4,core_abnormal,1787816294.7969832,75653299267520.0,,,,,,,103.950144,,no_service_observed,,,,,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy No unique CP_INFER ENTER/EXIT pair mapped; Infer/perf/TID fields left blank.
615,S4,core_abnormal,1787816294.892943,75653403217664.0,,,,,,,114.392512,,no_service_observed,,,,,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy No unique CP_INFER ENTER/EXIT pair mapped; Infer/perf/TID fields left blank.
616,S4,core_abnormal,1787816294.9924276,75653517610176.0,75653556298048.0,75654365951416,75654670786986,75653870591904.0,314.293856,38.687872,79.601056,-273.380672,execution_driven_miss,1016506,75654.068604986,75654.373440556,extracted/F611_F623_core/F616_perf_sched_raw.txt,extracted/F611_F623_core/F616_cpu_stack_raw.txt,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
617,S4,core_abnormal,1787816295.092803,75653597211232.0,,,,,,,107.11024,,no_service_observed,,,,,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy No unique CP_INFER ENTER/EXIT pair mapped; Infer/perf/TID fields left blank.
618,S4,core_abnormal,1787816295.1916986,75653704321472.0,,,,,,,84.099584,,no_service_observed,,,,,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy No unique CP_INFER ENTER/EXIT pair mapped; Infer/perf/TID fields left blank.
619,S4,core_abnormal,1787816295.2916844,75653788421056.0,75653871255584.0,75654683014209,75655009527614,75654208931552.0,337.675968,82.834528,95.61504,-324.895456,execution_driven_miss,1016506,75654.385667779,75654.712181184,extracted/F611_F623_core/F619_perf_sched_raw.txt,extracted/F611_F623_core/F619_cpu_stack_raw.txt,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy Per-frame perf file preserves selected raw_event lines from the existing audit context; capture-wide raw script is under raw/perf_sched.
620,S4,core_abnormal,1787816295.391759,75653884036096.0,,,,,,,99.79776,,no_service_observed,,,,,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy No unique CP_INFER ENTER/EXIT pair mapped; Infer/perf/TID fields left blank.
621,S4,core_abnormal,1787816295.4914784,75653983833856.0,,,,,,,102.52816,,no_service_observed,,,,,,Reader receive/enqueue/drop markers unavailable; input-ready is a pipeline proxy No unique CP_INFER ENTER/EXIT pair mapped; Infer/perf/TID fields left blank.
