control_seq,control_time,planning_seq_used,planning_pub_time,planning_lidar_timestamp,planning_data_age_at_control_ms,planning_reuse_count,throttle,brake,steering
9688,1788414543.259471655,551,1788414543.166541576,1788414542931650622,327.821016,2,22.099948483,0.000000000,-5.327019502
9689,1788414543.269488811,551,1788414543.166541576,1788414542931650622,337.838173,2,22.689805622,0.000000000,-5.333940322
9690,1788414543.279937983,552,1788414543.273941040,1788414543031841374,248.096704,9,22.719995412,0.000000000,-5.338100942
9691,1788414543.287688732,552,1788414543.273941040,1788414543031841374,255.847454,9,23.311491853,0.000000000,-5.339855807
9692,1788414543.299740076,552,1788414543.273941040,1788414543031841374,267.898798,9,23.310530816,0.000000000,-5.340056062
9693,1788414543.309572697,552,1788414543.273941040,1788414543031841374,277.731419,9,23.903821886,0.000000000,-5.339545742
9694,1788414543.319612980,552,1788414543.273941040,1788414543031841374,287.771702,9,23.904655476,0.000000000,-5.338864624
9695,1788414543.329518795,552,1788414543.273941040,1788414543031841374,297.677517,9,24.499741174,0.000000000,-5.338285336
9696,1788414543.339495182,552,1788414543.273941040,1788414543031841374,307.653904,9,25.299047960,0.000000000,-5.338855345
9697,1788414543.349541903,552,1788414543.273941040,1788414543031841374,317.700624,9,23.001219759,0.000000000,-5.342420811
9698,1788414543.359440565,552,1788414543.273941040,1788414543031841374,327.599287,9,22.999360047,0.000000000,-5.348778496
9699,1788414543.373011827,553,1788414543.365396261,1788414543131240807,241.771221,9,23.603236536,0.000000000,-5.355516333
9700,1788414543.378700495,553,1788414543.365396261,1788414543131240807,247.459888,9,23.603170576,0.000000000,-5.360860491
9701,1788414543.388839722,553,1788414543.365396261,1788414543131240807,257.599115,9,24.197416668,0.000000000,-5.364330731
9702,1788414543.398997545,553,1788414543.365396261,1788414543131240807,267.756939,9,24.199145316,0.000000000,-5.366118320
9703,1788414543.408894539,553,1788414543.365396261,1788414543131240807,277.653933,9,24.795186016,0.000000000,-5.366734899
9704,1788414543.418842554,553,1788414543.365396261,1788414543131240807,287.601948,9,24.798709272,0.000000000,-5.366697075
