source_frame,lidar_timestamp,perception_seq,perception_pub_time,output_interval_ms,perception_data_age_ms,obstacle_ids,target_id,target_x,target_y,target_vx,target_vy,tracking_time
158,1788414543131240807,826,1788414543.345545053,,214.304447,[],,,,,,
159,1788414543231052579,827,1788414543.441690207,96.145153,210.637569,[],,,,,,
160,1788414543331074849,828,1788414543.536698818,95.008612,205.624104,[],,,,,,
161,1788414543431554627,829,1788414543.643084288,106.385469,211.529732,[],,,,,,
162,1788414543531070390,830,1788414543.745626926,102.542639,214.556456,[],,,,,,
163,1788414543631145056,831,1788414543.848404884,102.777958,217.259884,[],,,,,,
164,1788414543731908869,832,1788414543.955911636,107.506752,224.002838,[],,,,,,
165,1788414543831266097,833,1788414544.046713114,90.801477,215.446949,[],,,,,,
166,1788414543932081102,834,1788414544.143514156,96.801043,211.432934,[],,,,,,
167,1788414544031082968,835,1788414544.232782364,89.268208,201.699257,[],,,,,,
168,1788414544130965691,836,1788414544.332311153,99.528790,201.345444,[],,,,,,
169,1788414544231278352,837,1788414544.445782423,113.471270,214.504004,[],,,,,,
170,1788414544332231380,838,1788414544.536160946,90.378523,203.929424,[],,,,,,
171,1788414544431634726,839,1788414544.641269922,105.108976,209.635258,[],,,,,,
172,1788414544531291829,840,1788414544.736695766,95.425844,205.403805,[],,,,,,
173,1788414544631366475,841,1788414544.837729931,101.034164,206.363440,[],,,,,,
174,1788414544731995167,842,1788414544.935956478,98.226547,203.961372,[],,,,,,
175,1788414544831102457,843,1788414545.032160997,96.204519,201.058626,[],,,,,,
176,1788414544931150804,844,1788414545.151244402,119.083405,220.093489,[],,,,,,
177,1788414545031734598,845,1788414545.250920534,99.676132,219.186068,[],,,,,,
178,1788414545134780518,846,1788414545.335134983,84.214449,200.354576,[],,,,,,
179,1788414545231337441,847,1788414545.452064753,116.929770,220.727205,[],,,,,,
180,1788414545331265378,848,1788414545.545730114,93.665361,214.464903,[],,,,,,
181,1788414545431735601,849,1788414545.643854618,98.124504,212.119102,[],,,,,,
182,1788414545531001821,850,1788414545.746875286,103.020668,215.873480,[],,,,,,
183,1788414545631554835,851,1788414545.840299845,93.424559,208.745003,[],,,,,,
184,1788414545731559006,852,1788414545.960017920,119.718075,228.459120,[],,,,,,
185,1788414545836701131,853,1788414546.047995090,87.977171,211.293936,[],,,,,,
186,1788414545932127331,854,1788414546.154887915,106.892824,222.760677,[],,,,,,
187,1788414546031439441,855,1788414546.236618280,81.730366,205.178976,[],,,,,,
188,1788414546131517928,856,1788414546.340182781,103.564501,208.664894,[],,,,,,
189,1788414546231895329,857,1788414546.445683479,105.500698,213.788271,[],,,,,,
190,1788414546331252009,858,1788414546.554103851,108.420372,222.851992,[],,,,,,
191,1788414546431306651,859,1788414546.635609388,81.505537,204.302549,[],,,,,,
192,1788414546531997975,860,1788414546.736524105,100.914717,204.526186,[],,,,,,
193,1788414546631834330,861,1788414546.841250658,104.726553,209.416389,[],,,,,,
194,1788414546731474753,862,1788414546.939064503,97.813845,207.589865,[],,,,,,
195,1788414546831677264,863,1788414547.034510612,95.446110,202.833414,[],,,,,,
196,1788414546931844360,864,1788414547.151413679,116.903067,219.569445,[],,,,,,
197,1788414547032358558,865,1788414547.238996506,87.582827,206.637859,[],,,,,,
198,1788414547131942196,866,1788414547.340303659,101.307154,208.361626,[],,,,,,
199,1788414547231416062,867,1788414547.440687418,100.383759,209.271431,[],,,,,,
200,1788414547331151762,868,1788414547.557695389,117.007971,226.543427,[],,,,,,
201,1788414547431985968,869,1788414547.640519619,82.824230,208.533764,[],,,,,,
