tid,cpu,stack_time_ns,aligned_sched_s,active_trace_nodes,leaf,dso,callchain
1645396,7,968523979618474,968514.6755573056,perception;proc,[unknown],/opt/apollo/neo/lib/modules/map/libapollo_map.so,[unknown] (/opt/apollo/neo/lib/modules/map/libapollo_map.so)
1645392,5,968523986958224,968514.6828969528,semantic_base_async_draw;semantic_draw_roads,[unknown],/opt/apollo/neo/packages/3rd-opencv/9.0.0-beta-r1/lib/libopencv_imgproc.so.4.4.0,[unknown] (/opt/apollo/neo/packages/3rd-opencv/9.0.0-beta-r1/lib/libopencv_imgproc.so.4.4.0)
1646955,7,968523995447429,968514.6913860393,cruise_mlp_inference;model_cruise_mlp,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,[unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcudart.so.11.4.298); cudaLaunchKernel+0x263 (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcudart.so.11.4.298); [unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cuda.so)
1646949,4,968523995662888,968514.6916014953,cruise_mlp_inference;model_cruise_mlp,[unknown],/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so,[unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so)
1645392,5,968523997676548,968514.693615127,semantic_base_async_draw;semantic_draw_lanes,__GI_memcpy,inlined,__GI_memcpy+0x58 (inlined); [unknown] (/opt/apollo/neo/packages/3rd-opencv/9.0.0-beta-r1/lib/libopencv_imgproc.so.4.4.0)
1646949,0,968524002873387,968514.6988118934,model_cruise_mlp,[unknown],/opt/apollo/neo/lib/modules/prediction/libapollo_prediction.so,[unknown] (/opt/apollo/neo/lib/modules/prediction/libapollo_prediction.so)
1646959,3,968524005218476,968514.7011569496,cruise_mlp_inference;model_cruise_mlp,[unknown],/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so,[unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so)
1646957,3,968524013057048,968514.7089954119,cruise_mlp_inference;model_cruise_mlp,[unknown],/usr/local/lib/libtcmalloc.so.4.5.16,[unknown] (/usr/local/lib/libtcmalloc.so.4.5.16)
1646957,1,968524026721876,968514.7226600489,model_cruise_mlp,[unknown],/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so,[unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so)
1646959,0,968524036511228,968514.7324492639,cruise_mlp_inference;model_cruise_mlp,cublasSgemm_v2,/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublas.so.11.6.6.84,cublasSgemm_v2+0x0 (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublas.so.11.6.6.84); [unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cuda.so)
1646955,0,968524038705594,968514.7346435993,cruise_mlp_inference;model_cruise_mlp,[unknown],/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so,[unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so)
1646957,0,968524066642620,968514.7625802347,model_cruise_mlp,__ieee754_atan2,inlined,__ieee754_atan2+0x18e8 (inlined); __atan2+0x2f (/usr/lib/aarch64-linux-gnu/libm-2.31.so); [unknown] (/opt/apollo/neo/lib/modules/prediction/libapollo_prediction.so)
1646959,1,968524071105593,968514.7670431451,cruise_mlp_inference;model_cruise_mlp,_raw_spin_unlock_irqrestore,[kernel.kallsyms],_raw_spin_unlock_irqrestore+0x38 ([kernel.kallsyms]); try_to_wake_up+0x26c ([kernel.kallsyms]); wake_up_q+0x70 ([kernel.kallsyms]); rt_mutex_postunlock+0x24 ([kernel.kallsyms]); do_futex+0x644 ([kernel.kallsyms]); __arm64_sys_futex+0x124 ([kernel.kallsyms]); el0_svc_common.constprop.0+0x80 ([kernel.kallsyms]); do_el0_svc+0x38 ([kernel.kallsyms]); el0_svc+0x1c ([kernel.kallsyms]); el0_sync_handler+0xa8 ([kernel.kallsyms]); el0_sync+0x16c ([kernel.kallsyms]); futex_unlock_pi+0x498 (inlined); __pthread_mutex_unlock_full+0x498 (/usr/lib/aarch64-linux-gnu/libpthread-2.31.so); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cuda.so)
1646949,3,968524102701645,968514.7986387553,cruise_mlp_inference;model_cruise_mlp,[unknown],/usr/local/lib/libtcmalloc.so.4.5.16,[unknown] (/usr/local/lib/libtcmalloc.so.4.5.16)
1646949,8,968524119790329,968514.8157272004,cruise_mlp_inference;model_cruise_mlp,skip_ftrace_call,[kernel.kallsyms],skip_ftrace_call+0x2c ([kernel.kallsyms]); do_futex+0x3f0 ([kernel.kallsyms]); __arm64_sys_futex+0x124 ([kernel.kallsyms]); el0_svc_common.constprop.0+0x80 ([kernel.kallsyms]); do_el0_svc+0x38 ([kernel.kallsyms]); el0_svc+0x1c ([kernel.kallsyms]); el0_sync_handler+0xa8 ([kernel.kallsyms]); el0_sync+0x16c ([kernel.kallsyms]); futex_unlock_pi+0x498 (inlined); __pthread_mutex_unlock_full+0x498 (/usr/lib/aarch64-linux-gnu/libpthread-2.31.so); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); cublasLtSSSMatmulAlgoGetHeuristic+0x437 (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84)
1646955,8,968524119995132,968514.8159320005,cruise_mlp_inference;model_cruise_mlp,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,[unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); cublasLtSSSMatmul+0x257 (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84)
