episode_id,worker_tid,runnable_start_s,runnable_end_s,occupant_tid,occupant_comm,occupant_priority,occupant_runtime_ms,is_idle,is_irq_thread
1,1646959,968509.383551000,968509.388213000,1648118,dds.udp.27457,120,2.286000,0,0
1,1646959,968509.383551000,968509.388213000,12,ksoftirqd/0,120,0.791000,0,0
1,1646959,968509.383551000,968509.388213000,1644789,dreamview_plus,120,0.336000,0,0
1,1646959,968509.383551000,968509.388213000,1645479,mainboard,120,0.330000,0,0
1,1646959,968509.383551000,968509.388213000,1645550,mainboard,120,0.324000,0,0
1,1646959,968509.383551000,968509.388213000,1646161,mainboard,120,0.320000,0,0
1,1646959,968509.383551000,968509.388213000,0,swapper/0,120,0.086000,1,0
1,1646959,968509.383551000,968509.388213000,1560836,MainThread,120,0.081000,0,0
1,1646959,968509.383551000,968509.388213000,1644689,dreamview_plus,120,0.049000,0,0
1,1646959,968509.383551000,968509.388213000,1645330,mainboard,120,0.046000,0,0
1,1646959,968509.383551000,968509.388213000,1646949,mainboard,120,0.007000,0,0
1,1646959,968509.383551000,968509.388213000,1253664,kworker/0:1H,100,0.006000,0,0
2,1646959,968509.388319000,968509.412974000,1648118,dds.udp.27457,120,7.940000,0,0
2,1646959,968509.388319000,968509.412974000,1644778,dds.udp.27417,120,4.900000,0,0
2,1646959,968509.388319000,968509.412974000,1645550,mainboard,120,2.737000,0,0
2,1646959,968509.388319000,968509.412974000,12,ksoftirqd/0,120,2.666000,0,0
2,1646959,968509.388319000,968509.412974000,1645479,mainboard,120,2.263000,0,0
2,1646959,968509.388319000,968509.412974000,1646161,mainboard,120,1.273000,0,0
2,1646959,968509.388319000,968509.412974000,174,irq/134-host_sy,49,0.816000,0,1
2,1646959,968509.388319000,968509.412974000,1560836,MainThread,120,0.718000,0,0
2,1646959,968509.388319000,968509.412974000,1645330,mainboard,120,0.620000,0,0
2,1646959,968509.388319000,968509.412974000,1644689,dreamview_plus,120,0.490000,0,0
2,1646959,968509.388319000,968509.412974000,1253664,kworker/0:1H,100,0.199000,0,0
2,1646959,968509.388319000,968509.412974000,0,swapper/8,120,0.015000,1,0
2,1646959,968509.388319000,968509.412974000,1201876,kworker/8:2,120,0.009000,0,0
2,1646959,968509.388319000,968509.412974000,1648121,cyber_recorder,120,0.009000,0,0
3,1646949,968509.423481000,968509.428063000,1646959,mainboard,120,3.432000,0,0
3,1646949,968509.423481000,968509.428063000,12,ksoftirqd/0,120,0.832000,0,0
3,1646949,968509.423481000,968509.428063000,1645382,mainboard,120,0.196000,0,0
3,1646949,968509.423481000,968509.428063000,1560836,MainThread,120,0.056000,0,0
3,1646949,968509.423481000,968509.428063000,1253664,kworker/0:1H,100,0.032000,0,0
3,1646949,968509.423481000,968509.428063000,1648030,cyber_recorder,120,0.016000,0,0
3,1646949,968509.423481000,968509.428063000,1645457,mainboard,120,0.012000,0,0
3,1646949,968509.423481000,968509.428063000,0,swapper/3,120,0.006000,1,0
4,1646959,968509.434435000,968509.438823000,1644778,dds.udp.27417,120,3.035000,0,0
4,1646959,968509.434435000,968509.438823000,12,ksoftirqd/0,120,0.952000,0,0
4,1646959,968509.434435000,968509.438823000,1645382,mainboard,120,0.245000,0,0
4,1646959,968509.434435000,968509.438823000,1644774,dds.ev.1,120,0.039000,0,0
4,1646959,968509.434435000,968509.438823000,251,irq/120-d230000,49,0.028000,0,1
4,1646959,968509.434435000,968509.438823000,174,irq/134-host_sy,49,0.027000,0,1
4,1646959,968509.434435000,968509.438823000,1560836,MainThread,120,0.027000,0,0
4,1646959,968509.434435000,968509.438823000,1645457,mainboard,120,0.018000,0,0
4,1646959,968509.434435000,968509.438823000,1253664,kworker/0:1H,100,0.017000,0,0
5,1646953,968509.435339000,968509.437808000,1646942,mainboard,120,1.330000,0,0
5,1646953,968509.435339000,968509.437808000,1646949,mainboard,120,0.999000,0,0
5,1646953,968509.435339000,968509.437808000,1645426,mainboard,120,0.057000,0,0
5,1646953,968509.435339000,968509.437808000,1645420,mainboard,120,0.041000,0,0
5,1646953,968509.435339000,968509.437808000,1644485,mainboard,120,0.030000,0,0
5,1646953,968509.435339000,968509.437808000,1645400,mainboard,120,0.012000,0,0
6,1646949,968509.536260000,968509.538531000,1646942,mainboard,120,2.037000,0,0
6,1646949,968509.536260000,968509.538531000,1646159,dds.udp.27447,120,0.113000,0,0
6,1646949,968509.536260000,968509.538531000,1645460,mainboard,120,0.039000,0,0
6,1646949,968509.536260000,968509.538531000,1560836,MainThread,120,0.030000,0,0
6,1646949,968509.536260000,968509.538531000,1645450,mainboard,120,0.022000,0,0
6,1646949,968509.536260000,968509.538531000,1645426,mainboard,120,0.015000,0,0
6,1646949,968509.536260000,968509.538531000,1645456,mainboard,120,0.008000,0,0
6,1646949,968509.536260000,968509.538531000,1645453,mainboard,120,0.007000,0,0
7,1646949,968509.546242000,968509.556313000,1648118,dds.udp.27457,120,6.131000,0,0
7,1646949,968509.546242000,968509.556313000,12,ksoftirqd/0,120,1.413000,0,0
7,1646949,968509.546242000,968509.556313000,174,irq/134-host_sy,49,1.007000,0,1
7,1646949,968509.546242000,968509.556313000,1646159,dds.udp.27447,120,0.658000,0,0
7,1646949,968509.546242000,968509.556313000,1644778,dds.udp.27417,120,0.297000,0,0
7,1646949,968509.546242000,968509.556313000,1644496,mainboard,120,0.251000,0,0
7,1646949,968509.546242000,968509.556313000,1559753,sshd,120,0.131000,0,0
7,1646949,968509.546242000,968509.556313000,1253664,kworker/0:1H,100,0.113000,0,0
7,1646949,968509.546242000,968509.556313000,1644501,mainboard,120,0.020000,0,0
7,1646949,968509.546242000,968509.556313000,1646161,mainboard,120,0.020000,0,0
7,1646949,968509.546242000,968509.556313000,1648030,cyber_recorder,120,0.019000,0,0
7,1646949,968509.546242000,968509.556313000,0,swapper/1,120,0.011000,1,0
