episode_id,worker_tid,route_start_s,route_end_s,assigned_cpu
1,1646959,968509.383551000,968509.383558000,3
1,1646959,968509.383558000,968509.388213000,0
2,1646959,968509.388319000,968509.412062000,0
2,1646959,968509.412062000,968509.412974000,8
3,1646949,968509.423481000,968509.428057000,0
3,1646949,968509.428057000,968509.428063000,3
4,1646959,968509.434435000,968509.438823000,0
5,1646953,968509.435339000,968509.437808000,3
6,1646949,968509.536260000,968509.538531000,3
7,1646949,968509.546242000,968509.556033000,0
7,1646949,968509.556033000,968509.556313000,1
