window_id,window_start_s,window_end_s,timestamp_s,interval_start_s,interval_end_s,cpu,prev_tid,prev_comm,prev_prio,prev_state,next_tid,next_comm,next_prio,running_interval_ms
runnable_1646949,968509.545500000,968509.556800000,968509.545488000,968509.545500000,968509.545554000,0,174,irq/134-host_sy,49,S,1648118,dds.udp.27457,120,0.054000
runnable_1646949,968509.545500000,968509.556800000,968509.545440000,968509.545500000,968509.545540000,1,1648107,cyber_recorder,120,S,0,swapper/1,120,0.040000
runnable_1646949,968509.545500000,968509.556800000,968509.508043000,968509.545500000,968509.556800000,2,1634875,kworker/2:1,120,I,85,kcompactd0,120,11.300000
runnable_1646949,968509.545500000,968509.556800000,968509.544417000,968509.545500000,968509.546157000,3,1645460,mainboard,120,S,1645450,mainboard,120,0.657000
runnable_1646949,968509.545500000,968509.556800000,968509.545299000,968509.545500000,968509.545514000,4,1646962,perf_trace_io,130,S,0,swapper/4,120,0.014000
runnable_1646949,968509.545500000,968509.556800000,968509.544436000,968509.545500000,968509.545524000,5,1644543,mainboard,120,S,0,swapper/5,120,0.024000
runnable_1646949,968509.545500000,968509.556800000,968509.545413000,968509.545500000,968509.545512000,6,1645541,mainboard,120,S,0,swapper/6,120,0.012000
runnable_1646949,968509.545500000,968509.556800000,968509.540258000,968509.545500000,968509.556800000,7,1647309,kworker/7:0,120,I,1652054,ps,120,11.300000
runnable_1646949,968509.545500000,968509.556800000,968509.545494000,968509.545500000,968509.545502000,8,0,swapper/8,120,R,1645477,mainboard,120,0.002000
runnable_1646949,968509.545500000,968509.556800000,968509.545495000,968509.545500000,968509.545503000,9,0,swapper/9,120,R,1645745,mainboard,120,0.003000
runnable_1646949,968509.545500000,968509.556800000,968509.545354000,968509.545500000,968509.545545000,10,1646932,mainboard,120,S,1645485,mainboard,120,0.045000
runnable_1646949,968509.545500000,968509.556800000,968509.545495000,968509.545500000,968509.545516000,11,1645526,mainboard,120,S,0,swapper/11,120,0.016000
runnable_1646949,968509.545500000,968509.556800000,968509.545502000,968509.545502000,968509.545521000,8,1645477,mainboard,120,S,0,swapper/8,120,0.019000
runnable_1646949,968509.545500000,968509.556800000,968509.545503000,968509.545503000,968509.545520000,9,1645745,mainboard,120,S,0,swapper/9,120,0.017000
runnable_1646949,968509.545500000,968509.556800000,968509.545512000,968509.545512000,968509.545516000,6,0,swapper/6,120,R,1645399,mainboard,120,0.004000
runnable_1646949,968509.545500000,968509.556800000,968509.545514000,968509.545514000,968509.545524000,4,0,swapper/4,120,R,1645541,mainboard,120,0.010000
runnable_1646949,968509.545500000,968509.556800000,968509.545516000,968509.545516000,968509.546044000,6,1645399,mainboard,120,S,0,swapper/6,120,0.528000
runnable_1646949,968509.545500000,968509.556800000,968509.545516000,968509.545516000,968509.545524000,11,0,swapper/11,120,R,1645330,mainboard,120,0.008000
runnable_1646949,968509.545500000,968509.556800000,968509.545520000,968509.545520000,968509.545528000,9,0,swapper/9,120,R,1645711,mainboard,120,0.008000
runnable_1646949,968509.545500000,968509.556800000,968509.545521000,968509.545521000,968509.545528000,8,0,swapper/8,120,R,1644780,dreamview_plus,120,0.007000
runnable_1646949,968509.545500000,968509.556800000,968509.545524000,968509.545524000,968509.545623000,4,1645541,mainboard,120,S,0,swapper/4,120,0.099000
runnable_1646949,968509.545500000,968509.556800000,968509.545524000,968509.545524000,968509.545564000,5,0,swapper/5,120,R,1646159,dds.udp.27447,120,0.040000
runnable_1646949,968509.545500000,968509.556800000,968509.545524000,968509.545524000,968509.545573000,11,1645330,mainboard,120,S,0,swapper/11,120,0.049000
runnable_1646949,968509.545500000,968509.556800000,968509.545528000,968509.545528000,968509.545585000,8,1644780,dreamview_plus,120,S,0,swapper/8,120,0.057000
runnable_1646949,968509.545500000,968509.556800000,968509.545528000,968509.545528000,968509.545585000,9,1645711,mainboard,120,S,0,swapper/9,120,0.057000
runnable_1646949,968509.545500000,968509.556800000,968509.545540000,968509.545540000,968509.545545000,1,0,swapper/1,120,R,1646161,mainboard,120,0.005000
runnable_1646949,968509.545500000,968509.556800000,968509.545545000,968509.545545000,968509.545550000,1,1646161,mainboard,120,S,1648107,cyber_recorder,120,0.005000
runnable_1646949,968509.545500000,968509.556800000,968509.545545000,968509.545545000,968509.545580000,10,1645485,mainboard,120,S,0,swapper/10,120,0.035000
runnable_1646949,968509.545500000,968509.556800000,968509.545550000,968509.545550000,968509.545597000,1,1648107,cyber_recorder,120,S,0,swapper/1,120,0.047000
runnable_1646949,968509.545500000,968509.556800000,968509.545554000,968509.545554000,968509.545746000,0,1648118,dds.udp.27457,120,R+,174,irq/134-host_sy,49,0.192000
runnable_1646949,968509.545500000,968509.556800000,968509.545564000,968509.545564000,968509.546156000,5,1646159,dds.udp.27447,120,S,0,swapper/5,120,0.592000
runnable_1646949,968509.545500000,968509.556800000,968509.545573000,968509.545573000,968509.545582000,11,0,swapper/11,120,R,1646932,mainboard,120,0.009000
runnable_1646949,968509.545500000,968509.556800000,968509.545580000,968509.545580000,968509.545589000,10,0,swapper/10,120,R,1644538,mainboard,120,0.009000
runnable_1646949,968509.545500000,968509.556800000,968509.545582000,968509.545582000,968509.545683000,11,1646932,mainboard,120,S,0,swapper/11,120,0.101000
runnable_1646949,968509.545500000,968509.556800000,968509.545585000,968509.545585000,968509.545592000,8,0,swapper/8,120,R,1645745,mainboard,120,0.007000
runnable_1646949,968509.545500000,968509.556800000,968509.545585000,968509.545585000,968509.545594000,9,0,swapper/9,120,R,1645479,mainboard,120,0.009000
runnable_1646949,968509.545500000,968509.556800000,968509.545589000,968509.545589000,968509.545610000,10,1644538,mainboard,120,S,0,swapper/10,120,0.021000
runnable_1646949,968509.545500000,968509.556800000,968509.545592000,968509.545592000,968509.545609000,8,1645745,mainboard,120,S,0,swapper/8,120,0.017000
runnable_1646949,968509.545500000,968509.556800000,968509.545594000,968509.545594000,968509.545602000,9,1645479,mainboard,120,S,1648121,cyber_recorder,120,0.008000
runnable_1646949,968509.545500000,968509.556800000,968509.545597000,968509.545597000,968509.545607000,1,0,swapper/1,120,R,1645309,mainboard,120,0.010000
runnable_1646949,968509.545500000,968509.556800000,968509.545602000,968509.545602000,968509.545609000,9,1648121,cyber_recorder,120,S,1645526,mainboard,120,0.007000
runnable_1646949,968509.545500000,968509.556800000,968509.545607000,968509.545607000,968509.545652000,1,1645309,mainboard,120,S,0,swapper/1,120,0.045000
runnable_1646949,968509.545500000,968509.556800000,968509.545609000,968509.545609000,968509.545616000,8,0,swapper/8,120,R,1645477,mainboard,120,0.007000
runnable_1646949,968509.545500000,968509.556800000,968509.545609000,968509.545609000,968509.545616000,9,1645526,mainboard,120,S,1645566,mainboard,120,0.007000
runnable_1646949,968509.545500000,968509.556800000,968509.545610000,968509.545610000,968509.545618000,10,0,swapper/10,120,R,1644780,dreamview_plus,120,0.008000
runnable_1646949,968509.545500000,968509.556800000,968509.545616000,968509.545616000,968509.545698000,8,1645477,mainboard,120,S,0,swapper/8,120,0.082000
runnable_1646949,968509.545500000,968509.556800000,968509.545616000,968509.545616000,968509.545634000,9,1645566,mainboard,120,S,0,swapper/9,120,0.018000
