blocked_tid,block_start,wake_time,blocked_ms,waker_tid,waker_comm,active_trace_node,model_ordinal,obstacle_id,wake_event,wake_cpu,wake_raw_event_verified,waker_last_schedule_in_s,wake_after_waker_schedule_in_ms,dependency_chain,interval_from_previous_chain_event_ms
1646953,968509.335657000,968509.339493000,3.836000,1646942,mainboard,model_cruise_mlp,1,27,sched_waking,2,1,968509.339470000,0.023000,,
1646949,968509.335742000,968509.339532000,3.790000,1646953,mainboard,model_cruise_mlp,1,26,sched_waking,0,1,968509.339501000,0.031000,,
1646959,968509.335783000,968509.339712000,3.929000,1646949,mainboard,model_cruise_mlp,1,28,sched_waking,0,1,968509.339702000,0.010000,,
1646942,968509.335848000,968509.339462000,3.614000,174,irq/134-host_sy,model_cruise_mlp,1,29,sched_waking,0,1,968509.339448000,0.014000,,
1646953,968509.339702000,968509.344439000,4.737000,1646942,mainboard,model_cruise_mlp,1,27,sched_waking,3,1,968509.344404000,0.035000,,
1646949,968509.339734000,968509.346798000,7.064000,1646953,mainboard,model_cruise_mlp,1,26,sched_waking,3,1,968509.346766000,0.032000,,
1646959,968509.339751000,968509.346873000,7.122000,1646949,mainboard,model_cruise_mlp,1,28,sched_waking,2,1,968509.346811000,0.062000,,
1646942,968509.339785000,968509.344385000,4.600000,174,irq/134-host_sy,model_cruise_mlp,1,29,sched_waking,0,1,968509.344372000,0.013000,,
1646949,968509.347034000,968509.351751000,4.717000,1646953,mainboard,model_cruise_mlp,1,26,sched_waking,3,1,968509.351707000,0.044000,,
1646959,968509.347130000,968509.352590000,5.460000,1646949,mainboard,model_cruise_mlp,1,28,sched_waking,3,1,968509.352536000,0.054000,,
1646953,968509.347204000,968509.351702000,4.498000,174,irq/134-host_sy,model_cruise_mlp,1,27,sched_waking,0,1,968509.351667000,0.035000,,
1646942,968509.347234000,968509.351692000,4.458000,174,irq/134-host_sy,model_cruise_mlp,1,29,sched_waking,0,1,968509.351667000,0.025000,,
1646959,968509.352803000,968509.356681000,3.878000,1646949,mainboard,model_cruise_mlp,1,28,sched_waking,3,1,968509.356648000,0.033000,,
1646949,968509.352923000,968509.356611000,3.688000,174,irq/134-host_sy,model_cruise_mlp,1,26,sched_waking,0,1,968509.356597000,0.014000,,
1646942,968509.353087000,968509.359085000,5.998000,1646959,mainboard,model_cruise_mlp,1,29,sched_waking,3,1,968509.359044000,0.041000,,
1646953,968509.354244000,968509.359400000,5.156000,1646942,mainboard,model_cruise_mlp,1,27,sched_waking,0,1,968509.359345000,0.055000,,
1646949,968509.356847000,968509.359597000,2.750000,1646953,mainboard,model_cruise_mlp,1,26,sched_waking,3,1,968509.359578000,0.019000,,
1646959,968509.356922000,968509.359035000,2.113000,174,irq/134-host_sy,model_cruise_mlp,1,28,sched_waking,0,1,968509.359024000,0.011000,,
1646959,968509.359193000,968509.364108000,4.915000,1646949,mainboard,model_cruise_mlp,1,28,sched_waking,3,1,968509.364079000,0.029000,,
1646942,968509.359663000,968509.366497000,6.834000,1646959,mainboard,model_cruise_mlp,1,29,sched_waking,3,1,968509.366473000,0.024000,,
1646953,968509.359842000,968509.366730000,6.888000,1646942,mainboard,model_cruise_mlp,1,27,sched_waking,0,1,968509.366578000,0.152000,,
1646949,968509.359912000,968509.364071000,4.159000,174,irq/134-host_sy,model_cruise_mlp,1,26,sched_waking,0,1,968509.364047000,0.024000,,
1646949,968509.364999000,968509.367219000,2.220000,1646953,mainboard,model_cruise_mlp,1,26,sched_waking,3,1,968509.367182000,0.037000,,
1646953,968509.377326000,968509.381603000,4.277000,174,irq/134-host_sy,model_cruise_mlp,1,27,sched_waking,0,1,968509.381584000,0.019000,,
1646942,968509.377350000,968509.382346000,4.996000,1646953,mainboard,model_cruise_mlp,1,29,sched_waking,3,1,968509.382289000,0.057000,,
1646949,968509.377359000,968509.383313000,5.954000,1646942,mainboard,model_cruise_mlp,1,26,sched_waking,3,1,968509.383259000,0.054000,,
1646959,968509.377384000,968509.383551000,6.167000,1646949,mainboard,model_cruise_mlp,1,28,sched_waking,3,1,968509.383515000,0.036000,,
1646942,968509.383515000,968509.413060000,29.545000,1646959,mainboard,model_cruise_mlp,1,29,sched_waking,8,1,968509.412974000,0.086000,chain_step_1,
1646949,968509.384105000,968509.413130000,29.025000,1646942,mainboard,model_cruise_mlp,1,26,sched_waking,3,1,968509.413077000,0.053000,chain_step_2,0.070000
1646953,968509.384392000,968509.413441000,29.049000,1646949,mainboard,model_cruise_mlp,1,27,sched_waking,3,1,968509.413428000,0.013000,chain_step_3,0.311000
1646949,968509.421161000,968509.423481000,2.320000,1646959,mainboard,model_cruise_mlp,1,26,sched_waking,0,1,968509.423253000,0.228000,,
1646953,968509.421215000,968509.428142000,6.927000,1646949,mainboard,model_cruise_mlp,1,27,sched_waking,3,1,968509.428063000,0.079000,,
1646942,968509.421358000,968509.428785000,7.427000,1646953,mainboard,model_cruise_mlp,2,69,sched_waking,3,1,968509.428751000,0.034000,,
1646949,968509.439601000,968509.441619000,2.018000,1646953,mainboard,model_cruise_mlp,1,26,sched_waking,3,1,968509.441588000,0.031000,,
1646942,968509.446991000,968509.451548000,4.557000,1646949,mainboard,model_cruise_mlp,2,69,sched_waking,3,1,968509.451512000,0.036000,,
1646959,968509.447018000,968509.451785000,4.767000,1646942,mainboard,model_cruise_mlp,2,72,sched_waking,3,1,968509.451744000,0.041000,,
1646949,968509.447094000,968509.451504000,4.410000,174,irq/134-host_sy,model_cruise_mlp,1,26,sched_waking,0,1,968509.451487000,0.017000,,
1646942,968509.451943000,968509.456554000,4.611000,1646949,mainboard,model_cruise_mlp,2,69,sched_waking,3,1,968509.456532000,0.022000,,
1646959,968509.452108000,968509.456992000,4.884000,1646942,mainboard,model_cruise_mlp,2,72,sched_waking,3,1,968509.456974000,0.018000,,
1646949,968509.452176000,968509.456476000,4.300000,174,irq/134-host_sy,model_cruise_mlp,1,26,sched_waking,0,1,968509.456460000,0.016000,,
1646949,968509.459250000,968509.461285000,2.035000,174,irq/134-host_sy,model_cruise_mlp,2,74,sched_waking,0,1,968509.461271000,0.014000,,
1646959,968509.460439000,968509.463804000,3.365000,174,irq/134-host_sy,model_cruise_mlp,2,72,sched_waking,0,1,968509.463790000,0.014000,,
1646942,968509.460476000,968509.463844000,3.368000,1646959,mainboard,model_cruise_mlp,2,69,sched_waking,3,1,968509.463813000,0.031000,,
1646949,968509.461705000,968509.464074000,2.369000,1646942,mainboard,model_cruise_mlp,2,74,sched_waking,3,1,968509.464011000,0.063000,,
1646942,968509.464316000,968509.468780000,4.464000,1646959,mainboard,model_cruise_mlp,2,69,sched_waking,3,1,968509.468738000,0.042000,,
1646959,968509.464546000,968509.468729000,4.183000,174,irq/134-host_sy,model_cruise_mlp,2,72,sched_waking,0,1,968509.468712000,0.017000,,
1646949,968509.464684000,968509.469660000,4.976000,1646942,mainboard,model_cruise_mlp,2,74,sched_waking,3,1,968509.469611000,0.049000,,
1646942,968509.470822000,968509.473692000,2.870000,174,irq/134-host_sy,model_cruise_mlp,2,69,sched_waking,0,1,968509.473678000,0.014000,,
1646949,968509.470920000,968509.473735000,2.815000,1646942,mainboard,model_cruise_mlp,2,74,sched_waking,3,1,968509.473700000,0.035000,,
1646959,968509.471369000,968509.473887000,2.518000,1646949,mainboard,model_cruise_mlp,2,72,sched_waking,3,1,968509.473846000,0.041000,,
1646949,968509.473998000,968509.479574000,5.576000,1646942,mainboard,model_cruise_mlp,2,74,sched_waking,3,1,968509.479541000,0.033000,,
1646942,968509.474062000,968509.478654000,4.592000,174,irq/134-host_sy,model_cruise_mlp,2,69,sched_waking,0,1,968509.478640000,0.014000,,
1646959,968509.474327000,968509.479640000,5.313000,1646949,mainboard,model_cruise_mlp,2,72,sched_waking,0,1,968509.479587000,0.053000,,
1646942,968509.485088000,968509.488811000,3.723000,1646959,mainboard,model_cruise_mlp,3,73,sched_waking,3,1,968509.488779000,0.032000,,
1646949,968509.485094000,968509.491383000,6.289000,1646942,mainboard,model_cruise_mlp,2,74,sched_waking,3,1,968509.491357000,0.026000,,
1646959,968509.485158000,968509.488771000,3.613000,174,irq/134-host_sy,model_cruise_mlp,2,72,sched_waking,0,1,968509.488756000,0.015000,,
1646959,968509.488969000,968509.491638000,2.669000,1646949,mainboard,model_cruise_mlp,2,72,sched_waking,3,1,968509.491555000,0.083000,,
1646942,968509.489044000,968509.491213000,2.169000,174,irq/134-host_sy,model_cruise_mlp,3,73,sched_waking,0,1,968509.491200000,0.013000,,
1646942,968509.491555000,968509.496228000,4.673000,1646959,mainboard,model_cruise_mlp,3,73,sched_waking,3,1,968509.496203000,0.025000,,
1646949,968509.491790000,968509.498598000,6.808000,1646942,mainboard,model_cruise_mlp,2,74,sched_waking,3,1,968509.498579000,0.019000,,
1646959,968509.491879000,968509.496096000,4.217000,174,irq/134-host_sy,model_cruise_mlp,2,72,sched_waking,0,1,968509.496081000,0.015000,,
1646949,968509.500004000,968509.503526000,3.522000,174,irq/134-host_sy,model_cruise_mlp,2,74,sched_waking,0,1,968509.503515000,0.011000,,
1646942,968509.500491000,968509.503557000,3.066000,1646949,mainboard,model_cruise_mlp,3,73,sched_waking,3,1,968509.503536000,0.021000,,
1646959,968509.501374000,968509.503674000,2.300000,1646942,mainboard,model_cruise_mlp,2,72,sched_waking,3,1,968509.503646000,0.028000,,
1646942,968509.503712000,968509.506025000,2.313000,174,irq/134-host_sy,model_cruise_mlp,3,73,sched_waking,0,1,968509.506015000,0.010000,,
1646959,968509.503970000,968509.508469000,4.499000,1646949,mainboard,model_cruise_mlp,2,72,sched_waking,3,1,968509.508445000,0.024000,,
1646949,968509.504031000,968509.508434000,4.403000,174,irq/134-host_sy,model_cruise_mlp,2,74,sched_waking,0,1,968509.508423000,0.011000,,
1646942,968509.506852000,968509.509177000,2.325000,1646959,mainboard,model_cruise_mlp,3,73,sched_waking,3,1,968509.509110000,0.067000,,
1646949,968509.511602000,968509.516101000,4.499000,1646942,mainboard,model_cruise_mlp,2,74,sched_waking,1,1,968509.516063000,0.038000,,
