frame,obstacle_id,worker_tid,model_ordinal,model_start,model_end,model_duration_ms,running_ms,blocked_ms,runnable_ms,max_runnable_ms,inter_model_gap_ms,gap_running_ms,gap_blocked_ms,gap_runnable_ms,gap_max_runnable_ms,gap_runnable_explanation_ratio
887,27,1646943,1,968509.164193384,968509.255732648,91.539264,12.208265,76.146000,3.184999,0.882000,0.000000,0.000000,0.000000,0.000000,0.000000,
887,26,1646944,1,968509.165305384,968509.263468808,98.163424,12.632424,83.068000,2.463000,0.190000,0.000000,0.000000,0.000000,0.000000,0.000000,
887,74,1646944,2,968509.263548072,968509.278798120,15.250048,6.896048,5.570000,2.784000,1.159000,0.079264,0.068264,0.000000,0.011000,0.011000,0.138776248
887,78,1646944,3,968509.278834728,968509.287614952,8.780224,7.754224,0.846000,0.180000,0.082000,0.036608,0.036608,0.000000,0.000000,0.000000,0.000000000
887,28,1646947,1,968509.163978728,968509.225052424,61.073696,8.047696,52.367000,0.659000,0.058000,0.000000,0.000000,0.000000,0.000000,0.000000,
887,72,1646947,2,968509.225095336,968509.277849288,52.753952,12.416952,35.679000,4.657999,2.326000,0.042912,0.042912,0.000000,0.000000,0.000000,0.000000000
887,29,1646955,1,968509.163969288,968509.210162952,46.193664,7.959663,35.816000,2.418000,0.785000,0.000000,0.000000,0.000000,0.000000,0.000000,
887,69,1646955,2,968509.210203624,968509.272490568,62.286944,9.024944,48.582000,4.680000,1.142000,0.040672,0.040672,0.000000,0.000000,0.000000,0.000000000
887,73,1646955,3,968509.272555144,968509.291603432,19.048288,8.846288,1.941000,8.261000,7.648000,0.064576,0.064576,0.000000,0.000000,0.000000,0.000000000
887,77,1646955,4,968509.291648328,968509.307215528,15.567200,8.131200,7.298000,0.138000,0.022000,0.044896,0.044896,0.000000,0.000000,0.000000,0.000000000
888,29,1646942,1,968509.321888584,968509.415959528,94.070944,11.561944,74.867000,7.642001,0.769000,0.000000,0.000000,0.000000,0.000000,0.000000,
888,69,1646942,2,968509.415999944,968509.479805096,63.805152,9.404152,41.012001,13.389000,1.961000,0.040416,0.040416,0.000000,0.000000,0.000000,0.000000000
888,73,1646942,3,968509.479855304,968509.543685320,63.830016,12.451016,45.989000,5.390000,1.146000,0.050208,0.050208,0.000000,0.000000,0.000000,0.000000000
888,77,1646942,4,968509.543727816,968509.563929640,20.201824,10.273824,1.615000,8.313000,1.964000,0.042496,0.042496,0.000000,0.000000,0.000000,0.000000000
888,26,1646949,1,968509.321893288,968509.458286408,136.393120,15.507121,99.208000,21.677999,4.582000,0.000000,0.000000,0.000000,0.000000,0.000000,
888,74,1646949,2,968509.458335848,968509.546023592,87.687744,11.557744,63.894000,12.236000,2.271000,0.049440,0.049440,0.000000,0.000000,0.000000,0.000000000
888,78,1646949,3,968509.556370760,968509.575058664,18.687904,13.235904,1.239000,4.213000,1.372000,10.347168,0.276168,0.000000,10.071000,10.071000,0.973309810
888,27,1646953,1,968509.321911944,968509.441825960,119.914016,15.270016,89.610000,15.034000,2.469000,0.000000,0.000000,0.000000,0.000000,0.000000,
888,28,1646959,1,968509.321921800,968509.426170056,104.248256,13.169256,54.032999,37.046001,24.655000,0.000000,0.000000,0.000000,0.000000,0.000000,
888,72,1646959,2,968509.426409096,968509.531420648,105.011552,17.281553,74.114000,13.615999,4.388000,0.239040,0.239040,0.000000,0.000000,0.000000,0.000000000
889,29,1646944,1,968509.595555368,968509.615041928,19.486560,9.445560,4.468000,5.573000,2.454000,0.000000,0.000000,0.000000,0.000000,0.000000,
889,69,1646944,2,968509.615078536,968509.668497896,53.419360,8.876360,41.080000,3.463000,1.392000,0.036608,0.036608,0.000000,0.000000,0.000000,0.000000000
889,73,1646944,3,968509.668549064,968509.721809192,53.260128,11.982128,36.797000,4.481000,2.407000,0.051168,0.051168,0.000000,0.000000,0.000000,0.000000000
889,77,1646944,4,968509.722369256,968509.737679880,15.310624,8.367624,4.536000,2.407000,1.661000,0.560064,0.068064,0.000000,0.492000,0.492000,0.878471093
889,28,1646945,1,968509.595593512,968509.616814376,21.220864,8.467864,8.076000,4.677000,0.870000,0.000000,0.000000,0.000000,0.000000,0.000000,
889,72,1646945,2,968509.616852104,968509.696088872,79.236768,11.695768,63.720000,3.821000,1.535000,0.037728,0.037728,0.000000,0.000000,0.000000,0.000000000
889,27,1646950,1,968509.595585160,968509.638574024,42.988864,13.001864,21.436000,8.550999,1.968000,0.000000,0.000000,0.000000,0.000000,0.000000,
889,26,1646955,1,968509.595605160,968509.686100168,90.495008,13.520008,61.918999,15.056001,1.963000,0.000000,0.000000,0.000000,0.000000,0.000000,
889,74,1646955,2,968509.686170728,968509.723047880,36.877152,7.847152,21.792000,7.237999,2.802000,0.070560,0.060560,0.000000,0.010000,0.010000,0.141722735
889,78,1646955,3,968509.723071272,968509.736995944,13.924672,8.204672,5.361000,0.359000,0.057000,0.023392,0.023392,0.000000,0.000000,0.000000,0.000000000
