frame_index,worker_model_count,worker_tid,model_ordinal,obstacle_id,model_duration_ms,inference_count,inference_sum_ms,running_ms,blocked_ms,runnable_ms,unknown_ms,max_runnable_ms,cpu_list,running_segment_count,stack_sample_count,stack_categories
852,1,1646959,1,27,100.00288,3,88.51635200000001,14.130879193544388,82.79599994421005,3.076000837609172,0,0.4450000124052167,1;2;3;4;7;8;9;10;11,105,3,cuDNN路径:1;libtorch CPU路径:1;其他路径:1
852,3,1646944,1,26,97.05152,3,88.601024,13.552519958466291,81.06999972369522,2.429000334814191,0,1.007000100798905,8;9;10;11,106,1,libtorch CPU路径:1
852,3,1646944,2,66,23.229824,3,20.586336,11.061824159696698,10.677999584004283,1.4900002861395478,0,0.1639999682083726,4;5;6;7;9;10;11,88,2,CUDA流同步:1;libtorch CPU路径:1
852,3,1646944,3,70,13.59328,3,11.092607999999998,9.801279753446579,1.1760001070797443,2.6160001289099455,0,0.1740000443533063,1;2;4;5;6;7,91,1,libtorch CPU路径:1
852,3,1646955,1,28,85.176384,2,81.01030399999999,9.776383871212602,73.0820003664121,2.3179998388513923,0,0.22299995180219412,0;1;2;3;8;9;11,96,0,
852,3,1646955,2,68,35.032672,3,23.692159999999998,11.77567068953067,16.842000419273973,6.415001000277698,0,3.6929999478161335,1;3;4;5;6;7;9;11,109,2,libtorch CPU路径:1;libtorch CUDA路径:1
852,3,1646955,3,72,10.742944,3,9.423872,8.625944028608501,0.5270000547170639,1.5899998834356666,0,0.17600005958229303,1;5;7,52,0,
852,3,1646958,1,29,72.757856,2,63.441344,9.787856368348002,58.45700029749423,4.512999323196709,0,0.7029999978840351,0;1;3;4;5;8;9;11,86,2,libtorch CPU路径:1;其他路径:1
852,3,1646958,2,65,39.319296,2,27.894496,10.641296510584652,23.54099985677749,5.136999650858343,0,2.483000047504902,0;1;3;4;5;6;7,81,1,其他路径:1
852,3,1646958,3,69,11.187232,2,8.750176,6.4952317625284195,3.325000172480941,1.3670000480487943,0,0.5830000154674053,4;5;6,40,1,cuBLASLt启发式查询:1
