"frame_index","normal_count","cruise_mlp_call_count","cruise_mlp_inference_call_count","execution_ms","thread_pool_run_ms","obstacle_ids","prediction_enter_ns","prediction_exit_ns","sched_window_start_s","sched_window_end_s","perf_window_complete"
"169","1","1","2","29.54496","24.986112","7","968405692297216","968405721842176","968406.1014614801","968406.3310064401","False"
"170","1","1","2","25.810496","19.97328","7","968405839533792","968405865344288","968406.2486980561","968406.474508552","False"
"175","1","1","2","20.96656","16.917792","8","968406533409120","968406554375680","968406.9425733841","968407.1635399441","False"
"176","1","1","2","19.698272","15.689408","8","968406678928096","968406698626368","968407.0880923601","968407.307790632","False"
"177","1","1","2","20.374208","15.353408","8","968406817309504","968406837683712","968407.2264737681","968407.4468479761","False"
"191","1","1","2","19.173728","14.362624","17","968408754825696","968408773999424","968409.1639899601","968409.383163688","False"
"192","1","1","2","19.291968","15.369696","17","968408893406816","968408912698784","968409.30257108","968409.5218630481","False"
"194","1","1","2","10.791104","6.85504","17","968409174075936","968409184867040","968409.5832402001","968409.7940313041","False"
"195","1","1","2","21.806944","17.614944","17","968409314976544","968409336783488","968409.7241408081","968409.9459477521","False"
"285","1","1","2","21.369568","16.27712","20","968422639171008","968422660540576","968423.0483352721","968423.26970484","False"
"286","1","1","2","29.017568","24.418688","20","968422776040704","968422805058272","968423.1852049681","968423.414222536","False"
"287","1","1","2","25.075648","20.092256","20","968422914592736","968422939668384","968423.3237570002","968423.5488326481","False"
"288","1","1","2","21.527264","17.102464","20","968423043503552","968423065030816","968423.4526678161","968423.6741950801","False"
"289","1","1","2","11.282944","7.131264","20","968423176525184","968423187808128","968423.585689448","968423.796972392","False"
"321","1","1","2","10.897408","6.446688","21","968427530666720","968427541564128","968427.9398309841","968428.1507283921","False"
"322","1","1","2","13.589056","8.524288","21","968427669923872","968427683512928","968428.0790881361","968428.292677192","False"
"323","1","1","2","12.659776","7.198752","21","968427805925440","968427818585216","968428.2150897041","968428.42774948","False"
"324","1","1","2","18.496224","13.226592","21","968427933296512","968427951792736","968428.3424607761","968428.560957","False"
"325","1","1","2","11.056416","6.535584","21","968428076010432","968428087066848","968428.4851746961","968428.696231112","False"
"326","1","1","2","13.3896","7.866432","21","968428211589856","968428224979456","968428.62075412","968428.8341437201","False"
"433","1","1","2","10.792352","6.970496","22","968442640326592","968442651118944","968443.0494908561","968443.2602832081","False"
"434","1","1","2","23.31552","11.279648","22","968442772848256","968442796163776","968443.1820125201","968443.40532804","False"
"968","1","1","2","42.971488","36.087552","29;82","968520136884864","968520179856352","968520.546049128","968520.7890206161","True"
"969","1","1","2","58.850848","51.29904","29;82","968520280718176","968520339569024","968520.6898824401","968520.9487332881","True"
"970","1","1","2","57.178304","44.803232","29;82","968520415958784","968520473137088","968520.8251230482","968521.082301352","True"
"971","1","1","2","41.357312","35.498272","29;82","968520549257824","968520590615136","968520.9584220881","968521.1997794","True"
"972","1","1","2","62.511008","56.830368","29;82","968520689110688","968520751621696","968521.0982749521","968521.3607859601","True"
"973","1","1","2","45.912448","40.356352","29;82","968520814289056","968520860201504","968521.2234533201","968521.469365768","True"
"974","1","1","2","14.109504","9.364704","29","968520935628256","968520949737760","968521.34479252","968521.5589020241","True"
"975","1","1","2","50.705728","35.68656","29;82","968521092371104","968521143076832","968521.5015353682","968521.7522410961","True"
"976","1","1","2","39.91888","33.634656","29;82","968521229571776","968521269490656","968521.6387360401","968521.87865492","True"
"977","1","1","2","41.396768","36.16096","29;82","968521370909792","968521412306560","968521.7800740561","968522.021470824","True"
"978","1","1","2","40.884192","35.158368","29;82","968521504174624","968521545058816","968521.9133388881","968522.15422308","True"
"979","1","1","2","45.719456","39.987616","29;82","968521643447264","968521689166720","968522.0526115281","968522.2983309841","True"
"980","1","1","2","44.929504","39.441952","29;82","968521785934400","968521830863904","968522.1950986641","968522.440028168","True"
