"frame_index","input_seq","callback_tid","execution_ms","callback_running_ms","callback_blocked_ms","callback_runnable_ms","unknown_ms","stack_samples_all_frame_tids","stack_samples_callback","sched_context_events"
"814","1449","1645387","124.967296","11.435295571573079","103.77400007564574","9.758000378496945","0.0","11","1","2366"
"815","1450","1645387","140.959264","10.73926396202296","125.65099995117635","4.569000098854303","0.0","12","1","2440"
"816","1451","1645387","139.369216","10.988215450197458","126.66700012050569","1.7140003619715571","0.0","11","1","2505"
"817","1452","1645387","143.212128","12.994127930141985","125.17899996601045","5.039000068791211","0.0","12","1","2421"
"818","1453","1645387","141.306304","10.444303741678596","130.4040002869442","0.4579999949783087","0.0","16","1","2721"
"819","1454","1645387","148.297408","12.941407971084118","134.05700004659593","1.2989999959245324","0.0","13","2","2658"
"820","1455","1645387","117.03616","9.828159702010453","106.21900006663054","0.9890001965686679","0.0","9","0","1311"
"821","1456","1645387","125.205984","9.528983850032091","113.92399994656444","1.7530001932755113","0.0","11","0","1818"
"822","1457","1645394","126.273024","11.456024250946939","113.03899995982647","1.7779998015612364","0.0","12","2","1492"
"823","1458","1645390","140.69264","11.785640148445964","128.5969999153167","0.3100000321865082","0.0","6","1","2033"
"824","1459","1645390","158.683744","11.634744121693075","139.9029999738559","7.145999930799007","0.0","10","1","2696"
"825","1460","1645390","118.353056","14.818056137301028","102.03499998897314","1.4999998966231942","0.0","11","1","1764"
"826","1461","1645404","60.349664","10.241664131172001","49.488999880850315","0.619000056758523","0.0","13","1","1542"
"827","1462","1645396","156.01056","12.648560456000268","142.20999972894788","1.1519998079165816","0.0","11","1","2537"
"828","1463","1645394","154.829632","10.443631908856332","135.15800016466528","9.227999835275114","0.0","8","1","2540"
"829","1464","1645394","143.245728","10.591728030703962","131.79700006730855","0.856999889947474","0.0","13","1","2399"
"830","1465","1645394","120.757024","10.925023932941258","109.71799993421882","0.1140000531449914","0.0","14","1","2840"
"831","1466","1645394","140.0168","11.232799966819584","124.39599982462823","4.388000234030187","0.0","16","1","2567"
