"frame_index","normal_count","cruise_mlp_call_count","cruise_mlp_inference_call_count","execution_ms","thread_pool_run_ms","obstacle_ids","prediction_enter_ns","prediction_exit_ns","sched_window_start_s","sched_window_end_s","perf_window_complete"
"731","7","7","18","52.05088","41.458528","26;27;28;29;46;60;61","968486549696384","968486601747264","968486.9588606481","968487.2109115281","False"
"732","7","7","18","58.524512","43.969664","26;27;28;29;46;60;61","968486678222208","968486736746720","968487.0873864722","968487.3459109841","False"
"733","7","7","18","36.330528","26.725792","26;27;28;29;46;60;61","968486862247072","968486898577600","968487.2714113361","968487.5077418641","False"
"734","7","7","18","65.329792","40.292896","26;27;28;29;46;60;61","968486991153952","968487056483744","968487.4003182161","968487.665648008","False"
"926","7","7","18","129.124544","116.820704","26;27;28;29;78;79;80","968514325100416","968514454224960","968514.7342646801","968515.063389224","True"
"927","7","7","18","130.331712","116.618464","26;27;28;29;78;79;80","968514456828864","968514587160576","968514.865993128","968515.1963248401","True"
"928","7","7","18","120.101984","107.364192","26;27;28;29;78;79;80","968514592421984","968514712523968","968515.001586248","968515.321688232","True"
"929","7","7","18","129.3352","116.68864","26;27;28;29;78;79;80","968514712584000","968514841919200","968515.1217482641","968515.4510834641","True"
"930","7","7","18","38.2288","24.758528","26;27;28;29;78;79;80","968514851461728","968514889690528","968515.2606259921","968515.4988547921","True"
"932","7","7","18","124.827232","114.050656","26;27;28;29;78;79;80","968515146651392","968515271478624","968515.5558156561","968515.880642888","True"
"933","7","7","18","131.006688","111.77648","26;27;28;29;78;79;80","968515282298496","968515413305184","968515.6914627601","968516.022469448","True"
"934","7","7","18","131.074944","114.749408","26;27;28;29;78;79;80","968515413365824","968515544440768","968515.8225300881","968516.153605032","True"
"935","7","7","18","127.159488","116.887008","26;27;28;29;78;79;80","968515544503328","968515671662816","968515.9536675921","968516.28082708","True"
"936","7","7","18","57.957728","46.15248","26;27;28;29;78;79;80","968515673239904","968515731197632","968516.0824041681","968516.3403618961","True"
"937","7","7","18","38.675424","28.04912","26;27;28;29;78;79;80","968515811086240","968515849761664","968516.2202505041","968516.4589259281","True"
"938","7","7","18","36.49168","26.195744","26;27;28;29;78;79;80","968515955439456","968515991931136","968516.3646037201","968516.6010954","True"
"939","7","7","18","51.253888","39.106528","26;27;28;29;78;79;80","968516087394016","968516138647904","968516.4965582801","968516.7478121681","True"
"940","7","7","18","41.041408","28.403136","26;27;28;29;78;79;80","968516228511392","968516269552800","968516.6376756561","968516.878717064","True"
"941","7","7","18","50.677504","31.810272","26;27;28;29;78;79;80","968516367610848","968516418288352","968516.7767751121","968517.027452616","True"
"942","7","7","18","76.6336","65.102816","26;27;28;29;78;79;80","968516511224672","968516587858272","968516.9203889361","968517.1970225361","True"
