"frame_index","normal_count","cruise_mlp_call_count","cruise_mlp_inference_call_count","execution_ms","thread_pool_run_ms","obstacle_ids","prediction_enter_ns","prediction_exit_ns","sched_window_start_s","sched_window_end_s","perf_window_complete"
"717","8","8","21","142.190304","120.953792","26;27;28;29;46;60;61;62","968484564714080","968484706904384","968484.973878344","968485.316068648","False"
"718","8","8","21","143.605472","128.873184","26;27;28;29;46;60;61;62","968484706953152","968484850558624","968485.1161174161","968485.4597228881","False"
"719","8","8","21","135.28608","125.291808","26;27;28;29;46;60;61;62","968484855493920","968484990780000","968485.2646581841","968485.599944264","False"
"720","8","8","21","130.694368","118.037312","26;27;28;29;46;60;61;62","968484990831488","968485121525856","968485.3999957521","968485.73069012","False"
"721","8","8","21","146.782432","129.968224","26;27;28;29;46;60;61;62","968485129967744","968485276750176","968485.5391320081","968485.88591444","False"
"722","8","8","21","134.343424","123.232608","26;27;28;29;46;60;61;62","968485276813696","968485411157120","968485.6859779601","968486.0203213841","False"
"723","8","8","21","134.257088","109.823872","26;27;28;29;46;60;61;62","968485418202656","968485552459744","968485.8273669201","968486.1616240081","False"
"724","8","8","21","131.686944","121.010432","26;27;28;29;46;60;61;62","968485552522720","968485684209664","968485.961686984","968486.293373928","False"
"725","8","8","21","114.033632","100.53728","26;27;28;29;46;60;61;62","968485684256960","968485798290592","968486.0934212242","968486.4074548561","False"
"726","8","8","21","117.807712","104.830688","26;27;28;29;46;60;61;62","968485825247680","968485943055392","968486.234411944","968486.5522196561","False"
"727","8","8","21","91.125376","74.423072","26;27;28;29;46;60;61;62","968485961449216","968486052574592","968486.3706134801","968486.661738856","False"
"728","8","8","21","126.217728","108.0656","26;27;28;29;46;60;61;62","968486100926432","968486227144160","968486.510090696","968486.836308424","False"
"729","8","8","21","60.792128","48.94256","26;27;28;29;46;60;61;62","968486241157344","968486301949472","968486.6503216081","968486.9111137361","False"
"730","8","8","21","98.095392","82.333824","26;27;28;29;46;60;61;62","968486411607712","968486509703104","968486.8207719761","968487.1188673681","False"
"900","8","8","21","120.546816","106.172608","26;27;28;29;72;74;77;78","968510629169952","968510749716768","968511.0383342161","968511.3588810321","True"
"901","8","8","21","104.912832","92.880416","26;27;28;29;74;77;78;79","968510751159328","968510856072160","968511.1603235921","968511.465236424","True"
"903","8","8","21","144.194528","127.234912","26;27;28;29;74;77;78;79","968511048487392","968511192681920","968511.4576516561","968511.8018461841","True"
"904","8","8","21","137.90608","125.22752","26;27;28;29;74;77;78;79","968511202797024","968511340703104","968511.6119612881","968511.9498673681","True"
"905","8","8","21","134.574848","109.709728","26;27;28;29;74;77;78;79","968511340762976","968511475337824","968511.7499272401","968512.084502088","True"
"906","8","8","21","136.838272","124.549376","26;27;28;29;74;77;78;79","968511475403488","968511612241760","968511.8845677521","968512.2214060241","True"
"907","8","8","21","149.682624","136.12416","26;27;28;29;74;77;78;79","968511612310656","968511761993280","968512.0214749201","968512.3711575441","True"
"908","8","8","21","147.038752","130.47152","26;27;28;29;74;77;78;79","968511762059584","968511909098336","968512.1712238481","968512.5182626001","True"
"917","8","8","21","132.147712","119.654624","26;27;28;29;77;78;79;80","968513048073280","968513180220992","968513.4572375441","968513.789385256","True"
"918","8","8","21","132.78176","121.852","26;27;28;29;77;78;79;80","968513180279616","968513313061376","968513.5894438801","968513.92222564","True"
"919","8","8","21","131.586144","119.952864","26;27;28;29;77;78;79;80","968513313113920","968513444700064","968513.7222781841","968514.0538643281","True"
"920","8","8","21","137.061696","125.56496","26;27;28;29;77;78;79;80","968513452616512","968513589678208","968513.8617807761","968514.198842472","True"
"921","8","8","21","144.9104","126.112672","26;27;28;29;77;78;79;80","968513589743616","968513734654016","968513.99890788","968514.34381828","True"
"922","8","8","21","135.610368","122.794112","26;27;28;29;77;78;79;80","968513734712288","968513870322656","968514.1438765521","968514.47948692","True"
"923","8","8","21","138.762656","126.518752","26;27;28;29;77;78;79;80","968513878607552","968514017370208","968514.2877718161","968514.6265344721","True"
"924","8","8","21","145.215904","132.238464","26;27;28;29;77;78;79;80","968514017429664","968514162645568","968514.4265939281","968514.7718098321","True"
"925","8","8","21","162.327168","143.157984","26;27;28;29;77;78;79;80","968514162712448","968514325039616","968514.5718767121","968514.93420388","True"
