"frame_index","trace_id","input_perception_seq","prediction_output_seq","lidar_trace_id","lidar_frame_index","lidar_data_ts_ns","callback_tid","log_tid","lidar_enter_ns","perception_output_ns","prediction_enter_ns","prediction_exit_ns","complete","execution_ms","upstream_perception_ms","dispatch_proxy_ms","lidar_to_prediction_complete_ms","perception_to_prediction_complete_ms","container_calls","container_sum_ms","container_max_ms","cyber_taskmanager_notify_task_calls","cyber_taskmanager_notify_task_sum_ms","cyber_taskmanager_notify_task_max_ms","cyber_taskmanager_notify_tasks_calls","cyber_taskmanager_notify_tasks_sum_ms","cyber_taskmanager_notify_tasks_max_ms","cyber_taskmanager_queue_enqueue_calls","cyber_taskmanager_queue_enqueue_sum_ms","cyber_taskmanager_queue_enqueue_max_ms","evaluator_calls","evaluator_sum_ms","evaluator_max_ms","perception_calls","perception_sum_ms","perception_max_ms","predictor_calls","predictor_sum_ms","predictor_max_ms","proc_calls","proc_sum_ms","proc_max_ms","semantic_adc_draw_calls","semantic_adc_draw_sum_ms","semantic_adc_draw_max_ms","semantic_base_async_draw_calls","semantic_base_async_draw_sum_ms","semantic_base_async_draw_max_ms","semantic_base_async_future_replace_calls","semantic_base_async_future_replace_sum_ms","semantic_base_async_future_replace_max_ms","semantic_base_async_lock_wait_calls","semantic_base_async_lock_wait_sum_ms","semantic_base_async_lock_wait_max_ms","semantic_base_async_schedule_calls","semantic_base_async_schedule_sum_ms","semantic_base_async_schedule_max_ms","semantic_base_async_submit_calls","semantic_base_async_submit_sum_ms","semantic_base_async_submit_max_ms","semantic_base_copy_calls","semantic_base_copy_sum_ms","semantic_base_copy_max_ms","semantic_base_image_calls","semantic_base_image_sum_ms","semantic_base_image_max_ms","semantic_draw_crosswalks_calls","semantic_draw_crosswalks_sum_ms","semantic_draw_crosswalks_max_ms","semantic_draw_junctions_calls","semantic_draw_junctions_sum_ms","semantic_draw_junctions_max_ms","semantic_draw_lanes_calls","semantic_draw_lanes_sum_ms","semantic_draw_lanes_max_ms","semantic_draw_roads_calls","semantic_draw_roads_sum_ms","semantic_draw_roads_max_ms","semantic_history_cache_copy_calls","semantic_history_cache_copy_sum_ms","semantic_history_cache_copy_max_ms","semantic_map_prepare_calls","semantic_map_prepare_sum_ms","semantic_map_prepare_max_ms","semantic_map_run_calls","semantic_map_run_sum_ms","semantic_map_run_max_ms","semantic_obstacle_history_draw_calls","semantic_obstacle_history_draw_sum_ms","semantic_obstacle_history_draw_max_ms","thread_pool_run_calls","thread_pool_run_sum_ms","thread_pool_run_max_ms","writer_calls","writer_sum_ms","writer_max_ms","all_traced_span_ms","execution_ms_p99_tail","dispatch_proxy_ms_p99_tail","upstream_perception_ms_p99_tail","lidar_to_prediction_complete_ms_p99_tail","perception_to_prediction_complete_ms_p99_tail","all_traced_span_ms_p99_tail","previous20_execution_median_ms","local_execution_jump","anomaly_categories","cruise_mlp_inference_calls","cruise_mlp_inference_sum_ms","cruise_mlp_inference_max_ms","model_cruise_mlp_calls","model_cruise_mlp_sum_ms","model_cruise_mlp_max_ms","jointly_prediction_planning_inference_calls","jointly_prediction_planning_inference_sum_ms","jointly_prediction_planning_inference_max_ms","model_jointly_prediction_planning_calls","model_jointly_prediction_planning_sum_ms","model_jointly_prediction_planning_max_ms"
"900","17293852238736786893","1536","1254","72087263672010240","928","1788865102170536403","1645404","1645404","968510464644448","968510615237472","968510629169952","968510749716768","True","120.546816","150.593024","13.93248","285.07232","134.479296","1","0.559904","0.559904","16","0.38495999999999997","0.11904","1","0.400992","0.400992","1","0.009472","0.009472","1","110.767616","110.767616","1","119.354368","119.354368","1","1.514848","1.514848","1","120.546816","120.546816","1","0.001408","0.001408","1","11.95328","11.95328","1","0.000928","0.000928","1","0.002208","0.002208","1","0.42384","0.42384","1","0.420256","0.420256","1","1.704416","1.704416","1","2.135584","2.135584","1","0.00624","0.00624","1","0.222016","0.222016","1","9.423648","9.423648","1","1.630592","1.630592","1","0.306752","0.306752","1","1.561344","1.561344","1","3.013312","3.013312","1","0.557152","0.557152","1","106.172608","106.172608","1","0.50352","0.50352","120.546816","False","False","False","False","False","False","140.59126400000002","False","","21","349.00687999999997","34.925856","8","393.738112","92.12496","","","","","",""
"901","17293852238736786894","1537","1255","72087263672010241","929","1788865102318274548","1645396","1645396","968510602685856","968510749325792","968510751159328","968510856072160","True","104.912832","146.639936","1.833536","253.386304","106.746368","1","0.502496","0.502496","16","0.22636799999999993","0.0528","1","0.241504","0.241504","1","0.009056","0.009056","1","95.99296","95.99296","1","103.609536","103.609536","1","1.236608","1.236608","1","104.912832","104.912832","1","0.001056","0.001056","1","20.715392","20.715392","1","0.00096","0.00096","1","0.001088","0.001088","1","0.263168","0.263168","1","0.259616","0.259616","1","1.476672","1.476672","1","1.745312","1.745312","1","0.007488","0.007488","1","0.229952","0.229952","1","18.323424","18.323424","1","1.568384","1.568384","1","0.201504","0.201504","1","0.731008","0.731008","1","2.364128","2.364128","1","0.40704","0.40704","1","92.880416","92.880416","1","0.664032","0.664032","104.912832","False","False","False","False","False","False","140.59126400000002","False","","21","194.874784","22.524864","8","227.25571199999996","54.042624","","","","","",""
"903","17293852238736786896","1539","1257","72087263672010243","931","1788865102594289357","1645404","1645404","968510895113536","968511048007040","968511048487392","968511192681920","True","144.194528","152.893504","0.480352","297.568384","144.67488","1","0.527296","0.527296","16","6.445120000000001","6.208096","1","6.463872","6.463872","1","0.008384","0.008384","1","136.63968","136.63968","1","143.10944","143.10944","1","1.023424","1.023424","1","144.194528","144.194528","1","0.001088","0.001088","1","11.89856","11.89856","1","0.000864","0.000864","1","0.001408","0.001408","1","6.48464","6.48464","1","6.48144","6.48144","1","1.499392","1.499392","1","7.99008","7.99008","1","0.006496","0.006496","1","0.239808","0.239808","1","9.331328","9.331328","1","1.666624","1.666624","1","0.19472","0.19472","1","0.702112","0.702112","1","8.688768","8.688768","1","0.494528","0.494528","1","127.234912","127.234912","1","0.420928","0.420928","144.194528","False","False","False","False","False","False","139.51209599999999","False","","21","331.12732800000003","31.97728","8","376.494784","84.371264","","","","","",""
"904","17293852238736786897","1540","1258","72087263672010244","932","1788865102742984127","1645396","1645396","968511051001344","968511202294304","968511202797024","968511340703104","True","137.90608","151.29296","0.50272","289.70176","138.4088","1","0.517984","0.517984","16","0.914496","0.446464","1","0.934272","0.934272","1","0.010336","0.010336","1","129.352736","129.352736","1","136.719168","136.719168","1","1.070496","1.070496","1","137.90608","137.90608","1","0.00128","0.00128","1","12.698208","12.698208","1","0.00128","0.00128","1","0.001216","0.001216","1","0.956448","0.956448","1","0.952736","0.952736","1","1.48352","1.48352","1","2.446848","2.446848","1","0.006368","0.006368","1","0.284992","0.284992","1","10.064704","10.064704","1","1.725248","1.725248","1","0.278336","0.278336","1","0.779072","0.779072","1","3.331232","3.331232","1","0.594784","0.594784","1","125.22752","125.22752","1","0.52256","0.52256","137.90608","False","False","False","False","False","False","139.51209599999999","False","","21","399.593984","41.40816","8","445.62816","98.287136","","","","","",""
"905","17293852238736786898","1541","1259","72087263672010245","933","1788865102896889463","1645396","1645396","968511184100480","968511337668128","968511340762976","968511475337824","True","134.574848","153.567648","3.094848","291.237344","137.669696","1","0.501664","0.501664","16","5.931775999999999","5.684416","1","5.950816","5.950816","1","0.008352","0.008352","1","126.61376","126.61376","1","133.491616","133.491616","1","1.180704","1.180704","1","134.574848","134.574848","1","0.00128","0.00128","1","12.458496","12.458496","1","0.00112","0.00112","1","0.001408","0.001408","1","5.971488","5.971488","1","5.967552","5.967552","1","1.39888","1.39888","1","7.375392","7.375392","1","0.00672","0.00672","1","0.224864","0.224864","1","9.961472","9.961472","1","1.629888","1.629888","1","0.269408","0.269408","1","0.815808","0.815808","1","16.058368","16.058368","1","8.40208","8.40208","1","109.709728","109.709728","1","0.436768","0.436768","134.574848","False","False","False","False","False","False","138.91664","False","","21","327.3646079999999","37.845184","8","364.61689599999994","86.257504","","","","","",""
"906","17293852238736786899","1542","1260","72087263672010246","934","1788865103036783849","1645396","1645396","968511322926592","968511473006592","968511475403488","968511612241760","True","136.838272","150.08","2.396896","289.315168","139.235168","1","0.4976","0.4976","16","0.870176","0.63552","1","0.886432","0.886432","1","0.012032","0.012032","1","128.534816","128.534816","1","135.49056","135.49056","1","1.055488","1.055488","1","136.838272","136.838272","1","0.001248","0.001248","1","12.551552","12.551552","1","0.000928","0.000928","1","0.001344","0.001344","1","0.91136","0.91136","1","0.908096","0.908096","1","1.50208","1.50208","1","2.420288","2.420288","1","0.007264","0.007264","1","0.272096","0.272096","1","9.92384","9.92384","1","1.734944","1.734944","1","0.253152","0.253152","1","0.764704","0.764704","1","3.206016","3.206016","1","0.522112","0.522112","1","124.549376","124.549376","1","0.685312","0.685312","136.838272","False","False","False","False","False","False","138.91664","False","","21","353.1991359999999","42.471328","8","401.66003199999994","102.746432","","","","","",""
"907","17293852238736786900","1543","1261","72087263672010247","935","1788865103175260373","1645396","1645396","968511457471328","968511609527584","968511612310656","968511761993280","True","149.682624","152.056256","2.783072","304.521952","152.465696","1","0.474592","0.474592","16","2.65952","2.199136","1","2.681312","2.681312","1","0.009888","0.009888","1","141.83248","141.83248","1","148.57168","148.57168","1","1.114656","1.114656","1","149.682624","149.682624","1","0.001344","0.001344","1","12.240032","12.240032","1","0.001088","0.001088","1","0.00128","0.00128","1","2.702912","2.702912","1","2.70016","2.70016","1","1.384256","1.384256","1","4.092576","4.092576","1","0.00736","0.00736","1","0.274592","0.274592","1","9.608352","9.608352","1","1.703712","1.703712","1","0.209184","0.209184","1","0.779872","0.779872","1","4.904672","4.904672","1","0.592928","0.592928","1","136.12416","136.12416","1","0.497632","0.497632","149.682624","False","False","False","False","False","False","138.55091199999998","False","","21","347.943104","30.415104","8","407.61321599999997","94.964288","","","","","",""
"908","17293852238736786901","1544","1262","72087263672010248","936","1788865103309123146","1645396","1645396","968511609345472","968511758447328","968511762059584","968511909098336","True","147.038752","149.101856","3.612256","299.752864","150.651008","1","0.558368","0.558368","16","4.103904","3.799392","1","4.121824","4.121824","1","0.009536","0.009536","1","137.625728","137.625728","1","145.83856","145.83856","1","1.625856","1.625856","1","147.038752","147.038752","1","0.001152","0.001152","1","16.128416","16.128416","1","0.000928","0.000928","1","0.00128","0.00128","1","4.144128","4.144128","1","4.140896","4.140896","1","1.4848","1.4848","1","5.634784","5.634784","1","0.007136","0.007136","1","0.26256","0.26256","1","13.467296","13.467296","1","1.624416","1.624416","1","0.21488","0.21488","1","0.781056","0.781056","1","6.357312","6.357312","1","0.497376","0.497376","1","130.47152","130.47152","1","0.512064","0.512064","147.038752","False","False","False","False","False","False","138.55091199999998","False","","21","363.013088","39.292736","8","418.848992","103.718784","","","","","",""
"917","17293852238736786910","1553","1271","72087263672010257","945","1788865104592406510","1645397","1645397","968512887432352","968513047467424","968513048073280","968513180220992","True","132.147712","160.035072","0.605856","292.78864","132.753568","1","0.542304","0.542304","16","0.40992","0.062496","1","0.430272","0.430272","1","0.007104","0.007104","1","122.93648","122.93648","1","130.954368","130.954368","1","1.697536","1.697536","1","132.147712","132.147712","1","0.001344","0.001344","1","14.227808","14.227808","1","0.001408","0.001408","1","0.001216","0.001216","1","0.449472","0.449472","1","0.445408","0.445408","1","1.344544","1.344544","1","1.798304","1.798304","1","0.006752","0.006752","1","0.274656","0.274656","1","11.371264","11.371264","1","2.095968","2.095968","1","0.231648","0.231648","1","0.728608","0.728608","1","2.528416","2.528416","1","0.489216","0.489216","1","119.654624","119.654624","1","0.53104","0.53104","132.147712","False","False","False","False","False","False","137.72328","False","","21","415.819648","53.87872","8","468.74649600000004","93.223264","","","","","",""
"918","17293852238736786911","1554","1272","72087263672010258","946","1788865104735969117","1645397","1645397","968513021211680","968513172480544","968513180279616","968513313061376","True","132.78176","151.268864","7.799072","291.849696","140.580832","1","0.49344","0.49344","16","0.25929599999999997","0.05632","1","0.275584","0.275584","1","0.0104","0.0104","1","125.0928","125.0928","1","131.701344","131.701344","1","1.019936","1.019936","1","132.78176","132.78176","1","0.001184","0.001184","1","12.18096","12.18096","1","0.00144","0.00144","1","0.002688","0.002688","1","0.299456","0.299456","1","0.295744","0.295744","1","1.415264","1.415264","1","1.721664","1.721664","1","0.005792","0.005792","1","0.260992","0.260992","1","9.714464","9.714464","1","1.711168","1.711168","1","0.228128","0.228128","1","0.738848","0.738848","1","2.485152","2.485152","1","0.525184","0.525184","1","121.852","121.852","1","0.471488","0.471488","132.78176","False","False","False","False","False","False","137.18937599999998","False","","21","419.12198399999994","37.014912","8","474.627264","92.481568","","","","","",""
