                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      CPU20      CPU21      CPU22      CPU23      CPU24      CPU25      CPU26      CPU27      CPU28      CPU29      CPU30      CPU31      
          HI:          0          0          0          0         12          0    1295414          0         89          0          0          0          0          0          0          0       1301          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
       TIMER:   14736492    2511529    8843871    1356241    8353248    1364580    8144647    1250711    9171912    1142650    7705967    1133368    7481289    1230780    6805552    1094598    6909383    6624826    6166688    5000639    4184350   16593103    4322122    3457285    2617838    2232470    1977319    1860782    2307904    1627069    1482264    1585096
      NET_TX:      32032       2375      34526      35950      38479     121194      45058       2426       5523       1266       4630       1118      22684       1456      23296       1982      15164      16605      17011      16874      17574   27461617      16801      15455      10576      10324      10092       9543       9501       8238       6776       6164
      NET_RX:   73531733   26208583   80109428   24128857   83973574   23956655   85678779   24260441   54541753   15927507   49880825   14031871   62368102   17509974   76790507   18743196   65648228   50350986   41600904   38394358   37442533  425239992   31399838   31876363   31900695   31916446   31842377   31648792   27349140   29426874   29892781   31068679
       BLOCK:        536        214       1017        249        684        211       1558        142        969         86       1080        334       1174        426       1399        174        820       1275       1067       1999        519        334        233        352        476        445        132        290        181        164         48        226
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         16          1         17          0        236          0      25990          1        155          0         38          1         22          0         22          1        143         53          0          2          3      44609          2          4          1          0          0          0          4          0          1          1
       SCHED:  123634057   46935711   66908148   16538619   66833000   16021897   68902812   16742613   85936298   12133630   84391245   11830006   80116440   18186793   71880037   16905528    6326329    5474555    5151764    4241573    3740167    6798227    3482100    2931108    2544696    2265332    2068373    1928820    2343973    1988707    1896563    1935051
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:   59357900   14831433   56770892   11583723   58444113   12078495   60747585   12642456   75814146    9580472   75413803    9362189   67749503   12332208   63466716   12853900   45820848   40882211   38791490   32488848   28658974   44655206   25570371   22262906   19384004   17531617   16006105   14898169   19014808   16206912   15289126   15106288
