run_id,frame_index,parent_trace_id,fusion_trace_id,source_wall_s,source_relative_t_sample_s,source_gap_ms,ingress_ms,fusion_object_count,target_11_present,performance_state,endpoint_status,outcome_compatibility,first_control_wall_s,v_source_data_observed_mps,v_first_control_data_observed_mps,last_observed_prefix_endpoint,last_observed_prefix_wall_s,T_source_to_last_observed_prefix_ms,D_source_to_last_observed_prefix_wall_integral_m,T_e2e_data_observed_pre_collision_ms,D_e2e_wall_integral_data_observed_m,T_source_to_collision_right_censored_ms,D_source_to_collision_right_censored_m,T_trace_complete_post_outcome_diagnostic_ms,D_trace_complete_post_outcome_diagnostic_m,reference_pre_anomaly_target_p50_ms,T_excess_vs_reference_research_ms,D_excess_after_reference_wall_integral_research_m,T_plotted_stage_sum_ms,D_plotted_stage_sum_m,T_source_to_fusion_output_data_observed_ms,T_fusion_to_prediction_output_data_observed_ms,T_prediction_to_planning_output_data_observed_ms,T_planning_output_to_first_control_output_data_observed_ms,D_source_to_fusion_output_wall_integral_data_observed_m,D_fusion_to_prediction_output_wall_integral_data_observed_m,D_prediction_to_planning_output_wall_integral_data_observed_m,D_planning_output_to_first_control_output_wall_integral_data_observed_m,physical_effect_episode_status,primary_semantic_label,reference_semantic_label,lineage_grade,clock_basis,distance_method,quality_flags
202607271131,0,72131690813719833,17293896665878496482,1785123121.945625067,0.000000,,101.614000,2,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123122.259226561,16.080189,16.466347,,,,,313.601494,5.085016,,,,,324.292898,0.000000,0.000000,313.599825,5.084989,292.979240,3.954649,13.035536,3.630400,4.745999,0.064934,0.214294,0.059762,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,1,72131690813719834,17293896665878496483,1785123122.045346260,0.099721,99.721193,100.599000,2,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123122.359173298,16.120413,16.745865,,,,,313.827038,5.138784,,,,,324.292898,0.000000,0.000000,313.825130,5.138752,293.720961,4.497528,12.539625,3.067017,4.802762,0.075054,0.209592,0.051344,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,2,72131690813719835,17293896665878496484,1785123122.145576715,0.199952,100.230455,93.904000,1,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123122.459481239,16.237495,17.091609,,,,,313.904524,5.213951,,,,,324.292898,0.000000,0.000000,313.901901,5.213906,292.564631,4.095793,12.786388,4.455090,4.850083,0.069709,0.218008,0.076106,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,3,72131690813719836,17293896665878496485,1785123122.245305538,0.299680,99.728823,95.758000,2,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123122.579158545,16.428771,17.496818,,,,,333.853006,5.657134,,,,,324.292898,9.560108,0.167169,333.850861,5.657096,301.087856,4.350424,23.807049,4.605532,5.085053,0.075820,0.415666,0.080558,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,4,72131690813719837,17293896665878496486,1785123122.344840288,0.399215,99.534750,99.733600,1,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123122.669115782,16.697442,17.610677,,,,,324.275494,5.590517,,,,,324.292898,0.000000,0.000000,324.273109,5.590475,298.528910,3.729820,19.037247,2.977133,5.136638,0.065806,0.335596,0.052436,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,5,72131690813719838,17293896665878496487,1785123122.444760323,0.499135,99.920034,95.037900,1,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123122.769063950,17.035017,17.427932,,,,,324.303627,5.657827,,,,,324.292898,0.010729,0.000187,324.301004,5.657781,303.318977,3.079653,12.224436,5.677938,5.291416,0.053860,0.213499,0.099005,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,6,72131690813719839,17293896665878496488,1785123122.544868469,0.599243,100.108147,91.937100,1,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123122.869161367,17.419862,17.100373,,,,,324.292898,5.661818,,,,,324.292898,0.000000,0.000000,324.290276,5.661772,300.804377,3.921032,13.951778,5.613089,5.259137,0.067362,0.239229,0.096044,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,7,72131690813719840,17293896665878496489,1785123122.645080328,0.699455,100.211859,98.318300,1,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123122.969472885,17.644763,16.725045,,,,,324.392557,5.601614,,,,,324.292898,0.099659,0.001667,324.390173,5.601574,297.701836,3.687382,12.680054,10.320902,5.153818,0.062029,0.212901,0.172826,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,8,72131690813719841,17293896665878496490,1785123122.745260715,0.799636,100.180387,93.163500,1,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123123.089049101,17.502693,16.258051,,,,,343.788385,5.813036,,,,,324.292898,19.495487,0.317698,343.786001,5.812997,295.784235,11.582375,24.326324,12.093067,5.028097,0.190210,0.397796,0.196894,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,9,72131690813719842,17293896665878496491,1785123122.845126867,0.899502,99.866152,98.223400,1,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123123.169241428,17.189033,15.944812,,,,,324.114561,5.372012,,,,,324.292898,0.000000,0.000000,324.112177,5.371974,296.759605,4.427433,20.145416,2.779722,4.934370,0.071032,0.322234,0.044337,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
