evidence_id,run_id,metric,value,unit,evidence_class,source_file,source_locator,availability,limitations
EV.D0.202607271031,202607271031,d0_clearance_data_observed_m,39.89118968607217,m,OBSERVED_DERIVED,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/perception.log.INFO.20260727-102810.5491 | /Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/localization.log.INFO.20260727-102803.5453,stable 3-frame Fusion source t1 + interpolated Localization pose + 5.3074 m geometry offset,AVAILABLE,fixed geometry offset; ±0.52 m contact-calibration uncertainty
EV.D0.202607271048,202607271048,d0_clearance_data_observed_m,38.74398321009477,m,OBSERVED_DERIVED,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/perception.log.INFO.20260727-104627.122675 | /Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/localization.log.INFO.20260727-104620.122662,stable 3-frame Fusion source t1 + interpolated Localization pose + 5.3074 m geometry offset,AVAILABLE,fixed geometry offset; ±0.52 m contact-calibration uncertainty
EV.D0.202607271054,202607271054,d0_clearance_data_observed_m,39.631539419332874,m,OBSERVED_DERIVED,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/perception.log.INFO.20260727-105124.176848 | /Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/localization.log.INFO.20260727-105117.176834,stable 3-frame Fusion source t1 + interpolated Localization pose + 5.3074 m geometry offset,AVAILABLE,fixed geometry offset; ±0.52 m contact-calibration uncertainty
EV.D0.202607271059,202607271059,d0_clearance_data_observed_m,40.15487249928844,m,OBSERVED_DERIVED,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/perception.log.INFO.20260727-105743.231975 | /Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/localization.log.INFO.20260727-105737.231932,stable 3-frame Fusion source t1 + interpolated Localization pose + 5.3074 m geometry offset,AVAILABLE,fixed geometry offset; ±0.52 m contact-calibration uncertainty
EV.D0.202607271104,202607271104,d0_clearance_data_observed_m,38.78361695724761,m,OBSERVED_DERIVED,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/perception.log.INFO.20260727-110240.286153 | /Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/localization.log.INFO.20260727-110232.286141,stable 3-frame Fusion source t1 + interpolated Localization pose + 5.3074 m geometry offset,AVAILABLE,fixed geometry offset; ±0.52 m contact-calibration uncertainty
EV.D0.202607271108,202607271108,d0_clearance_data_observed_m,38.75948581368456,m,OBSERVED_DERIVED,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/perception.log.INFO.20260727-110708.340114 | /Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/localization.log.INFO.20260727-110701.340102,stable 3-frame Fusion source t1 + interpolated Localization pose + 5.3074 m geometry offset,AVAILABLE,fixed geometry offset; ±0.52 m contact-calibration uncertainty
EV.D0.202607271113,202607271113,d0_clearance_data_observed_m,38.81749065847193,m,OBSERVED_DERIVED,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/perception.log.INFO.20260727-111146.394244 | /Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/localization.log.INFO.20260727-111139.394230,stable 3-frame Fusion source t1 + interpolated Localization pose + 5.3074 m geometry offset,AVAILABLE,fixed geometry offset; ±0.52 m contact-calibration uncertainty
EV.PARAM.A_RESP_CONSERVATIVE_CANDIDATE,baseline_group,a_resp_conservative_candidate,2.668280131788248,m/s^2,UNVALIDATED_MODEL_CALIBRATION,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_baseline_dynamic_parameters/tables/baseline_run_parameter_observed.csv,各run响应窗原始相邻Localization速度差分的正向峰值之最大值,AVAILABLE,未独立验证；median-3滤波诊断最大值为2.668280132 m/s^2
EV.PARAM.B_E_CONSERVATIVE_CANDIDATE,baseline_group,b_e_conservative_candidate,3.964440359923389,m/s^2,UNVALIDATED_MODEL_CALIBRATION,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_baseline_dynamic_parameters/tables/baseline_run_parameter_observed.csv,7个均达到近零速并具最低速度端点的run中，(v2^2-v_end^2)/(2*D_brake_wall_path)的组最小值,AVAILABLE,仅7次同场景baseline；未覆盖摩擦、坡度、载荷和执行器退化，不能称已证明保证
EV.PARAM.D_SAFE_CONTACT,baseline_group,d_safe_contact,0.0,m,INDEPENDENT_REQUIREMENT,user-declared analysis scenario,停车后允许恰好到达接触边界的残余距离,AVAILABLE,接触避免边界，不等同于工程安全裕度
EV.PARAM.D_SAFE_ENGINEERING,baseline_group,d_safe_engineering,6.0,m,INDEPENDENT_REQUIREMENT,user-declared analysis scenario,停车后要求保留的工程安全裕度,AVAILABLE,研究者选择的工程阈值；无外部/预注册证据时不宣称认证安全要求
