run_id_or_group,clock_domain,host,timestamp_type,sync_method,offset_estimate_ms,drift_estimate,alignment_residual_ms,timestamp_resolution_ms,confidence,phase_scan_performed,phase_effect_verdict,notes
202607271031,wall_epoch_s,Orin+CARLA_server,wall,LIMITED_NO_DUAL_CLOCK_HISTORY,,,,,MEDIUM,FALSE,NOT_TESTABLE,Main wall interval is retained; cross-host stage decomposition has no dual-clock history.
202607271048,wall_epoch_s,Orin+CARLA_server,wall,LIMITED_NO_DUAL_CLOCK_HISTORY,,,,,MEDIUM,FALSE,NOT_TESTABLE,Main wall interval is retained; cross-host stage decomposition has no dual-clock history.
202607271054,wall_epoch_s,Orin+CARLA_server,wall,LIMITED_NO_DUAL_CLOCK_HISTORY,,,,,MEDIUM,FALSE,NOT_TESTABLE,Main wall interval is retained; cross-host stage decomposition has no dual-clock history.
202607271059,wall_epoch_s,Orin+CARLA_server,wall,LIMITED_NO_DUAL_CLOCK_HISTORY,,,,,MEDIUM,FALSE,NOT_TESTABLE,Main wall interval is retained; cross-host stage decomposition has no dual-clock history.
202607271104,wall_epoch_s,Orin+CARLA_server,wall,LIMITED_NO_DUAL_CLOCK_HISTORY,,,,,MEDIUM,FALSE,NOT_TESTABLE,Main wall interval is retained; cross-host stage decomposition has no dual-clock history.
202607271108,wall_epoch_s,Orin+CARLA_server,wall,LIMITED_NO_DUAL_CLOCK_HISTORY,,,,,MEDIUM,FALSE,NOT_TESTABLE,Main wall interval is retained; cross-host stage decomposition has no dual-clock history.
202607271113,wall_epoch_s,Orin+CARLA_server,wall,LIMITED_NO_DUAL_CLOCK_HISTORY,,,,,MEDIUM,FALSE,NOT_TESTABLE,Main wall interval is retained; cross-host stage decomposition has no dual-clock history.
202607271131,wall_epoch_s,Orin+CARLA_server,wall,ALIGNED,,,0.6614327430725098,,MEDIUM,FALSE,NOT_TESTABLE,Main wall interval is retained; cross-host stage decomposition has no dual-clock history.
202607271202,wall_epoch_s,Orin+CARLA_server,wall,LIMITED_NO_DUAL_CLOCK_HISTORY,,,,,MEDIUM,FALSE,NOT_TESTABLE,Main wall interval is retained; cross-host stage decomposition has no dual-clock history.
202607271206,wall_epoch_s,Orin+CARLA_server,wall,LIMITED_NO_DUAL_CLOCK_HISTORY,,,,,MEDIUM,FALSE,NOT_TESTABLE,Main wall interval is retained; cross-host stage decomposition has no dual-clock history.
202607271211,wall_epoch_s,Orin+CARLA_server,wall,LIMITED_NO_DUAL_CLOCK_HISTORY,,,,,MEDIUM,FALSE,NOT_TESTABLE,Main wall interval is retained; cross-host stage decomposition has no dual-clock history.
202607271643,wall_epoch_s,Orin+CARLA_server,wall,ALIGNED,,,0.7202029228210449,,MEDIUM,FALSE,NOT_TESTABLE,Main wall interval is retained; cross-host stage decomposition has no dual-clock history.
