evidence_id,run_id,layer,metric,value,unit,evidence_class,clock_domain,source_file,source_locator,availability,confidence,supports_claim_ids,challenges_claim_ids,limitations,taint_tags,reference_type,distribution_scope,causal_lineage_grade,endpoint_definition,semantic_role,requirement_id,host,timestamp_type
EV.L1.DELAY.202607271031,202607271031,L1,bridge_delay_actual_wall_data_observed_ms,19.282224,ms,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C1.all_runs|P_CLOCK.fault_signature,,"Establishes injected Bridge/SCB disturbance, not an intrinsic Apollo defect.",,,PER_RUN,,SCB/Bridge measured application delay,TEMPORAL_DISTURBANCE_APPLICATION,,,
EV.L2.TR.202607271031,202607271031,L2,T_R,299.6549606323242,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C2.all_runs|C4.all_runs,,Wall-clock physical reaction interval; group degradation still requires a declared reference.,,,PER_RUN,,PHYSICAL_RESPONSE:t2_wall_s-t1_wall_s,PHYSICAL_REACTION_INTERVAL,,,
EV.L5.D_RESPONSE.202607271031,202607271031,L5,D_response_wall_integral_data_observed_m,4.673487170470926,m,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C5.all_runs,,Canonical wall-clock speed trapezoid integral; it is not deadline-excess debt by itself.,,,,,"integral v(t) dt_wall over [t1,t2]",,,,
EV.L6.OUTCOME.202607271031,202607271031,L6,physical_outcome,safe_stop,category,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C6.all_runs|C7.all_runs,,Observed outcome cannot by itself establish a temporal failure.,,,,,MINIMUM_SPEED_PROXY,PHYSICAL_OUTCOME,,,
EV.PTARGET.202607271031,202607271031,P_TARGET,target_identity_and_presence,14,id,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_TARGET.all_runs,,Target identity is present in generated tables but no end-to-end target lineage is archived.,,,,,,TARGET_ASSOCIATION,,,
EV.L2.GAP_MAX.202607271031,202607271031,L2,target_update_gap_max,117.22302436828612,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,C2.all_runs,,Single maximum without a requirement or nominal distribution is case-level characterization only.,,MISSING,SINGLE_MAX,,,,,,
EV.L4.TAU_RETRO.202607271031,202607271031,L4,tau_retro,640.7883522772328,ms,RETROSPECTIVE_RECONSTRUCTION,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_DEADLINE.all_runs|C4.all_runs,,Same-run physical reconstruction uses post-response/full-trajectory information; not a primary requirement.,RETROSPECTIVE,,,,legacy tau_dynamic_data_derived_ms reclassified,,REQ.RETRO.COLLISION.202607271031,,
EV.PFUNC.202607271031,202607271031,P_FUNC,functional_chain_presence,PARTIAL,state,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,MEDIUM,P_FUNC.all_runs,,Planning/output presence is not functional correctness; Control payload is not archived.,,,,,,,,,
EV.L1.DELAY.202607271048,202607271048,L1,bridge_delay_actual_wall_data_observed_ms,0.08511,ms,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C1.all_runs|P_CLOCK.fault_signature,,"Establishes injected Bridge/SCB disturbance, not an intrinsic Apollo defect.",,,PER_RUN,,SCB/Bridge measured application delay,TEMPORAL_DISTURBANCE_APPLICATION,,,
EV.L2.TR.202607271048,202607271048,L2,T_R,300.3580570220947,ms,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_tcps_pa_v2/tables/run_level_observed.csv,legacy generated run-level table,AVAILABLE,HIGH,C2.all_runs|C4.all_runs,,Wall-clock physical reaction interval; group degradation still requires a declared reference.,,,PER_RUN,,PHYSICAL_RESPONSE:t2_wall_s-t1_wall_s,PHYSICAL_REACTION_INTERVAL,,,
