dimension,metric,source_column,unit,semantics,group_name,n_total_runs,n_available_runs,p50,p90,p95,p99,max,iqr
R,物理反应时间 T_R,T_e2e_data_observed_ms,ms,t1→t2 单墙钟物理区间,baseline,7,7,300.3580570220947,399.68762397766113,399.7188091278076,399.7437572479248,399.7499942779541,50.257086753845215
R,物理反应时间 T_R,T_e2e_data_observed_ms,ms,t1→t2 单墙钟物理区间,delay_300ms,4,4,749.9014139175415,865.5998468399048,879.7349810600281,891.0430884361267,893.8701152801514,123.28052520751953
R,Sensor→Control,sensor_to_control_ms,ms,阶段诊断，跨主机置信度受限,baseline,7,7,265.400912,291.80670560000004,297.8100968,302.61280976,303.813488,14.398657999999955
R,Sensor→Control,sensor_to_control_ms,ms,阶段诊断，跨主机置信度受限,delay_300ms,4,4,303.099764,340.909676,346.76189,351.4436612,352.614104,31.315472
R,Control→t2,control_to_t2_ms,ms,Control 后至持续制动起点,baseline,7,7,38.223985714111336,108.7873324777588,118.42545212761229,126.1359478474951,128.06357177746582,42.05616930181884
R,Control→t2,control_to_t2_ms,ms,Control 后至持续制动起点,delay_300ms,4,4,447.42085048339845,524.6901708399048,532.9730910600281,539.5994272361266,541.2560112801514,91.34585264166265
A,t2 时目标数据年龄,data_age_target_at_t2_data_observed_ms,ms,目标 header/source 到物理 t2,baseline,7,7,299.9768257141113,300.47125816345215,300.5561590194702,300.62407970428467,300.6410598754883,0.45096874237060547
A,t2 时目标数据年龄,data_age_target_at_t2_data_observed_ms,ms,目标 header/source 到物理 t2,delay_300ms,4,4,347.34559059143066,398.56066703796387,399.4907855987549,400.2348804473877,400.4209041595459,95.50279378890991
A,目标 lifecycle P90,target_lifecycle_response_window_p90_data_observed_ms,ms,run 内 response window 摘要,baseline,7,7,234.97915267944336,258.269100189209,263.39028120040894,267.4872260093689,268.5114622116089,16.240406036376953
A,目标 lifecycle P90,target_lifecycle_response_window_p90_data_observed_ms,ms,run 内 response window 摘要,delay_300ms,4,4,281.5547704696655,314.89959239959717,318.09802293777466,320.65676736831665,321.29645347595215,42.92807579040527
A,结局时目标 source age,target_source_age_at_outcome_ms,ms,诊断量；结局端点与匹配语义需保守解释,baseline,7,7,399.6150493621826,1419.9473857879648,2109.895229339598,2661.8535041809073,2799.8430728912354,149.86789226531982
A,结局时目标 source age,target_source_age_at_outcome_ms,ms,诊断量；结局端点与匹配语义需保守解释,delay_300ms,4,4,799.3409633636475,974.4616985321045,990.6768321990966,1003.6489391326903,1006.8919658660888,250.98127126693726
G,响应窗 target gap MAX,update_gap_target_response_window_max_data_observed_ms,ms,少于两个输出时不可用,baseline,7,2,98.26993942260742,98.51713180541992,98.54803085327148,98.57275009155273,98.57892990112305,0.308990478515625
G,响应窗 target gap MAX,update_gap_target_response_window_max_data_observed_ms,ms,少于两个输出时不可用,delay_300ms,4,4,99.23005104064941,105.52811622619629,106.87065124511719,107.9446792602539,108.21318626403809,2.6866793632507466
G,全窗 target gap P90,target_gap_p90_ms,ms,run 内 target 输出间隔摘要,baseline,7,7,112.52484321594238,124.30294990539556,130.8843326568604,136.14943885803228,137.46571540832528,4.541349411010742
G,全窗 target gap P90,target_gap_p90_ms,ms,run 内 target 输出间隔摘要,delay_300ms,4,4,108.461594581604,113.62374782562256,114.32728052139284,114.89010667800905,115.0308132171631,6.806433200836182
G,全窗 target gap MAX,target_gap_max_ms,ms,单个 MAX 不能单独建立组级退化,baseline,7,7,117.22302436828612,290.52019119262695,294.0610647201538,296.8937635421753,297.60193824768066,86.57550811767578
G,全窗 target gap MAX,target_gap_max_ms,ms,单个 MAX 不能单独建立组级退化,delay_300ms,4,4,188.1411075592041,411.683464050293,459.5611810684203,497.8633546829223,507.43889808654785,98.0527400970459
