run_id,group_name,perception_status,prediction_status,planning_status,control_status,bridge_status,perception_evidence,prediction_evidence,planning_evidence,control_evidence,bridge_evidence,source_perception_file,source_prediction_file,source_planning_file,source_control_trace_file,source_scb_file
202607171703,baseline,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=227.240,input=53; output=53; static_valid=53,stop_count=24; target_id=250; status_ok=1; primal_infeasible=223; speed_fallback=19; constant_deceleration_fallback=19; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=259.521; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\baseline\202607171703\log\perception.log.INFO.20260717-170128.398545,D:\data\baseline\202607171703\log\prediction.log.INFO.20260717-170122.398528,D:\data\baseline\202607171703\log\planning.log.INFO.20260717-170122.398540,D:\data\baseline\202607171703\trace\message_context\control.398542.csv,D:\data\baseline\202607171703\log\scb_control_delay_20260717170059_182057.csv
202607171706,baseline,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=235.850,input=52; output=52; static_valid=52,stop_count=21; target_id=17; status_ok=1; primal_infeasible=187; speed_fallback=35; constant_deceleration_fallback=35; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=262.261; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\baseline\202607171706\log\perception.log.INFO.20260717-170531.449410,D:\data\baseline\202607171706\log\prediction.log.INFO.20260717-170527.449365,D:\data\baseline\202607171706\log\planning.log.INFO.20260717-170527.449376,D:\data\baseline\202607171706\trace\message_context\control.449381.csv,D:\data\baseline\202607171706\log\scb_control_delay_20260717170504_090856.csv
202607171721,baseline,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=228.506,input=63; output=63; static_valid=63,stop_count=23; target_id=13; status_ok=1; primal_infeasible=211; speed_fallback=18; constant_deceleration_fallback=18; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=267.356; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\baseline\202607171721\log\perception.log.INFO.20260717-172029.633871,D:\data\baseline\202607171721\log\prediction.log.INFO.20260717-172026.633862,D:\data\baseline\202607171721\log\planning.log.INFO.20260717-172026.633866,D:\data\baseline\202607171721\trace\message_context\control.633868.csv,D:\data\baseline\202607171721\log\scb_control_delay_20260717172005_930750.csv
202607171726,baseline,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=241.912,input=51; output=51; static_valid=51,stop_count=24; target_id=12; status_ok=1; primal_infeasible=225; speed_fallback=19; constant_deceleration_fallback=19; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=272.668; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\baseline\202607171726\log\perception.log.INFO.20260717-172527.690616,D:\data\baseline\202607171726\log\prediction.log.INFO.20260717-172520.690607,D:\data\baseline\202607171726\log\planning.log.INFO.20260717-172521.690611,D:\data\baseline\202607171726\trace\message_context\control.690613.csv,D:\data\baseline\202607171726\log\scb_control_delay_20260717172500_598692.csv
202607171735,baseline,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=237.196,input=67; output=67; static_valid=67,stop_count=23; target_id=15; status_ok=1; primal_infeasible=207; speed_fallback=15; constant_deceleration_fallback=15; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=267.496; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\baseline\202607171735\log\perception.log.INFO.20260717-173350.811046,D:\data\baseline\202607171735\log\prediction.log.INFO.20260717-173342.811038,D:\data\baseline\202607171735\log\planning.log.INFO.20260717-173343.811042,D:\data\baseline\202607171735\trace\message_context\control.811044.csv,D:\data\baseline\202607171735\log\scb_control_delay_20260717173319_704830.csv
202607171738,baseline,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=248.413,input=65; output=65; static_valid=65,stop_count=20; target_id=15; status_ok=1; primal_infeasible=196; speed_fallback=23; constant_deceleration_fallback=23; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=270.483; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\baseline\202607171738\log\perception.log.INFO.20260717-173638.839282,D:\data\baseline\202607171738\log\prediction.log.INFO.20260717-173632.839205,D:\data\baseline\202607171738\log\planning.log.INFO.20260717-173633.839222,D:\data\baseline\202607171738\trace\message_context\control.839228.csv,D:\data\baseline\202607171738\log\scb_control_delay_20260717173609_387550.csv
202607181815,delay_100ms,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=294.165,input=70; output=70; static_valid=70,stop_count=23; target_id=18; status_ok=1; primal_infeasible=229; speed_fallback=19; constant_deceleration_fallback=19; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=326.908; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\100ms\202607181815\log\perception.log.INFO.20260718-181305.61806,D:\data\100ms\202607181815\log\prediction.log.INFO.20260718-181258.61721,D:\data\100ms\202607181815\log\planning.log.INFO.20260718-181259.61732,D:\data\100ms\202607181815\trace\message_context\control.61737.csv,D:\data\100ms\202607181815\log\scb_control_delay_20260718181238_626853.csv
202607181818,delay_100ms,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=255.273,input=52; output=52; static_valid=52,stop_count=24; target_id=12; status_ok=1; primal_infeasible=167; speed_fallback=34; constant_deceleration_fallback=34; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=297.835; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\100ms\202607181818\log\perception.log.INFO.20260718-181651.98652,D:\data\100ms\202607181818\log\prediction.log.INFO.20260718-181643.98607,D:\data\100ms\202607181818\log\planning.log.INFO.20260718-181643.98619,D:\data\100ms\202607181818\trace\message_context\control.98624.csv,D:\data\100ms\202607181818\log\scb_control_delay_20260718181620_407815.csv
202607181844,delay_100ms,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=240.063,input=54; output=54; static_valid=54,stop_count=24; target_id=14; status_ok=1; primal_infeasible=224; speed_fallback=19; constant_deceleration_fallback=19; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=265.654; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\100ms\202607181844\log\perception.log.INFO.20260718-184341.6113,D:\data\100ms\202607181844\log\prediction.log.INFO.20260718-184337.6085,D:\data\100ms\202607181844\log\planning.log.INFO.20260718-184337.6089,D:\data\100ms\202607181844\trace\message_context\control.6091.csv,D:\data\100ms\202607181844\log\scb_control_delay_20260718184314_084417.csv
202607181854,delay_100ms,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=270.185,input=43; output=43; static_valid=43,stop_count=23; target_id=11; status_ok=1; primal_infeasible=233; speed_fallback=23; constant_deceleration_fallback=23; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=294.712; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\100ms\202607181854\log\perception.log.INFO.20260718-185132.100650,D:\data\100ms\202607181854\log\prediction.log.INFO.20260718-185125.100640,D:\data\100ms\202607181854\log\planning.log.INFO.20260718-185126.100644,D:\data\100ms\202607181854\trace\message_context\control.100646.csv,D:\data\100ms\202607181854\log\scb_control_delay_20260718185102_211620.csv
202607181955,delay_100ms,PASS,PASS,PASS,PASS,PASS,stable_frames=3; target_latency_ms=241.874,input=69; output=69; static_valid=69,stop_count=23; target_id=13; status_ok=1; primal_infeasible=169; speed_fallback=33; constant_deceleration_fallback=33; infeasible speed solution followed by fallback is treated as the expected planning response,target_trace_control_output_ms=281.732; command payload not archived; physical_after_control=True,scb_present=True; statuses=BRIDGE_CONFIG_LOADED|INITIALIZED|APPLIED,D:\data\100ms\202607181955\log\perception.log.INFO.20260718-195404.189962,D:\data\100ms\202607181955\log\prediction.log.INFO.20260718-195357.189934,D:\data\100ms\202607181955\log\planning.log.INFO.20260718-195357.189938,D:\data\100ms\202607181955\trace\message_context\control.189940.csv,D:\data\100ms\202607181955\log\scb_control_delay_20260718195337_451247.csv
