group_name,nominal_injected_delay_ms,run_id,run_directory,file_count,total_size_bytes,collect_time_present,localization_present,perception_present,prediction_present,planning_present,control_trace_present,scb_delay_evidence_present,collision_event_present,actor_history_present,data_start_epoch_s,data_end_epoch_s,duration_s,collision_recorded,target_id,data_integrity_status,initial_anomaly_notes
baseline,0.0,202607171703,D:\data\baseline\202607171703,32,175804718,True,True,True,True,True,True,True,False,False,1784278992.0,1784279056.0,64.0,False,250,COMPLETE,
baseline,0.0,202607171706,D:\data\baseline\202607171706,32,163199795,True,True,True,True,True,True,True,False,False,1784279213.0,1784279275.0,62.0,False,17,COMPLETE,
baseline,0.0,202607171721,D:\data\baseline\202607171721,32,137472317,True,True,True,True,True,True,True,False,False,1784280101.0,1784280154.0,53.0,False,13,COMPLETE,
baseline,0.0,202607171726,D:\data\baseline\202607171726,32,139263589,True,True,True,True,True,True,True,False,False,1784280400.0,1784280451.0,51.0,False,12,COMPLETE,
baseline,0.0,202607171735,D:\data\baseline\202607171735,32,127124845,True,True,True,True,True,True,True,False,False,1784280907.0,1784280955.0,48.0,False,15,COMPLETE,
baseline,0.0,202607171738,D:\data\baseline\202607171738,32,133644079,True,True,True,True,True,True,True,False,False,1784281081.0,1784281130.0,49.0,False,15,COMPLETE,
delay_100ms,100.0,202607181815,D:\data\100ms\202607181815,32,132196363,True,True,True,True,True,True,True,False,False,1784369722.0,1784369770.0,48.0,False,18,COMPLETE,
delay_100ms,100.0,202607181818,D:\data\100ms\202607181818,32,152013534,True,True,True,True,True,True,True,False,False,1784369893.0,1784369949.0,56.0,False,12,COMPLETE,
delay_100ms,100.0,202607181844,D:\data\100ms\202607181844,32,126975179,True,True,True,True,True,True,True,False,False,1784371482.0,1784371528.0,46.0,False,14,COMPLETE,
delay_100ms,100.0,202607181854,D:\data\100ms\202607181854,32,112600030,True,True,True,True,True,True,True,False,False,1784372053.0,1784372096.0,43.0,False,11,COMPLETE,
delay_100ms,100.0,202607181955,D:\data\100ms\202607181955,32,144617367,True,True,True,True,True,True,True,False,False,1784375702.0,1784375755.0,53.0,False,13,COMPLETE,
delay_100ms,100.0,202607181958,D:\data\100ms\202607181958,31,70226356,True,True,True,True,True,True,False,False,False,1784375891.0,1784375920.0,29.0,False,14,PARTIAL_INJECTION_UNVERIFIED,SCB_EVIDENCE_MISSING
delay_300ms,300.0,202607182007,D:\data\300ms\202607182007,31,416615798,True,True,True,True,True,True,False,False,False,1784376431.0,1784376597.0,166.0,False,40,PARTIAL_INJECTION_UNVERIFIED,SCB_EVIDENCE_MISSING
delay_300ms,300.0,202607182012,D:\data\300ms\202607182012,32,132513769,True,True,True,True,True,True,True,False,False,1784376771.0,1784376818.0,47.0,False,14,COMPLETE,
delay_300ms,300.0,202607182017,D:\data\300ms\202607182017,31,113314588,True,True,True,True,True,True,False,False,False,1784377037.0,1784377077.0,40.0,False,19,PARTIAL_INJECTION_UNVERIFIED,SCB_EVIDENCE_MISSING
delay_300ms,300.0,202607182021,D:\data\300ms\202607182021,31,115488482,True,True,True,True,True,True,False,False,False,1784377295.0,1784377337.0,42.0,False,34,PARTIAL_INJECTION_UNVERIFIED,SCB_EVIDENCE_MISSING
delay_300ms,300.0,202607182026,D:\data\300ms\202607182026,31,33829386,True,True,True,True,True,True,False,False,False,1784377586.0,1784377599.0,13.0,False,19,PARTIAL_INJECTION_UNVERIFIED,SCB_EVIDENCE_MISSING
delay_300ms,300.0,202607182029,D:\data\300ms\202607182029,31,151342000,True,True,True,True,True,True,False,False,False,1784377753.0,1784377808.0,55.0,False,21,PARTIAL_INJECTION_UNVERIFIED,SCB_EVIDENCE_MISSING
delay_400ms,400.0,202607191727,D:\data\400ms\202607191727,35,375912878,True,True,True,True,True,True,True,True,True,1784453257.0,1784453398.0,141.0,True,55,COMPLETE,
delay_400ms,400.0,202607191734,D:\data\400ms\202607191734,32,220951052,True,True,True,True,True,True,True,False,False,1784453695.0,1784453772.0,77.0,False,39,COMPLETE,
delay_400ms,400.0,202607191739,D:\data\400ms\202607191739,35,41946867,True,True,True,True,True,True,True,True,True,1784453987.0,1784454011.0,24.0,True,3,COMPLETE,
delay_400ms,400.0,202607201555,D:\data\400ms\202607201555,32,102480602,True,True,True,True,True,True,True,False,False,1784534151.0,1784534211.0,60.0,False,29,COMPLETE,
delay_400ms,400.0,202607201611,D:\data\400ms\202607201611,35,216191832,True,True,True,True,True,True,True,True,True,1784535117.0,1784535199.0,82.0,True,44,COMPLETE,
