run_id,group_name,carla_target_actor_id,apollo_obstacle_id_sequence,id_switch_count,id_switch_times_s,position_error_median_m,position_error_max_m,velocity_consistent,type_consistent,target_chain_broken,confidence,conclusion,source_file,matched_frame_count
202607171703,baseline,,"[""250""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\baseline\202607171703\log\perception.log.INFO.20260717-170128.398545,
202607171706,baseline,,"[""17""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\baseline\202607171706\log\perception.log.INFO.20260717-170531.449410,
202607171721,baseline,,"[""13""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\baseline\202607171721\log\perception.log.INFO.20260717-172029.633871,
202607171726,baseline,,"[""12""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\baseline\202607171726\log\perception.log.INFO.20260717-172527.690616,
202607171735,baseline,,"[""15""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\baseline\202607171735\log\perception.log.INFO.20260717-173350.811046,
202607171738,baseline,,"[""15""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\baseline\202607171738\log\perception.log.INFO.20260717-173638.839282,
202607181815,delay_100ms,,"[""18""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\100ms\202607181815\log\perception.log.INFO.20260718-181305.61806,
202607181818,delay_100ms,,"[""12""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\100ms\202607181818\log\perception.log.INFO.20260718-181651.98652,
202607181844,delay_100ms,,"[""14""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\100ms\202607181844\log\perception.log.INFO.20260718-184341.6113,
202607181854,delay_100ms,,"[""11""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\100ms\202607181854\log\perception.log.INFO.20260718-185132.100650,
202607181955,delay_100ms,,"[""13""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\100ms\202607181955\log\perception.log.INFO.20260718-195404.189962,
202607181958,delay_100ms,,"[""14""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\100ms\202607181958\log\perception.log.INFO.20260718-195640.214015,
202607182007,delay_300ms,,"[""40""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\300ms\202607182007\log\perception.log.INFO.20260718-200600.288898,
202607182012,delay_300ms,,"[""14""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\300ms\202607182012\log\perception.log.INFO.20260718-201143.338692,
202607182017,delay_300ms,,"[""19""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\300ms\202607182017\log\perception.log.INFO.20260718-201451.379806,
202607182021,delay_300ms,,"[""34""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\300ms\202607182021\log\perception.log.INFO.20260718-201910.429820,
202607182026,delay_300ms,,"[""19""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\300ms\202607182026\log\perception.log.INFO.20260718-202435.493217,
202607182029,delay_300ms,,"[""21""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\300ms\202607182029\log\perception.log.INFO.20260718-202731.521704,
202607191727,delay_400ms,155,"[""55""]",0,[],1.4663089592321183,1.865072215342621,True,True,False,HIGH,CARLA碰撞目标history经y轴转换后与Apollo Fusion目标多帧匹配,D:\data\400ms\202607191727\log\carla_collision_actor_history_20260719172951.csv,23
202607191734,delay_400ms,,"[""39""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\400ms\202607191734\log\perception.log.INFO.20260719-173232.2353098,
202607191739,delay_400ms,155,"[""3""]",0,[],1.611957947804352,2.0401954525128754,True,True,False,HIGH,CARLA碰撞目标history经y轴转换后与Apollo Fusion目标多帧匹配,D:\data\400ms\202607191739\log\carla_collision_actor_history_20260719174003.csv,19
202607201555,delay_400ms,,"[""29""]",0,[],,,,,False,MEDIUM_HIGH,Planning STOP目标与静态连续Fusion目标一致,D:\data\400ms\202607201555\log\perception.log.INFO.20260720-155211.107034,
202607201611,delay_400ms,155,"[""44""]",0,[],1.4560546225066502,1.747158006528706,True,True,False,HIGH,CARLA碰撞目标history经y轴转换后与Apollo Fusion目标多帧匹配,D:\data\400ms\202607201611\log\carla_collision_actor_history_20260720161312.csv,22
