group_name,nominal_injected_delay_ms,run_id,included_main_analysis,analysis_status,outcome_data_observed,collision_event_data_observed,impact_speed_data_observed_mps,target_id,t1_wall_s,t2_wall_s,T_e2e_data_observed_ms,v1_data_observed_mps,v2_data_observed_mps,D1_center_data_observed_m,D1_clear_data_observed_m,D_delay_wall_integral_data_observed_m,D2_clear_data_observed_m,D2_clear_direct_diagnostic_m,D_brake_data_observed_m,D_brake_path_integral_diagnostic_m,D_brake_near_stop_data_observed_m,D_brake_strict_stop_data_observed_m,D_brake_truncated_to_collision_data_observed_m,M_collision_0m_data_observed_m,M_safety_6m_data_observed_m,T_deadline_collision_0m_data_observed_ms,T_deadline_safety_6m_data_observed_ms,deadline_collision_minus_observed_ms,deadline_safety_minus_observed_ms,final_clearance_projected_data_observed_m,sensor_to_fusion_ms,fusion_to_prediction_ms,prediction_to_planning_stop_ms,planning_stop_to_control_ms,control_to_t2_ms,sensor_to_control_ms,scb_requested_delay_ms,scb_actual_wall_delay_ms,scb_actual_frame_delay,scb_lifecycle_complete,scb_trigger_relative_t1_s,planning_stop_count,planning_empty_trajectory_count,planning_primal_infeasible_count,planning_speed_fallback_count,control_payload_archived,clock_alignment_status,clock_alignment_p95_residual_ms,source_localization_file,source_perception_file,source_collision_file,ground_output_count,detection_output_count,ground_detection_matched_count,ground_detection_completion_ratio,ground_to_detection_queue_median_ms,ground_to_detection_process_median_ms,ground_to_detection_total_median_ms,ground_to_detection_total_p90_ms,target_observation_count,target_gap_max_ms,target_gap_p90_ms,target_lifecycle_median_ms,target_lifecycle_p90_ms,target_lifecycle_max_ms,target_source_age_at_outcome_ms
baseline,0.0,202607271031,True,ANALYZED,safe_stop,False,,14,1785119531.831306,1785119532.130961,299.6549606323242,15.623173104457399,15.448675799688356,45.19858968607217,39.89118968607217,4.673487170470926,35.21770251560124,35.21210742237875,29.88004233512493,30.10028682927811,25.72956786466294,,,5.337660180476309,-0.6623398195236909,640.7883522772328,256.7434492422559,341.13339164490856,-42.91151139006831,5.330545115507051,208.3151340484619,3.8765779515380814,16.17823924816895,12.907424751831059,58.377584632324215,241.277376,0.0,19.282224,0.0,True,-6.346738576889038,24,0,59,18,False,LIMITED_NO_DUAL_CLOCK_HISTORY,,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/localization.log.INFO.20260727-102803.5453,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/perception.log.INFO.20260727-102810.5491,,293,294,293,1.0,0.133376,88.238784,89.588928,97.8736896,110,117.22302436828613,112.52484321594238,207.12637901306152,221.1761236190796,228.3918857574463,299.96514320373535
baseline,0.0,202607271048,True,ANALYZED,safe_stop,False,,12,1785120539.235663,1785120539.536021,300.3580570220947,17.290539174968313,17.53282904191547,44.05138321009477,38.74398321009477,5.25441554093497,33.4895676691598,33.48925290655825,30.01877001652626,30.1491015912053,29.84308546324276,30.015629653974404,,3.470797652633536,-2.529202347366464,504.6235461644878,157.61296776180495,204.26548914239305,-142.74508926028977,3.471413365113455,234.97915267944336,10.123447320556636,16.271396734619145,22.42818726538087,16.555873022094715,283.802184,0.0,0.08511,0.0,True,-21.486392736434937,27,0,55,29,False,LIMITED_NO_DUAL_CLOCK_HISTORY,,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/localization.log.INFO.20260727-104620.122662,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/perception.log.INFO.20260727-104627.122675,,365,358,357,0.9780821917808219,0.142528,92.612704,94.526688,109.24456959999999,27,112.50185966491699,109.17496681213379,236.9518280029297,243.52083206176758,247.55001068115234,2799.8430728912354
baseline,0.0,202607271054,True,ANALYZED,safe_stop,False,,10,1785120896.447725,1785120896.747702,299.9768257141113,17.774502340040492,17.889392506895543,44.938939419332876,39.631539419332874,5.3671294775498595,34.264409941783015,34.26099690835516,31.524737596105762,31.603975234616513,31.524075261205002,,,2.7396723456772527,-3.2603276543227473,456.0916344175206,118.52944082046872,156.11480870340927,-181.4473848936426,2.738100501681802,227.21195220947266,3.7493677905273444,12.828591270141601,17.96292872985839,38.223985714111336,261.75284,0.0,0.069502,0.0,True,-21.317868947982788,27,0,71,27,False,LIMITED_NO_DUAL_CLOCK_HISTORY,,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/localization.log.INFO.20260727-105117.176834,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/perception.log.INFO.20260727-105124.176848,,342,334,333,0.9736842105263158,0.159328,93.13952,96.157472,108.8609792,27,116.79315567016602,112.93840408325195,235.65912246704102,257.22012519836426,264.96100425720215,500.0169277191162
baseline,0.0,202607271059,True,ANALYZED,safe_stop,False,,9,1785121209.519968,1785121209.919718,399.7499942779541,17.212188241491454,17.613807792308506,45.46227249928844,40.15487249928844,7.005683189973678,33.14918930931476,33.137085130937784,30.403186921446377,30.492900703625942,30.403186921446377,,,2.74600238786838,-3.25399761213162,566.5569909545137,217.96679917770717,166.8069966765596,-181.78319510024693,2.7350990041317376,268.6290740966797,5.315517903320313,13.800406931884766,16.06848906811524,95.9365062779541,303.813488,0.0,0.067998,0.0,True,-5.532081365585327,27,0,115,28,False,LIMITED_NO_DUAL_CLOCK_HISTORY,,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/localization.log.INFO.20260727-105737.231932,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/perception.log.INFO.20260727-105743.231975,,543,531,530,0.9760589318600368,0.14223999999999998,90.987696,93.08633599999999,108.39832960000001,28,117.523193359375,107.13715553283691,237.7614974975586,265.1468753814697,268.6290740966797,399.79100227355957
baseline,0.0,202607271104,True,ANALYZED,safe_stop,False,,11,1785121482.765552,1785121483.165198,399.6460437774658,17.062364098393616,17.17909294643764,44.09101695724761,38.78361695724761,6.935600898780944,31.848016058466666,31.833966843430773,27.87996053113957,27.983891693644537,27.847820926518978,27.847820926518978,,3.9680555273270954,-2.0319444726729046,639.0472248294475,287.3960723045235,239.40118105198167,-112.24997147294232,3.9547812755777914,251.64794921875,3.1923787812499995,6.737516619750977,10.004627380249019,128.06357177746582,271.582472,0.0,0.067633,0.0,True,-20.997764110565186,26,0,88,29,False,LIMITED_NO_DUAL_CLOCK_HISTORY,,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/localization.log.INFO.20260727-110232.286141,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/perception.log.INFO.20260727-110240.286153,,396,383,383,0.9671717171717171,0.14464,92.399488,95.68352,116.38922880000001,31,297.60193824768066,137.46571540832528,238.55090141296387,250.7171630859375,257.0221424102783,399.6150493621826
baseline,0.0,202607271108,True,ANALYZED,safe_stop,False,,11,1785121755.992713,1785121756.293354,300.6410598754883,17.431302629246872,17.58500813540814,44.066885813684564,38.75948581368456,5.284453642764105,33.47503217092046,33.48108832415969,29.962679853465307,30.05310310741634,29.962679853465307,,,3.51235231745515,-2.48764768254485,504.6556845074593,160.44732970940868,204.014624631971,-140.1937301660796,3.519517532224179,235.99791526794434,5.111112732055659,8.044109207031255,15.681362792968741,35.80655987548829,264.8345,0.0,0.091174,0.0,True,-21.69580912590027,28,0,46,28,False,LIMITED_NO_DUAL_CLOCK_HISTORY,,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/localization.log.INFO.20260727-110701.340102,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/perception.log.INFO.20260727-110708.340114,,255,248,247,0.9686274509803922,0.823968,93.8432,98.171008,126.676832,28,113.37804794311523,110.20851135253906,258.6015462875366,279.01222705841064,279.8340320587158,300.1070022583008
baseline,0.0,202607271113,True,ANALYZED,safe_stop,False,,12,1785122030.296692,1785122030.596488,299.79610443115234,17.215204788564396,17.504769327013804,44.124890658471934,38.81749065847193,5.2312645659572246,33.58622609251471,33.5753162943283,30.235574267164203,30.352751023292043,30.235574267164203,,,3.3506518253505035,-2.6493481746494965,498.50794670816043,149.9788369071756,198.7118422770081,-149.81726752397674,3.340675579312559,227.74600982666016,11.984406173339835,11.566581070312509,14.103914929687505,34.39519243115234,265.400912,0.0,0.067197,0.0,True,-21.104530572891235,27,0,63,28,False,LIMITED_NO_DUAL_CLOCK_HISTORY,,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/localization.log.INFO.20260727-111139.394230,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/perception.log.INFO.20260727-111146.394244,,534,523,522,0.9775280898876404,0.129632,90.410672,91.44707199999999,107.62161280000001,28,285.7990264892578,115.5277729034424,224.3136167526245,236.19370460510254,242.3698902130127,299.6969223022461
delay_300ms,300.0,202607271131,True,ANALYZED,collision,True,7.988017222183252,11,1785123121.945625,1785123122.745261,799.6358871459961,16.080189309222355,17.50269243214682,43.565605668761776,38.258205668761775,13.432027958524642,24.826177710237133,24.809866303977937,,,,,27.148355416248187,,,,,,,,292.88482666015625,4.04891733984374,8.056070758300791,8.609529241699192,486.0365431459961,313.599344,300.0,300.046735,3.0,True,-25.99726676940918,20,0,30,20,False,ALIGNED,0.6614327430725098,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/localization.log.INFO.20260727-112935.475992,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/perception.log.INFO.20260727-112942.476004,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/carla_collision_events_20260727113204.csv,361,353,352,0.9750692520775623,0.141536,92.236032,94.995728,142.1089088,20,507.43889808654785,106.58259391784668,298.7794876098633,344.0122604370123,705.8918476104736,1006.8919658660889
delay_300ms,300.0,202607271202,True,ANALYZED,safe_stop,False,,15,1785124951.594938,1785124952.294093,699.1548538208008,16.405255054323614,16.95918190379224,44.923895851179886,39.616495851179884,11.749044628602803,27.86745122257708,27.848108016147094,27.31945200879674,27.38721290201778,27.317221652405422,27.317221652405422,,0.54799921378034,-5.45200078621966,749.5795586026107,383.84309305350024,50.424704781809965,-315.31176076730054,0.5294144288287379,263.5200023651123,3.9561576348876883,10.387819339599616,12.485716660400385,408.8051578208008,290.349696,300.0,300.317662,3.0,True,-22.999050855636597,26,0,44,26,False,LIMITED_NO_DUAL_CLOCK_HISTORY,,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/localization.log.INFO.20260727-120037.597370,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/perception.log.INFO.20260727-120044.597402,,288,281,280,0.9722222222222222,0.1336,92.131856,94.17968,110.0036928,26,188.02809715270996,115.0308132171631,245.09644508361816,261.5225315093994,263.5200023651123,898.7910747528076
delay_300ms,300.0,202607271206,False,ANALYZED,uncertain_geometry_event_conflict,False,,10,1785125227.718962,1785125228.519715,800.753116607666,16.80667764748048,17.151630856185957,45.097258291702616,39.789858291702615,13.74109871705313,26.048759574649484,26.056730855709556,27.684571965629623,27.796326770262475,27.666631827199293,27.684481557714566,,-1.6358123909801385,-7.6358123909801385,720.2664666974033,363.26550994379585,-80.48664991026271,-437.48760666387017,-1.6272597310971806,308.37202072143555,10.18813127856447,7.944793755004866,11.912518244995113,462.335652607666,338.417464,300.0,300.072552,3.0,True,-23.61129093170166,23,0,61,24,False,LIMITED_NO_DUAL_CLOCK_HISTORY,,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271206/log/localization.log.INFO.20260727-120456.657888,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271206/log/perception.log.INFO.20260727-120504.657901,,457,445,444,0.9715536105032823,0.12540800000000002,91.354672,92.363328,154.60341439999993,23,112.78891563415527,104.97748851776123,313.30299377441406,320.62745094299316,323.9879608154297,2399.3470668792725
delay_300ms,300.0,202607271211,True,ANALYZED,safe_stop,False,,12,1785125509.980791,1785125510.680958,700.1669406890869,16.840252260670148,17.06354072506548,45.50926447880783,40.20186447880783,11.999340611264754,28.20252386754307,28.20097859700705,27.184529960214114,27.27048080856075,27.182841827095487,,,1.0179939073289574,-4.9820060926710426,772.989282885938,416.7000832275219,72.82234219685108,-283.46685746156504,1.0174726252517186,261.78693771362305,4.141950286376982,11.957025848876924,14.71427015112306,407.5667566890869,292.600184,300.0,300.147747,3.0,True,-23.021178722381592,27,0,44,27,False,LIMITED_NO_DUAL_CLOCK_HISTORY,,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/localization.log.INFO.20260727-120934.719143,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/perception.log.INFO.20260727-120942.719157,,268,261,260,0.9701492537313433,0.128448,92.292416,94.404368,110.565632,27,188.25411796569824,110.34059524536133,245.38588523864746,257.07077980041504,262.4838352203369,699.8908519744873
delay_300ms,300.0,202607271643,True,ANALYZED,collision,True,11.727517297502267,6,1785141848.854508,1785141849.748378,893.8701152801514,16.06976442378477,17.964115264485592,41.9584692137721,36.6510692137721,15.450549919780315,21.200519293991782,21.088648678177574,,,,,23.377873003437525,,,,,,,,319.28515434265137,6.690709657348634,8.633167677246092,18.005072322753904,541.2560112801514,352.614104,300.0,300.099534,3.0,True,-22.23678493499756,20,0,40,21,False,ALIGNED,0.7202029228210449,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/localization.log.INFO.20260727-164121.1218450,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/perception.log.INFO.20260727-164129.1218462,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/carla_collision_events_20260727164411.csv,294,286,285,0.9693877551020408,0.12256,91.93664,92.997856,152.8921536,20,115.9060001373291,99.0790843963623,305.69958686828613,319.3890333175659,322.2689628601074,599.6675491333008
