id,category,readiness,archived_path,source_path,sha256
apollo_perf_sched_collector,collection,environment_bound,collection/apollo_perf_sched_collector.py,202608251619/perf_run_01/collector_script_used.py,1F0C70F19EC5B20C15EA9566639DE41393554FB500D1B1F887B3B8D0184F2A7D
start_collect,collection,environment_bound_missing_companion,collection/start_collect.sh,start_collect.sh,2C611DDA8002799F2E160608BF302A8C8208ED2E76239A55DB43C23F4D10CA2D
copy_carla_log,collection,environment_bound,collection/copy_carla_log.sh,copy_carla_log.sh,BAEAFDA2EAD54DD89457340F393F4A1BAA0D93603352D71F0DFA17C016DF7E3F
analyze_perception_realtime,perception,ready,perception/analyze_perception_realtime.py,reusable_scripts/perception/analyze_perception_realtime.py,32B7F7D7AC55FCBC545CE80C3F32019C2FAB50980ACA36B9DFD1A3C0AB5094FB
plot_perception_critical_path_gantt,perception,ready,perception/plot_perception_critical_path_gantt.py,output/202608251619_perception_p4_framewise/scripts/plot_perception_critical_path_gantt.py,73581F934B62F652CC9341B01B35E82B11970F67C24CB3604E81D87E0C06417B
collision_case_classifier,collision,ready,collision/collision_case_classifier.py,202607031503/tools/collision_case_classifier.py,D701E66DAABA1F820F1E28394B63C29DDCDA2080A47F2C27AB74ABE8CC811577
realtime_collision_core,collision,library,collision/realtime_collision_core.py,realtime_defect_report/scripts/vendor/realtime_collision_analysis/src/realtime_collision_core.py,E0BE252728D0E0C9D196D38E631515EE8561373AE9190D32BA7147C9E306AC1D
test_realtime_collision_core,collision,test,collision/tests/test_realtime_collision_core.py,realtime_defect_report/scripts/vendor/realtime_collision_analysis/tests/test_realtime_collision_core.py,D38DC25070572D3584D0501468168B38AD505F5ACB2C1C81D385B75240C4BA0C
inspect_docx,documents,ready,documents/inspect_docx.py,output/apollo_v5_dingtalk_conversion/inspect_docx.py,3E8CA40021085A62AADDF0C2EEA725FAB647342622713DC6741459CF7EAD3781
make_contact_sheets,documents,template,documents/make_contact_sheets.py,tmp/pdfs/perception_realtime/make_contact_sheets.py,4396EDEA1F2E2FCE15CA5EE132F2630AC957B0F3C7FEBD5DAEB6FCA8AB550529
extract_perf_sched_frame_windows,scheduler,ready,scheduler/extract_perf_sched_frame_windows.py,reusable_scripts/scheduler/extract_perf_sched_frame_windows.py,DBBB9B03F8F606469E5872532E06EF09D56AFE8B0FB2F95FE15C20972AF538EE
analyze_perf_sched_infer_frames,scheduler,ready,scheduler/analyze_perf_sched_infer_frames.py,reusable_scripts/scheduler/analyze_perf_sched_infer_frames.py,40AEACBAFCE430F63107F97478C2C85D109A3A7198054E425C0E397A0D1A09AF
