role,actor_id,actor_type,role_name,carla_frame,carla_timestamp_sec,wall_time_unix_ns,wall_time_iso,location_x,location_y,location_z,rotation_yaw,velocity_x,velocity_y,velocity_z
ego,147,vehicle.lincoln.mkz_2017,hero,1516,152.02657407615334,1785123109345316319,2026-07-27T11:31:49.345316319+08:00,-476.5706481933594,51.84686279296875,0.03379625082015991,-51.37331008911133,3.8258237838745117,-4.583940505981445,1.1062621751989354e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1517,152.12657407764345,1785123109444905016,2026-07-27T11:31:49.444905016+08:00,-476.1858215332031,51.38418197631836,0.033811893314123154,-50.839012145996094,3.8953542709350586,-4.57407808303833,-1.3923644246460753e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1518,152.22657407913357,1785123109545350255,2026-07-27T11:31:49.545350255+08:00,-475.79437255859375,50.92290115356445,0.03383077681064606,-50.2857780456543,3.959670066833496,-4.555002212524414,1.449584942747606e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1519,152.3265740806237,1785123109645938758,2026-07-27T11:31:49.645938758+08:00,-475.3970642089844,50.46383285522461,0.03385145217180252,-49.721923828125,4.016587257385254,-4.528750419616699,1.1062621751989354e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1520,152.4265740821138,1785123109745382119,2026-07-27T11:31:49.745382119+08:00,-474.994140625,50.007957458496094,0.03387289121747017,-49.1418342590332,4.071408748626709,-4.491407871246338,-4.863738922722405e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1521,152.52657408360392,1785123109845282418,2026-07-27T11:31:49.845282418+08:00,-474.58624267578125,49.55587387084961,0.03389310836791992,-48.55613708496094,4.117331027984619,-4.4511518478393555,-2.7751921152230352e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1522,152.62657408509403,1785123109944909424,2026-07-27T11:31:49.944909424+08:00,-474.1739807128906,49.10796356201172,0.03391031175851822,-47.97677993774414,4.15841007232666,-4.408881664276123,-7.24792471373803e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1523,152.72657408658415,1785123110044773517,2026-07-27T11:31:50.044773517+08:00,-473.7577209472656,48.6642951965332,0.03392160311341286,-47.408878326416016,4.1971354484558105,-4.366932392120361,1.039505036715127e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1524,152.82657408807427,1785123110145191345,2026-07-27T11:31:50.145191345+08:00,-473.3372802734375,48.22502899169922,0.03392869979143143,-46.84415817260742,4.237545013427734,-4.322035312652588,-2.4700163976376643e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1525,152.92657408956438,1785123110244911510,2026-07-27T11:31:50.244911510+08:00,-472.91302490234375,47.78999328613281,0.03393171355128288,-46.290382385253906,4.274056911468506,-4.2815022468566895,-1.430511474609375e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1526,153.0265740910545,1785123110345041967,2026-07-27T11:31:50.345041967+08:00,-472.48492431640625,47.35898208618164,0.03393178805708885,-45.753318786621094,4.3104047775268555,-4.24338960647583,8.010864007701457e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1527,153.12657409254462,1785123110445219618,2026-07-27T11:31:50.445219618+08:00,-472.0530090332031,46.931697845458984,0.03392892703413963,-45.23268127441406,4.347492694854736,-4.208178520202637,-9.72747784544481e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1528,153.22657409403473,1785123110544761314,2026-07-27T11:31:50.544761314+08:00,-471.6171875,46.50782012939453,0.03392332047224045,-44.72882843017578,4.385446548461914,-4.176642417907715,-1.983642505365424e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1529,153.32657409552485,1785123110645160597,2026-07-27T11:31:50.645160597+08:00,-471.17730712890625,46.08702087402344,0.03391645476222038,-44.2401237487793,4.425389289855957,-4.148049354553223,2.8038023174303817e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1530,153.42657409701496,1785123110744914232,2026-07-27T11:31:50.744914232+08:00,-470.7330017089844,45.66928482055664,0.03390844166278839,-43.74834442138672,4.4724907875061035,-4.116774082183838,2.1076202756376006e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1531,153.52657409850508,1785123110844843661,2026-07-27T11:31:50.844843661+08:00,-470.2840270996094,45.25436782836914,0.03389989957213402,-43.253456115722656,4.520294189453125,-4.089994430541992,7.915496667010302e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1532,153.6265740999952,1785123110945215289,2026-07-27T11:31:50.945215289+08:00,-469.8299865722656,44.84204864501953,0.03389104828238487,-42.75697326660156,4.571364879608154,-4.064538955688477,9.250640573554847e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1533,153.7265741014853,1785123111044848398,2026-07-27T11:31:51.044848398+08:00,-469.37066650390625,44.43223190307617,0.033882349729537964,-42.25505447387695,4.6259260177612305,-4.039614677429199,1.6307830037476378e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1534,153.82657410297543,1785123111144872282,2026-07-27T11:31:51.144872282+08:00,-468.9056396484375,44.024784088134766,0.033873651176691055,-41.74666213989258,4.683497428894043,-4.016124248504639,-2.0599363779183477e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1535,153.92657410446554,1785123111244863816,2026-07-27T11:31:51.244863816+08:00,-468.4347229003906,43.61958312988281,0.033865030854940414,-41.230751037597656,4.744635105133057,-3.993546724319458,-4.863738922722405e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1536,154.02657410595566,1785123111345149047,2026-07-27T11:31:51.345149047+08:00,-467.9576110839844,43.216575622558594,0.03385667875409126,-40.70665740966797,4.808526992797852,-3.9714467525482178,-1.8692015828492003e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1537,154.12657410744578,1785123111444876589,2026-07-27T11:31:51.444876589+08:00,-467.4739685058594,42.81571578979492,0.03384961932897568,-40.17498016357422,4.874417781829834,-3.94950532913208,-2.288818308215923e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1538,154.2265741089359,1785123111544808744,2026-07-27T11:31:51.544808744+08:00,-466.9836730957031,42.417030334472656,0.03384370729327202,-39.63600158691406,4.941930294036865,-3.9270761013031006,2.5558470042597037e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1539,154.326574110426,1785123111644782057,2026-07-27T11:31:51.644782057+08:00,-466.4866943359375,42.02042007446289,0.03383916616439819,-39.09922409057617,5.007905960083008,-3.907363176345825,1.2493132999225054e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1540,154.42657411191612,1785123111745274304,2026-07-27T11:31:51.745274304+08:00,-465.9830322265625,41.62596893310547,0.03383680433034897,-38.56281280517578,5.074658393859863,-3.884228229522705,1.1920928955078125e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1541,154.52657411340624,1785123111845081792,2026-07-27T11:31:51.845081792+08:00,-465.47271728515625,41.233978271484375,0.03383733704686165,-38.02323532104492,5.140379428863525,-3.8587160110473633,-4.2915343101412873e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1542,154.62657411489636,1785123111945162065,2026-07-27T11:31:51.945162065+08:00,-464.9559020996094,40.8446159362793,0.033839281648397446,-37.48102951049805,5.204474449157715,-3.8311424255371094,-1.2969970839549205e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1543,154.72657411638647,1785123112044852387,2026-07-27T11:31:52.044852387+08:00,-464.4327087402344,40.45817184448242,0.033843133598566055,-36.93553161621094,5.266918659210205,-3.800541400909424,-2.2888182229507947e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1544,154.8265741178766,1785123112144867155,2026-07-27T11:31:52.144867155+08:00,-463.9033508300781,40.07490158081055,0.03384702652692795,-36.38506317138672,5.32865047454834,-3.767381429672241,4.577636616431846e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1545,154.9265741193667,1785123112245763174,2026-07-27T11:31:52.245763174+08:00,-463.3678283691406,39.69504928588867,0.03385118395090103,-35.828826904296875,5.389147758483887,-3.731691837310791,-2.632141104186303e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1546,155.02657412085682,1785123112345429264,2026-07-27T11:31:52.345429264+08:00,-462.826171875,39.31913375854492,0.033855076879262924,-35.252872467041016,5.452610969543457,-3.688321828842163,1.2493132999225054e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1547,155.12657412234694,1785123112445527824,2026-07-27T11:31:52.445527824+08:00,-462.2783203125,38.94731903076172,0.033857669681310654,-34.6621208190918,5.514076232910156,-3.6463820934295654,-2.4127959932229714e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1548,155.22657412383705,1785123112545456552,2026-07-27T11:31:52.545456552+08:00,-461.724365234375,38.57970428466797,0.03385953977704048,-34.06407165527344,5.575109004974365,-3.603255033493042,6.866454782539222e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1549,155.32657412532717,1785123112645160945,2026-07-27T11:31:52.645160945+08:00,-461.1642761230469,38.216426849365234,0.033860646188259125,-33.460716247558594,5.636120319366455,-3.5589420795440674,-1.716613724056515e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1550,155.4265741268173,1785123112744989416,2026-07-27T11:31:52.744989416+08:00,-460.59814453125,37.8575439453125,0.033860836178064346,-32.8553352355957,5.696925640106201,-3.5147478580474854,2.384185791015625e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1551,155.5265741283074,1785123112845149243,2026-07-27T11:31:52.845149243+08:00,-460.02581787109375,37.50308609008789,0.033860109746456146,-32.25068664550781,5.757704257965088,-3.470459222793579,-2.098083541568485e-06
