group_name,run_id,v1_mps,D1_clear_m,actual_e2e_latency_ms,D_delay_wall_integral_m,D_brake_data_m,D_brake_to_first_near_stop_m,D_brake_to_strict_stop_m,D_brake_path_integral_m,M_safety_6m_data_m,M_collision_0m_data_m,final_clearance_direct_projected_m,final_lateral_offset_m,final_euclidean_surface_m,margin_minus_direct_clearance_m,collision,impact_speed_mps,response_mean_speed_mps,T_deadline_safety_6m_data_ms,T_deadline_collision_0m_data_ms,deadline_safety_minus_observed_ms,deadline_collision_minus_observed_ms,braking_endpoint,braking_status,t_near_stop_s,t_strict_stop_s,t_minimum_speed_s,source_localization_file,source_collision_file
baseline,202607271031,15.623173104457399,39.89118968607217,299.6549606323242,4.673487170470926,29.880042335124934,25.72956786466294,,30.10028682927811,-0.6623398195236945,5.3376601804763055,5.330545115507051,0.8273255069823858,5.366524046069835,0.007115064969254625,False,,15.5962282773796,256.74344924225574,640.7883522772325,-42.91151139006848,341.13339164490833,MINIMUM_SPEED_PROXY,AVAILABLE,1785119536.43082,,1785119542.631211,D:\data\第二次实验\baseline\202607271031\log\localization.log.INFO.20260727-102803.5453,
baseline,202607271048,17.290539174968313,38.74398321009477,300.3580570220947,5.25441554093497,30.01877001652626,29.84308546324276,30.0156296539744,30.1491015912053,-2.529202347366464,3.470797652633536,3.471413365113455,-0.09600631937518592,3.4827486170146136,-0.000615712479919317,False,,17.493839163263893,157.61296776180498,504.6235461644878,-142.74508926028975,204.26548914239305,MINIMUM_SPEED_PROXY,AVAILABLE,1785120542.136402,1785120542.835593,1785120544.63559,D:\data\第二次实验\baseline\202607271048\log\localization.log.INFO.20260727-104620.122662,
baseline,202607271054,17.774502340040492,39.631539419332874,299.9768257141113,5.3671294775498595,31.524737596105766,31.524075261205006,,31.603975234616513,-3.260327654322751,2.739672345677249,2.738100501681802,-0.09234723691006355,2.7435332510915744,0.0015718439954470753,False,,17.891813691851404,118.52944082046852,456.0916344175204,-181.4473848936428,156.1148087034091,MINIMUM_SPEED_PROXY,AVAILABLE,1785120899.447704,,1785120899.547747,D:\data\第二次实验\baseline\202607271054\log\localization.log.INFO.20260727-105117.176834,
baseline,202607271059,17.212188241491454,40.15487249928844,399.7499942779541,7.005683189973678,30.403186921446377,30.403186921446377,,30.492900703625942,-3.25399761213162,2.74600238786838,2.7350990041317376,-0.07660771549865833,2.7417571295205017,0.010903383736642347,False,,17.525161451540853,217.96679917770717,566.5569909545137,-181.78319510024693,166.8069966765596,MINIMUM_SPEED_PROXY,AVAILABLE,1785121212.619642,,1785121212.619642,D:\data\第二次实验\baseline\202607271059\log\localization.log.INFO.20260727-105737.231932,
baseline,202607271104,17.062364098393616,38.78361695724761,399.6460437774658,6.935600898780944,27.879960531139574,27.847820926518978,27.847820926518978,27.983891693644537,-2.031944472672908,3.968055527327092,3.9547812755777914,-0.09990389317820367,3.966500746708033,0.013274251749300525,False,,17.354358955303162,287.3960723045234,639.0472248294474,-112.24997147294243,239.40118105198155,MINIMUM_SPEED_PROXY,AVAILABLE,1785121485.665028,1785121485.665028,1785121486.664961,D:\data\第二次实验\baseline\202607271104\log\localization.log.INFO.20260727-110232.286141,
baseline,202607271108,17.431302629246872,38.75948581368456,300.6410598754883,5.284453642764105,29.962679853465307,29.962679853465307,,30.05310310741634,-2.48764768254485,3.51235231745515,3.519517532224179,-0.06668296785200399,3.5292240516087245,-0.0071652147690288714,False,,17.577285168408743,160.44732970940873,504.6556845074593,-140.19373016607955,204.014624631971,MINIMUM_SPEED_PROXY,AVAILABLE,1785121758.892839,,1785121758.892839,D:\data\第二次实验\baseline\202607271108\log\localization.log.INFO.20260727-110701.340102,
baseline,202607271113,17.215204788564396,38.81749065847193,299.79610443115234,5.2312645659572246,30.2355742671642,30.2355742671642,,30.352751023292043,-2.649348174649493,3.350651825350507,3.340675579312559,-0.09942656319077409,3.3520988807128047,0.009976246037948222,False,,17.449408076476775,149.9788369071759,498.50794670816066,-149.81726752397645,198.71184227700832,MINIMUM_SPEED_PROXY,AVAILABLE,1785122033.496604,,1785122033.496604,D:\data\第二次实验\baseline\202607271113\log\localization.log.INFO.20260727-111139.394230,
delay_300ms,202607271131,16.080189309222355,38.258205668761775,799.6358871459961,13.432027958524642,,,,,,,,,,,True,7.988017222183252,16.797680262281983,,,,,COLLISION,AVAILABLE,,,,D:\data\第二次实验\300ms\202607271131\log\localization.log.INFO.20260727-112935.475992,D:\data\第二次实验\300ms\202607271131\log\carla_collision_events_20260727113204.csv
delay_300ms,202607271202,16.405255054323614,39.616495851179884,699.1548538208008,11.749044628602803,27.319452008796738,27.317221652405426,27.317221652405426,27.38721290201778,-5.4520007862196564,0.5479992137803436,0.5294144288287379,-0.06153371248149366,0.5743618490906917,0.01858478495160565,False,,16.804638578128476,383.84309305350035,749.579558602611,-315.3117607673004,50.42470478181019,MINIMUM_SPEED_PROXY,AVAILABLE,1785124954.793821,1785124954.793821,1785124955.09381,D:\data\第二次实验\300ms\202607271202\log\localization.log.INFO.20260727-120037.597370,
delay_300ms,202607271211,16.840252260670148,40.20186447880783,700.1669406890869,11.999340611264754,27.184529960214117,27.182841827095487,,27.27048080856075,-4.982006092671046,1.017993907328954,1.0174726252517186,-0.03524745199981133,1.0580707914604677,0.000521282077235341,False,,17.137828014923556,416.70008322752165,772.9892828859378,-283.46685746156527,72.82234219685085,MINIMUM_SPEED_PROXY,AVAILABLE,1785125513.180307,,1785125513.38038,D:\data\第二次实验\300ms\202607271211\log\localization.log.INFO.20260727-120934.719143,
